Sensor Type,Kalman_Num_Changes,Kalman_Perc_Changes,File
X (m/s^2),2407,100.0,Combined_Accelerometer_0.5s.csv
Y (m/s^2),2407,100.0,Combined_Accelerometer_0.5s.csv
Z (m/s^2),2407,100.0,Combined_Accelerometer_0.5s.csv
X (rad/s),2401,100.0,Combined_Gyroscope_0.5s.csv
Y (rad/s),2401,100.0,Combined_Gyroscope_0.5s.csv
Z (rad/s),2401,100.0,Combined_Gyroscope_0.5s.csv
X (m/s^2),2401,100.0,Combined_Linear Accelerometer_0.5s.csv
Y (m/s^2),2401,100.0,Combined_Linear Accelerometer_0.5s.csv
Z (m/s^2),2401,100.0,Combined_Linear Accelerometer_0.5s.csv
X (µT),2401,100.0,Combined_Magnetometer_0.5s.csv
Y (µT),2401,100.0,Combined_Magnetometer_0.5s.csv
Z (µT),2401,100.0,Combined_Magnetometer_0.5s.csv
