"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.675833331E-3,9.949517250E-2,-8.845178783E-2,-1.782862097E-2
1.965983333E-2,1.268142313E-1,-1.565819383E-1,-2.026830614E-2
2.964283333E-2,1.520820409E-1,-2.035928667E-1,-2.821171656E-2
3.962583333E-2,1.768669188E-1,-2.478795350E-1,-3.781138361E-2
4.960883333E-2,2.035715133E-1,-2.952824831E-1,-5.673953146E-2
5.959283333E-2,1.937848926E-1,-2.733295560E-1,-6.726559997E-2
6.957583333E-2,1.417760253E-1,-2.085010111E-1,-7.262281328E-2
7.955883333E-2,9.615332633E-2,-1.363007575E-1,-5.439538136E-2
8.954183333E-2,6.381775439E-2,-6.638958305E-2,-1.983766817E-2
9.952583333E-2,5.518653244E-2,-4.721439630E-2,3.454491496E-2
1.095088333E-1,5.408238620E-2,-2.758343518E-2,4.866073281E-2
1.194918333E-1,4.830950871E-2,1.348075271E-2,3.550669551E-2
1.294748333E-1,2.834778465E-2,1.759240776E-2,2.728604898E-2
1.394588333E-1,1.209047996E-2,4.851191118E-2,1.759325154E-2
1.494418333E-1,-5.483719055E-3,6.940281391E-2,3.001210466E-2
1.594248333E-1,-3.550253343E-3,6.283227354E-2,6.709425896E-2
1.694078333E-1,-4.402140039E-4,8.413676172E-2,3.292723745E-2
1.793918333E-1,7.358393166E-3,5.303438753E-2,1.647769101E-2
1.893748333E-1,1.767174900E-2,1.375142951E-2,6.051681004E-3
1.993578333E-1,1.715763286E-2,-1.337392628E-2,-4.788033199E-3
2.093418333E-1,1.525214035E-2,-4.802697897E-2,6.084854715E-3
2.193248333E-1,2.046330273E-2,-6.052754074E-2,9.364709840E-4
2.293078333E-1,2.154720947E-2,-6.530311704E-2,7.595438510E-3
2.392908333E-1,5.325024948E-3,-5.779023468E-2,3.504303843E-2
2.492748333E-1,3.107410623E-3,-5.266604573E-2,6.498389691E-2
2.592578333E-1,2.023097500E-2,-6.878487766E-2,8.941341192E-2
2.692408333E-1,5.367948115E-2,-1.287081391E-1,9.883780777E-2
2.792238333E-1,1.154804975E-1,-2.096349895E-1,1.072534770E-1
2.892078333E-1,1.839069575E-1,-3.036693633E-1,1.060454696E-1
2.991908333E-1,2.347345352E-1,-4.103463888E-1,8.685605228E-2
3.091738333E-1,1.996497065E-2,-7.239348888E-1,2.856931649E-2
3.191568333E-1,-1.183094382E-1,-7.699280381E-1,-8.701039478E-4
3.291408333E-1,-1.855207086E-1,-8.070514202E-1,-3.620225936E-2
3.391238333E-1,-1.658404469E-1,-9.438883066E-1,-4.071160406E-2
3.491068333E-1,-1.674679071E-1,-8.855893016E-1,-1.815344989E-1
3.590898333E-1,-2.161354274E-1,-8.787617683E-1,-2.955469489E-1
3.690738333E-1,-2.784041166E-1,-9.566925168E-1,-3.215274215E-1
3.790568333E-1,-3.248603046E-1,-1.004849672E0,-3.474307656E-1
3.890398333E-1,-3.910689056E-1,-1.102030754E0,-3.559374213E-1
3.990228333E-1,-4.900978804E-1,-1.294611692E0,-3.740160465E-1
4.090068333E-1,-5.725035667E-1,-1.467234373E0,-4.223606586E-1
4.189898333E-1,-6.215201616E-1,-1.617527127E0,-4.547961354E-1
4.289728333E-1,-6.423266530E-1,-1.775127411E0,-4.405660629E-1
4.389558333E-1,-6.419795752E-1,-1.900414228E0,-4.291103184E-1
4.489398333E-1,-6.228601933E-1,-1.974678874E0,-4.234809279E-1
4.589228333E-1,-5.897627473E-1,-2.012152195E0,-3.884499967E-1
4.689058333E-1,-5.682683587E-1,-1.998451471E0,-3.516379297E-1
4.788898333E-1,-5.573778152E-1,-1.995128155E0,-3.034553528E-1
4.888728333E-1,-5.474007726E-1,-2.053267002E0,-2.490988970E-1
4.988558333E-1,-5.297723413E-1,-2.218122959E0,-2.068261206E-1
5.088388333E-1,-4.707655311E-1,-2.472856760E0,-1.806009114E-1
5.188228333E-1,-3.316562176E-1,-2.754374981E0,-1.792614460E-1
5.288058333E-1,-1.142551973E-1,-2.927607298E0,-1.941458583E-1
5.387888333E-1,1.148171350E-1,-2.945542097E0,-1.912968010E-1
5.487718333E-1,3.168402612E-1,-2.884312630E0,-1.514266282E-1
5.587558333E-1,4.769282937E-1,-2.744183302E0,-7.966051996E-2
5.687388333E-1,5.846475363E-1,-2.554508448E0,2.293509059E-2
5.787218333E-1,6.403076053E-1,-2.330891848E0,1.388076991E-1
