"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.648416666E-3,4.171076202E0,7.570057983E0,1.403930511E0
1.263141666E-2,5.425467682E0,8.071365509E0,1.645079041E0
2.261541667E-2,5.157075806E0,8.599617004E0,2.421215057E0
3.259841666E-2,4.936734009E0,8.573571167E0,2.511477356E0
4.258141667E-2,4.917873230E0,8.798104248E0,2.822530518E0
5.256441666E-2,4.674179993E0,9.055269470E0,3.364553375E0
6.254741667E-2,4.102369080E0,8.796757050E0,3.477268982E0
7.253041666E-2,3.749253387E0,8.046966248E0,3.161126404E0
8.251341667E-2,3.607348480E0,7.796387329E0,2.866239624E0
9.249641666E-2,3.303330688E0,7.988288269E0,2.642904053E0
1.024794167E-1,2.969973907E0,7.954608307E0,2.358645172E0
1.124624167E-1,2.906655579E0,7.875722351E0,2.096240845E0
1.224454167E-1,3.148702240E0,7.841144257E0,2.024390259E0
1.324294167E-1,3.137625275E0,7.482340393E0,1.928290100E0
1.424124167E-1,3.338058472E0,7.588769073E0,2.087409210E0
1.523954167E-1,3.405268707E0,8.148006134E0,2.388732605E0
1.623784167E-1,3.452720032E0,8.249644775E0,2.275717621E0
1.723614167E-1,3.551065521E0,8.384214935E0,2.249821472E0
1.823444167E-1,3.873045959E0,8.567583618E0,2.399659882E0
1.923274167E-1,4.192631378E0,8.925040283E0,2.737357635E0
2.023104167E-1,4.322710876E0,9.050180054E0,2.674937439E0
2.122934167E-1,4.330345001E0,8.894354095E0,2.561174011E0
2.222764167E-1,4.278852081E0,8.388855286E0,2.395169220E0
2.322594167E-1,4.279750214E0,8.124205627E0,2.333198090E0
2.422434167E-1,4.326004028E0,8.194559326E0,2.282902679E0
2.522264167E-1,4.317471771E0,8.356672211E0,2.013013916E0
2.622094167E-1,4.268074493E0,8.510252838E0,1.722617798E0
2.721924167E-1,4.220772858E0,8.564589844E0,1.619482269E0
2.821754167E-1,4.245920563E0,8.702303467E0,1.673669586E0
2.921584167E-1,4.450694733E0,8.740923157E0,1.821262665E0
3.021414167E-1,4.744833069E0,9.003327484E0,2.059716797E0
3.121244167E-1,4.800068207E0,9.094038849E0,2.270179138E0
3.221074167E-1,4.689897308E0,9.037157135E0,2.604733429E0
3.320904167E-1,4.456233215E0,8.979227600E0,3.058140564E0
3.420734167E-1,4.302802277E0,9.076674957E0,3.606300659E0
3.520574167E-1,4.136348419E0,9.232051849E0,4.055067444E0
3.620404167E-1,3.883374481E0,9.402247925E0,4.385131073E0
3.720234167E-1,3.759282532E0,9.567055206E0,4.842879181E0
3.820064167E-1,3.620072021E0,9.491761780E0,5.299429779E0
3.919894167E-1,3.479364624E0,9.265432434E0,5.992039490E0
4.019724167E-1,3.338208160E0,8.850944366E0,6.892566833E0
4.119554167E-1,3.146307220E0,8.348738708E0,7.701933746E0
4.219384167E-1,2.946921844E0,7.837402039E0,8.405620422E0
4.319214167E-1,2.839744720E0,7.257807312E0,8.954079895E0
4.419042083E-1,3.014132080E0,6.702611847E0,9.290580139E0
4.518872083E-1,3.550317078E0,6.432124329E0,9.181906128E0
4.618712083E-1,4.055217133E0,6.276148682E0,8.471932526E0
4.718542083E-1,4.540058899E0,6.057603149E0,7.088659058E0
4.818372083E-1,5.337450714E0,5.936355286E0,5.110971680E0
4.918202083E-1,6.053561554E0,6.559060364E0,2.984044647E0
5.018032083E-1,5.307063904E0,7.685467987E0,1.211730194E0
5.117862083E-1,5.419929199E0,7.328610077E0,-1.942510529E0
5.217692083E-1,5.504203949E0,6.786437531E0,-4.713548126E0
5.317522083E-1,5.545667725E0,7.179520111E0,-6.713389435E0
5.417352083E-1,5.488336945E0,7.368576965E0,-7.694898376E0
5.517182083E-1,5.394332428E0,7.360942841E0,-7.969726868E0
5.617012083E-1,5.324727173E0,7.017257538E0,-9.835896149E0
5.716852083E-1,5.673501892E0,7.177125092E0,-2.840702728E1
5.816682083E-1,2.885699158E0,1.103041214E1,-1.407523041E1
5.916512083E-1,4.743036804E0,9.006470947E0,-1.838327179E0
6.016342083E-1,6.289620667E0,6.702761536E0,-1.727557526E0
6.116172083E-1,5.522615662E0,5.338648224E0,-4.301006012E0
6.216002083E-1,4.071233826E0,6.679709473E0,-4.916226654E0
6.315832083E-1,3.681743774E0,8.423134003E0,-6.854845276E0
6.415662083E-1,4.713847504E0,7.533533936E0,-1.056293427E1
6.515492083E-1,5.762416992E0,6.663243713E0,-1.290690994E1
6.615322083E-1,5.840255127E0,7.254214783E0,-1.147214355E1
6.715162083E-1,5.133125610E0,8.300089874E0,-8.070018311E0
6.814992083E-1,4.779710541E0,7.983797607E0,-6.228697357E0
6.914822083E-1,5.010081482E0,7.326514435E0,-5.429209900E0
7.014652083E-1,5.245841217E0,7.499853973E0,-4.844376068E0
7.114482083E-1,5.125491486E0,7.905510406E0,-4.201163635E0
7.214312083E-1,5.051545258E0,8.011340332E0,-3.575015717E0
7.314142083E-1,5.073699188E0,8.004005585E0,-3.149600372E0
7.413972083E-1,5.108576660E0,8.116272125E0,-2.789149933E0
7.513802083E-1,5.050647125E0,8.200097809E0,-2.350412292E0
7.613632083E-1,5.013973389E0,8.147108002E0,-1.810036011E0
7.713462083E-1,4.972509613E0,8.127498779E0,-1.263971558E0
7.813302083E-1,4.843028870E0,8.098758545E0,-7.441026306E-1
7.913132083E-1,4.656666412E0,8.002359009E0,-1.468446350E-1
8.012962083E-1,4.203259277E0,7.608228607E0,4.243675232E-1
8.112792083E-1,4.372407532E0,7.945327606E0,1.007405090E0
8.212622083E-1,4.456233215E0,8.387208710E0,1.551523590E0
8.312452083E-1,4.502337341E0,8.251441040E0,1.868115234E0
8.412282083E-1,4.350702667E0,8.238567810E0,2.099234619E0
