"Time (s)","X (hPa)"
-5.231769583E-1,1.007373047E3
5.076050417E-1,1.007369232E3
1.538379042E0,1.007365417E3
2.569138042E0,1.007365417E3
3.599916042E0,1.007367706E3
3.794969042E0,1.007367706E3
4.859032042E0,1.007369614E3
5.923061042E0,1.007372360E3
6.987081042E0,1.007376404E3
8.051174042E0,1.007376556E3
9.115272042E0,1.007376556E3
1.017939904E1,1.007375031E3
1.124351504E1,1.007373810E3
1.230764404E1,1.007373810E3
1.337176304E1,1.007376709E3
1.443580704E1,1.007379761E3
1.549990504E1,1.007385254E3
1.656397304E1,1.007391739E3
1.762802204E1,1.007396622E3
1.869211504E1,1.007405243E3
1.975616904E1,1.007413177E3
2.082021504E1,1.007421875E3
2.188433304E1,1.007429199E3
2.294847504E1,1.007429199E3
2.401267504E1,1.007425156E3
2.507687204E1,1.007416916E3
2.614104104E1,1.007400818E3
2.720523004E1,1.007380524E3
2.826946204E1,1.007363510E3
2.933368504E1,1.007347107E3
3.039784804E1,1.007332077E3
3.146203704E1,1.007324982E3
3.252623604E1,1.007324982E3
3.359041504E1,1.007325592E3
3.465457704E1,1.007334061E3
3.571876604E1,1.007348099E3
3.678294604E1,1.007360153E3
3.784711204E1,1.007369461E3
3.891130604E1,1.007377396E3
3.997553204E1,1.007380829E3
4.103977504E1,1.007383041E3
4.210394004E1,1.007383728E3
4.316812504E1,1.007385635E3
4.423230704E1,1.007388382E3
4.529648504E1,1.007389374E3
4.636063504E1,1.007393036E3
4.742477704E1,1.007397232E3
4.848894704E1,1.007400284E3
4.955309304E1,1.007401886E3
5.061723404E1,1.007401886E3
5.168140504E1,1.007393646E3
5.274565904E1,1.007382507E3
5.380989604E1,1.007371063E3
5.487411104E1,1.007360916E3
5.593836304E1,1.007350464E3
5.700260204E1,1.007346725E3
5.806682704E1,1.007346420E3
5.913107304E1,1.007344589E3
6.019527504E1,1.007344589E3
6.125947504E1,1.007347717E3
6.232368704E1,1.007348709E3
6.338794904E1,1.007351685E3
6.445222704E1,1.007354507E3
6.551651804E1,1.007358093E3
6.658070904E1,1.007359238E3
6.764491204E1,1.007361603E3
6.870915604E1,1.007364349E3
6.977341804E1,1.007364960E3
7.083769604E1,1.007367935E3
7.190197304E1,1.007370682E3
7.296627804E1,1.007371521E3
7.403051104E1,1.007372131E3
7.509475804E1,1.007372131E3
7.615896204E1,1.007372131E3
7.722324104E1,1.007371750E3
7.828747204E1,1.007369385E3
7.935173004E1,1.007362823E3
8.041596304E1,1.007360382E3
8.148024304E1,1.007358627E3
8.254451104E1,1.007358627E3
8.360872004E1,1.007359238E3
8.467294704E1,1.007359238E3
8.573722804E1,1.007360077E3
8.680153404E1,1.007360916E3
8.786585604E1,1.007361832E3
8.893016004E1,1.007365036E3
8.999452404E1,1.007368546E3
9.105890304E1,1.007375336E3
9.212323604E1,1.007375336E3
9.318757804E1,1.007374878E3
9.425187304E1,1.007367935E3
9.531622104E1,1.007362442E3
9.638053904E1,1.007355957E3
9.744484804E1,1.007353439E3
9.850918604E1,1.007350693E3
9.957354304E1,1.007350693E3
1.006379020E2,1.007355270E3
1.017022990E2,1.007361832E3
1.027666130E2,1.007369385E3
1.038310220E2,1.007375870E3
1.048954540E2,1.007381973E3
1.059598300E2,1.007383118E3
1.070241420E2,1.007386017E3
1.080884480E2,1.007391052E3
1.091527930E2,1.007397385E3
1.102171360E2,1.007402267E3
1.112815180E2,1.007402267E3
1.123459340E2,1.007396088E3
1.134103570E2,1.007392502E3
1.144747470E2,1.007390671E3
1.155391420E2,1.007390671E3
1.166035260E2,1.007394257E3
1.176678880E2,1.007398834E3
1.187322770E2,1.007401657E3
1.197966400E2,1.007401657E3
1.208609900E2,1.007401123E3
1.219253960E2,1.007400589E3
1.229897730E2,1.007400589E3
1.240541490E2,1.007400665E3
1.251185450E2,1.007402191E3
1.261829020E2,1.007402725E3
1.272472010E2,1.007403030E3
1.283115480E2,1.007403030E3
1.293758940E2,1.007400665E3
1.304403010E2,1.007390671E3
1.315047150E2,1.007376785E3
1.325691170E2,1.007361832E3
1.336335340E2,1.007349854E3
1.346979340E2,1.007339706E3
1.357622800E2,1.007333832E3
1.368266530E2,1.007333832E3
1.378910860E2,1.007337341E3
1.389554710E2,1.007342682E3
1.400198780E2,1.007349854E3
1.410842780E2,1.007356720E3
1.421486480E2,1.007364120E3
1.432130230E2,1.007364120E3
1.442774170E2,1.007363129E3
1.453418260E2,1.007362289E3
1.464062170E2,1.007361603E3
1.474706240E2,1.007360077E3
1.485349700E2,1.007360077E3
1.495993120E2,1.007359238E3
1.506637070E2,1.007359238E3
1.517281490E2,1.007359238E3
1.527925490E2,1.007361450E3
1.538569440E2,1.007362900E3
1.549213670E2,1.007365417E3
1.559857440E2,1.007366257E3
1.570501420E2,1.007366257E3
1.581145500E2,1.007367325E3
1.591789190E2,1.007367325E3
1.602433140E2,1.007368622E3
1.613077560E2,1.007369995E3
1.623721770E2,1.007372742E3
1.634365930E2,1.007376556E3
1.645010020E2,1.007378464E3
1.655653600E2,1.007379150E3
1.666297680E2,1.007379150E3
1.676941950E2,1.007376785E3
1.687586230E2,1.007376328E3
1.698230130E2,1.007376328E3
1.708873990E2,1.007377167E3
1.719518370E2,1.007379684E3
1.730162340E2,1.007382889E3
1.740806380E2,1.007382889E3
1.751451040E2,1.007381134E3
1.762095780E2,1.007381134E3
1.772739930E2,1.007376328E3
