"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.144416667E-3,-6.945442620E-1,-9.501111478E-1,-2.793021959E-1
1.512741666E-2,4.116574305E-1,-9.027545482E-1,-4.720604838E-1
2.511041667E-2,1.030378801E0,-2.327905190E-1,1.935147715E-1
3.509341666E-2,6.191245356E-1,2.757839262E-2,7.303966109E-1
4.507641667E-2,5.376555723E-1,2.245798588E-2,8.090153490E-1
5.506041666E-2,4.979880613E-1,3.074290574E-1,1.279963546E0
6.504341667E-2,1.364123252E-1,4.386066628E-1,1.734215604E0
7.502641666E-2,-4.058298030E-1,-1.218255687E-1,1.634190794E0
8.500941667E-2,-5.758162558E-1,-7.758629519E-1,1.290132585E0
9.499241666E-2,-7.799536639E-1,-8.107281446E-1,1.040413061E0
1.049754167E-1,-1.095127651E0,-6.350824642E-1,7.875303398E-1
1.149584167E-1,-1.350938073E0,-7.156284446E-1,4.918600331E-1
1.249414167E-1,-1.331333528E0,-8.135406554E-1,2.774293327E-1
1.349244167E-1,-1.102993325E0,-8.316056281E-1,2.374150819E-1
1.449074167E-1,-1.195600065E0,-1.241750969E0,1.255707103E-1
1.548904167E-1,-9.631238338E-1,-7.465800959E-1,4.235915977E-1
1.648744167E-1,-1.012438958E0,-3.537927997E-1,5.741211480E-1
1.748574167E-1,-9.624230450E-1,-2.589755201E-1,3.881245802E-1
1.848404167E-1,-8.317120475E-1,-8.796024978E-2,4.319658338E-1
1.948234167E-1,-4.846958783E-1,1.908899564E-1,6.790036784E-1
2.048064167E-1,-2.374674144E-1,4.884424818E-1,8.758719742E-1
2.147894167E-1,-1.588349354E-1,5.235550117E-1,7.444610649E-1
2.247724167E-1,-1.756708235E-1,2.004448915E-1,6.195677546E-1
2.347554167E-1,-2.134534845E-1,-2.934834480E-1,4.698090135E-1
2.447384167E-1,-1.791233119E-1,-3.884960246E-1,4.585076612E-1
2.547214167E-1,-1.429807949E-1,-2.692525864E-1,3.623408443E-1
2.647044167E-1,-1.794314602E-1,-1.073005003E-1,6.132618248E-2
2.746884167E-1,-2.417408520E-1,-1.400408149E-3,-1.497561099E-1
2.846714167E-1,-2.703442615E-1,8.660194159E-2,-1.521281791E-1
2.946544167E-1,-2.160908711E-1,1.588337660E-1,-5.753996417E-2
3.046374167E-1,6.427844167E-2,3.082283717E-1,1.700785464E-1
3.146204167E-1,2.819544929E-1,5.164962530E-1,4.070989412E-1
3.246034167E-1,2.735985294E-1,5.438846111E-1,6.730460966E-1
3.345864167E-1,9.512630492E-2,4.530656576E-1,1.073563412E0
3.445694167E-1,-1.193083423E-1,4.458414227E-1,1.604870808E0
3.545524167E-1,-2.579765233E-1,5.645551032E-1,2.181233048E0
3.645354167E-1,-4.730037859E-1,7.260739106E-1,2.585011355E0
3.745184167E-1,-6.870779523E-1,9.032813823E-1,2.992475163E0
3.845024167E-1,-7.872460189E-1,9.872550005E-1,3.480814149E0
3.944854167E-1,-9.401787749E-1,8.354355544E-1,4.009453315E0
4.044684167E-1,-1.059091553E0,5.416954136E-1,4.866485560E0
4.144514167E-1,-1.226940556E0,5.856395781E-2,5.768403956E0
4.244344167E-1,-1.417976401E0,-4.647782153E-1,6.624722841E0
4.344174167E-1,-1.593153134E0,-1.008748780E0,7.337648703E0
4.444002083E-1,-1.624762013E0,-1.624558237E0,7.969991162E0
4.543832083E-1,-1.282415430E0,-2.111871622E0,8.293247463E0
4.643662083E-1,-7.199042210E-1,-2.317646250E0,8.165274716E0
4.743492083E-1,-2.517928004E-1,-2.498268496E0,7.404729715E0
4.843332083E-1,2.929115903E-1,-2.769363540E0,5.969952802E0
4.943162083E-1,1.278191694E0,-2.635615498E0,4.225733051E0
5.042992083E-1,1.384566287E0,-1.774908278E0,2.381290269E0
5.142822083E-1,8.106807822E-1,-9.470056915E-1,6.242021115E-1
5.242652083E-1,1.058655058E0,-1.743574803E0,-2.455224802E0
5.342482083E-1,1.134975841E0,-1.825663864E0,-4.640877761E0
5.442312083E-1,1.182095336E0,-1.429511495E0,-6.135311476E0
5.542142083E-1,1.134459239E0,-1.337178113E0,-6.574696988E0
5.641972083E-1,1.052510804E0,-1.419100528E0,-6.739044678E0
5.741802083E-1,1.568863216E0,-2.365534946E0,-1.518812395E1
5.841632083E-1,2.935886979E-2,2.066926414E-1,-2.560528479E1
5.941462083E-1,1.243397252E0,-6.388281906E-1,3.953102235E-1
6.041292083E-1,2.172856911E0,-3.007913566E0,-2.106254786E0
6.141122083E-1,6.803098002E-1,-3.120743194E0,-3.183452243E0
6.240962083E-1,-4.151894411E-1,-1.336754190E0,-4.213743043E0
6.340792083E-1,-2.686380440E-1,-3.333263755E-1,-6.600346384E0
6.440622083E-1,9.384561852E-1,-1.695465667E0,-1.028374726E1
6.540452083E-1,1.699661629E0,-1.969277328E0,-1.124324260E1
6.640282083E-1,1.405803082E0,-1.036896107E0,-8.715693591E0
6.740112083E-1,7.117543718E-1,-3.869915360E-1,-5.740388192E0
6.839942083E-1,6.283365315E-1,-1.103614007E0,-4.540303313E0
6.939772083E-1,9.402542040E-1,-1.470611574E0,-3.966457568E0
7.039602083E-1,1.019801188E0,-1.121828669E0,-3.457101935E0
7.139432083E-1,8.808026388E-1,-8.305092752E-1,-2.893806907E0
7.239272083E-1,8.423376077E-1,-8.100019205E-1,-2.445347832E0
7.339102083E-1,8.843445897E-1,-7.901705039E-1,-2.191210152E0
7.438932083E-1,8.649245247E-1,-6.620515770E-1,-1.947326295E0
7.538762083E-1,7.940431148E-1,-6.406659704E-1,-1.599714003E0
7.638592083E-1,7.559973291E-1,-6.938235927E-1,-1.204748619E0
7.738422083E-1,6.686688709E-1,-7.134176123E-1,-8.263600910E-1
7.838252083E-1,5.199560505E-1,-7.595673466E-1,-4.490989065E-1
7.938082083E-1,2.265468621E-1,-9.344002640E-1,4.225198030E-3
8.037912083E-1,-1.421776798E-1,-1.231438234E0,3.747281706E-1
8.137742083E-1,1.311556783E-1,-5.800525635E-1,8.256800598E-1
8.237572083E-1,1.113619763E-1,-4.233349049E-1,1.132817341E0
