"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.144416667E-3,9.412200928E0,-3.232626343E1,6.873413086E0
1.512741666E-2,9.412200928E0,-3.232626343E1,6.873413086E0
2.511041667E-2,9.500686646E0,-3.218243408E1,6.678375244E0
3.509341666E-2,9.591266632E0,-3.213534546E1,6.483673096E0
4.507641667E-2,9.809192657E0,-3.199371338E1,5.856567383E0
5.506041666E-2,1.009261322E1,-3.178649902E1,5.490478516E0
6.504341667E-2,1.035392761E1,-3.179089355E1,5.250701904E0
7.502641666E-2,1.055554581E1,-3.159970093E1,4.891326904E0
8.500941667E-2,1.063609314E1,-3.157113647E1,4.926879883E0
9.499241666E-2,1.083884811E1,-3.145947266E1,4.768585205E0
1.049754167E-1,1.087205887E1,-3.146841431E1,4.458923340E0
1.149584167E-1,1.088936996E1,-3.145663452E1,4.423980713E0
1.249414167E-1,1.099543381E1,-3.151834106E1,4.384643555E0
1.349244167E-1,1.106536484E1,-3.139895630E1,4.111114502E0
1.449074167E-1,1.105944061E1,-3.125851440E1,3.927215576E0
1.548904167E-1,1.092512512E1,-3.139071655E1,3.675231934E0
1.648744167E-1,1.100772476E1,-3.130041504E1,3.520507812E0
1.748574167E-1,1.087409973E1,-3.143484497E1,3.073425293E0
1.848404167E-1,1.091250229E1,-3.145834351E1,2.797180176E0
1.948234167E-1,1.086143875E1,-3.144885254E1,2.442657471E0
2.048064167E-1,1.076392365E1,-3.136471558E1,2.251983643E0
2.147894167E-1,1.076179123E1,-3.140411377E1,2.281585693E0
2.247724167E-1,1.087291718E1,-3.133697510E1,2.348358154E0
2.347554167E-1,1.095782852E1,-3.152532959E1,2.257263184E0
2.447384167E-1,1.107415771E1,-3.144738770E1,2.286071777E0
2.547214167E-1,1.104087448E1,-3.142498779E1,2.087554932E0
2.647044167E-1,1.102875900E1,-3.133193970E1,2.171203613E0
2.746884167E-1,1.102231216E1,-3.153735352E1,2.158020020E0
2.846714167E-1,1.107209778E1,-3.144918823E1,2.257904053E0
2.946544167E-1,1.103535461E1,-3.150585938E1,2.105895996E0
3.046374167E-1,1.103535461E1,-3.150585938E1,2.105895996E0
3.146204167E-1,1.096328735E1,-3.143035889E1,1.985839844E0
3.246034167E-1,1.099040222E1,-3.148156738E1,1.987579346E0
3.345864167E-1,1.090802002E1,-3.146395874E1,2.260772705E0
3.445694167E-1,1.094188309E1,-3.145062256E1,2.354858398E0
3.545524167E-1,1.108430099E1,-3.143469238E1,2.425994873E0
3.645354167E-1,1.104775620E1,-3.155560303E1,2.388885498E0
3.745184167E-1,1.096843338E1,-3.178625488E1,2.690612793E0
3.845024167E-1,1.103830338E1,-3.171762085E1,2.882751465E0
3.944854167E-1,1.094153214E1,-3.193243408E1,2.787902832E0
4.044684167E-1,1.080776596E1,-3.192596436E1,2.862487793E0
4.144514167E-1,1.082968903E1,-3.214376831E1,3.176330566E0
4.244344167E-1,1.067652130E1,-3.218252563E1,3.389953613E0
4.344174167E-1,1.049712372E1,-3.230999756E1,3.581542969E0
4.444002083E-1,1.027791595E1,-3.240527344E1,3.894134521E0
4.543832083E-1,1.008701324E1,-3.270620728E1,4.812652588E0
4.643662083E-1,9.741756439E0,-3.273535156E1,5.674346924E0
4.743492083E-1,9.298492432E0,-3.304119873E1,6.672149658E0
4.843332083E-1,8.960117340E0,-3.316625977E1,7.861480713E0
4.943162083E-1,8.616249084E0,-3.322283936E1,9.250183105E0
5.042992083E-1,8.167705536E0,-3.306167603E1,1.086087036E1
5.142822083E-1,7.701408386E0,-3.298257446E1,1.218969727E1
5.242652083E-1,7.442813873E0,-3.282513428E1,1.356726074E1
5.342482083E-1,7.299190521E0,-3.276074219E1,1.459744263E1
5.442312083E-1,6.902778625E0,-3.259494019E1,1.562612915E1
5.542142083E-1,6.967102051E0,-3.248767090E1,1.620681763E1
5.641972083E-1,6.469135284E0,-3.059017944E1,1.777346802E1
5.741802083E-1,6.928749084E0,-3.141122437E1,1.695919800E1
5.841632083E-1,7.490097046E0,-3.286819458E1,1.535467529E1
5.941462083E-1,7.759021759E0,-3.325131226E1,1.460046387E1
6.041292083E-1,7.643943787E0,-3.324865723E1,1.486413574E1
6.141122083E-1,7.462657928E0,-3.303701782E1,1.574359131E1
6.240962083E-1,7.309444427E0,-3.275708008E1,1.672064209E1
6.340792083E-1,7.010437012E0,-3.255545044E1,1.737854004E1
6.440622083E-1,6.953891754E0,-3.233718872E1,1.752172852E1
6.540452083E-1,7.127094269E0,-3.232962036E1,1.738592529E1
6.640282083E-1,7.127094269E0,-3.232962036E1,1.738592529E1
6.740112083E-1,7.581863403E0,-3.239785767E1,1.668475342E1
6.839942083E-1,7.875984192E0,-3.238180542E1,1.607449341E1
6.939772083E-1,8.122493744E0,-3.236218262E1,1.545779419E1
7.039602083E-1,8.390472412E0,-3.228747559E1,1.489190674E1
7.139432083E-1,8.688980103E0,-3.236062622E1,1.402795410E1
7.239272083E-1,9.086856842E0,-3.232339478E1,1.323342896E1
7.339102083E-1,9.275733948E0,-3.217684937E1,1.254064941E1
7.438932083E-1,9.641292572E0,-3.224975586E1,1.189865112E1
7.538762083E-1,9.829357147E0,-3.227981567E1,1.090719604E1
7.638592083E-1,1.000092697E1,-3.213778687E1,1.018380737E1
7.738422083E-1,1.032923889E1,-3.220901489E1,9.365447998E0
7.838252083E-1,1.049939728E1,-3.212210083E1,8.704284668E0
7.938082083E-1,1.084060287E1,-3.205987549E1,7.773254395E0
