time,X (µT),Y (µT),Z (µT),label
0.0,-38.05021697411765,-30.089357862549026,-12.836141549078432,handshake
0.5,-29.666509607911063,-39.4058959962,-4.669382324202201,handshake
1.0,-27.59700561574,-38.2190960692,-4.7007922363554,handshake
1.5,-25.1836880491,-39.710180664,-8.059940795840001,handshake
2.0,-30.950762023400003,-32.9670471191,-9.5775830071,handshake
2.5,-30.616380767599995,-34.915888672200005,-9.30260131816,handshake
3.0,-34.5409548942,-31.421511231000004,-9.757356567,handshake
3.5,-34.8355972296,-29.444300537,-11.03622314412,handshake
4.0,-33.467326507,-29.14571289080001,-13.2460351558,handshake
4.5,-37.4425019832,-23.61245483388,-11.80401062012,handshake
5.0,-34.921197052400004,-26.896094970199997,-14.138929185316332,handshake
5.5,-36.0062921138,-24.35769226074,-14.337116088599998,handshake
6.0,-36.04357431470588,-23.880098231352942,-14.429430793529413,handshake
6.5,-34.4344197078,-24.069981078620007,-14.0072125246,handshake
7.0,-34.748888702399995,-26.289395142180005,-13.0607366943,handshake
7.5,-36.207498474999994,-24.47902038584,-12.24859497052,handshake
8.0,-36.7667907718,-19.849820556618,-17.130178832281306,handshake
8.5,-34.5888740536,-14.230753784642,-17.924152221799996,handshake
9.0,-40.176015015199994,-4.55592529299,-6.30174926746,handshake
9.5,-41.2408563226,-12.500594482835998,-1.2606622314528004,handshake
10.0,-39.4170085144,-18.994110717838,5.2745465087962,handshake
10.5,-37.780148010000005,-20.19910278376,10.91946044902,handshake
11.0,-38.9481883246,-14.96144165108,10.26749877962,handshake
11.5,-40.3513031004,-9.927853393692,12.29466857968,handshake
12.0,-39.63816579254902,-7.584899303645098,11.80690451192157,handshake
12.5,-39.79145294119999,-6.605612792482,10.94998596234,handshake
13.0,-38.3401017752,-11.223214388882564,11.9171099845,handshake
13.5,-39.8134187314,-12.681645507606,12.0914019771,handshake
14.0,-38.974262847999995,-7.287271117642,13.05890686058,handshake
14.5,-39.3862059014,-2.8469347883078555,11.52541625932,handshake
15.0,-40.3947111512,-1.67676194711865,13.89845519912,handshake
15.5,-39.190075072800006,-3.68184326112,8.293608398239998,handshake
16.0,-40.5759344476,-5.187199096698,-8.553464965479998,handshake
16.5,-31.233458862199996,-14.221543579094,-15.166893921000002,handshake
17.0,-27.1518699648,-18.0216754145,-11.19899047862,handshake
17.5,-22.0536935428,-21.721638183200003,-7.383438720959999,handshake
18.0,-30.097301856666665,-19.97711478976431,-5.613396139661177,handshake
18.5,-33.198309783800006,-20.110770874102,-7.00845153818,handshake
19.0,-34.3864694212,-26.079017333994,-9.02852050794,handshake
19.5,-34.130029755200006,-26.513530273086,-10.84648803672,handshake
20.0,-34.167855529200004,-19.628872680132,-15.172597045980002,handshake
20.5,-37.87753006,-20.010032959137,-11.501851806779998,handshake
21.0,-36.17615090166982,-22.065272216990003,-11.808563824622434,handshake
21.5,-32.789305114600005,-23.922465209662,-14.400992432,handshake
22.0,-29.624090576199997,-29.026306152654,-15.9187670898,handshake
22.5,-33.828135224,-25.057322387733993,-17.03685844615214,handshake
23.0,-33.3966836556,-21.27990112333712,-16.1462365722,handshake
23.5,-37.0948214714,-17.263291625836,-15.7892028816,handshake
24.0,-38.6834890327451,-13.06220439864706,-13.583119710196078,handshake
24.5,-37.555829772600006,-11.611765747339998,-13.245470581,handshake
25.0,-39.1607664492,-7.011760864070001,-14.2140509034,handshake
25.5,-39.6241720578,0.9730352782440004,1.1775164794849995,handshake
26.0,-39.9674678038,-4.04328124966,10.18739379858,handshake
26.5,-39.15618117130565,-6.928535156230001,14.079768676600002,handshake
27.0,-39.212771147999995,-6.4971520991338005,13.3086901864,handshake
27.5,-38.9740837098,-4.2909564216180005,13.09668518,handshake
28.0,-38.200949249,-1.778067016576,14.741096801,handshake
28.5,-38.18233963,-3.9554809572539993,11.71623474124,handshake
29.0,-39.4804380802,-6.895870972283999,15.547067871,handshake
29.5,-39.037089385799995,-9.628626708906,17.1518029774,handshake
30.0,-39.11024190823529,-4.317772958815686,14.963640998039216,handshake
30.5,-40.8331558224,0.064390258854,11.64430480946,handshake
31.0,-43.0690280154,4.33462250541378,8.434932250844799,handshake
31.5,-41.20262676087448,4.2696673579166005,-5.338286742867999,handshake
32.0,-40.6551898194,0.91247985848,-8.617788086020001,handshake
32.5,-42.37801574720001,-1.5288922121300004,-5.844055175676,handshake
33.0,-42.64505828779999,0.940513915782,-6.109251028675684,handshake
33.5,-40.8897213742,2.328901367046,-7.833687133178,handshake
34.0,-40.060364837200005,3.469802856412,-7.064186002161335,handshake
34.5,-39.5878796394,3.883594360213999,-6.29197692883,handshake
35.0,-40.5511167906,3.5905493166980005,-5.945856323200001,handshake
35.5,-41.0524472044,2.5825158692280006,-4.80972045898,handshake
36.0,-40.345245959803925,2.995963900339216,-7.858677883156863,handshake
36.5,-37.375595703,5.791164550944001,-9.26117065432,handshake
37.0,-38.5347138974,5.784440307423999,-6.46020324698,handshake
37.5,-39.9001792914,-8.20107849162,-13.9406359862,handshake
38.0,-36.9430809024,-2.4625268554038,-19.2318756102,handshake
38.5,-36.925312958,1.81533569359,-15.498264160240002,handshake
39.0,-37.5307745358,1.069089355242,-16.728557129,handshake
39.5,-39.704617462399995,3.761226196108,-12.277448729994,handshake
40.0,-39.3402622986,8.792581177152,1.4422503662269,handshake
40.5,-39.3613723752,7.0533673095855995,2.72566345219,handshake
41.0,-40.8286570738,3.36016784638,7.581809081529998,handshake
41.5,-41.063775329600006,-0.2675494384860002,12.769902791242943,handshake
42.0,-41.33210290725489,-11.94454537175882,16.664061901843137,handshake
42.5,-36.80525589,-23.93748962416,11.62732360862,handshake
43.0,-38.8180776974,-24.588139038108,6.942880249203999,handshake
43.5,-36.7518333438,-29.477179565519997,3.170654907309,handshake
44.0,-33.424935149999996,-31.487755126560003,-3.7545867919648,handshake
44.5,-35.922814178799996,-24.202565917978003,-5.642420778497325,handshake
