Sensor Type,Kalman_Num_Changes,Kalman_Perc_Changes,File
X (m/s^2),1203,100.0,Combined_Accelerometer_0.25s.csv
Y (m/s^2),1203,100.0,Combined_Accelerometer_0.25s.csv
Z (m/s^2),1203,100.0,Combined_Accelerometer_0.25s.csv
X (rad/s),1201,100.0,Combined_Gyroscope_0.25s.csv
Y (rad/s),1201,100.0,Combined_Gyroscope_0.25s.csv
Z (rad/s),1201,100.0,Combined_Gyroscope_0.25s.csv
X (m/s^2),1201,100.0,Combined_Linear Accelerometer_0.25s.csv
Y (m/s^2),1201,100.0,Combined_Linear Accelerometer_0.25s.csv
Z (m/s^2),1201,100.0,Combined_Linear Accelerometer_0.25s.csv
X (µT),1201,100.0,Combined_Magnetometer_0.25s.csv
Y (µT),1201,100.0,Combined_Magnetometer_0.25s.csv
Z (µT),1201,100.0,Combined_Magnetometer_0.25s.csv
