time,X (rad/s),Y (rad/s),Z (rad/s),label
0.0,-0.327507057255128,-0.5394313217453403,0.5553347480271382,handshake
0.5,-0.25399991368201746,-0.46167387913474905,0.4528198632237884,handshake
1.0,-0.18374527503566396,-0.3859980350755705,0.35251871731097023,handshake
1.5,-0.12038645537638398,-0.3146937893562452,0.2568425704849812,handshake
2.0,-0.06722348218773819,-0.24982910112266152,0.16797416455669467,handshake
2.5,-0.027003130434717127,-0.19313803554508702,0.08776336944980805,handshake
3.0,-0.0017396691667340718,-0.145932343344769,0.017647847066493444,handshake
3.5,0.007422491460245199,-0.10904162066201553,-0.04139707099578122,handshake
4.0,0.0002955128336855536,-0.08278474273655835,-0.08887786833082648,handshake
4.5,-0.02232158933021092,-0.06697277744461777,-0.12477291427705582,handshake
5.0,-0.05867157261477202,-0.0609413124960896,-0.14949657162640173,handshake
5.5,-0.10612548546020406,-0.06360826793047739,-0.16384240494561558,handshake
6.0,-0.16132254657192402,-0.07355193318948942,-0.16891146239560756,handshake
6.5,-0.22035554464977963,-0.08910320381185932,-0.16603183195011587,handshake
7.0,-0.2789910075260648,-0.10844576176290997,-0.15667532419480346,handshake
7.5,-0.33291109275788977,-0.12971815656803956,-0.14237636309285787,handshake
8.0,-0.37796265640787063,-0.15111228385730832,-0.12465714388640063,handshake
8.5,-0.41039841091140483,-0.1709635024584701,-0.10496200318472886,handshake
9.0,-0.4270955678230115,-0.18782847731711394,-0.08460287172137812,handshake
9.5,-0.4257388704064272,-0.20054771024317947,-0.06471674115763233,handshake
10.0,-0.4049573492309037,-0.2082905842271274,-0.04623533178997038,handshake
10.5,-0.36440728122196514,-0.210581588058375,-0.02986662179120375,handshake
11.0,-0.30479742524676673,-0.2073072109012223,-0.016087581056770467,handshake
11.5,-0.22785633233140706,-0.19870380975616234,-0.005147304013682466,handshake
12.0,-0.1362450750906281,-0.18532755814469576,0.0029203080566311654,handshake
12.5,-0.033421839159999356,-0.16800837128252025,0.008275180748234046,handshake
13.0,0.07653272994919341,-0.14779044741989256,0.011241945334654491,handshake
13.5,0.1891188421551524,-0.12586273200267303,0.012274157913431033,handshake
14.0,0.2996380594182243,-0.1034831593069759,0.011913244498128524,handshake
14.5,0.40341934087946013,-0.08190091179822065,0.010743952150047037,handshake
15.0,0.49603950056179036,-0.062281119890225486,0.009348526471249624,handshake
15.5,0.5735279571004385,-0.045636370266554496,0.00826223669572981,handshake
16.0,0.6325470459671776,-0.03276907704727799,0.007933136653804488,handshake
16.5,0.6705407908381792,-0.02422819005445387,0.0086889970745692,handshake
17.0,0.6858467658296457,-0.020282881006132545,0.010714110291882404,handshake
17.5,0.6777674201823831,-0.02091479673336483,0.01403812627673684,handshake
18.0,0.6465989054875366,-0.025829256683459135,0.018538244637696686,handshake
18.5,0.5936169983884116,-0.03448447949876435,0.023955018481116412,handshake
19.0,0.5210211376000264,-0.04613664606700948,0.02992081668021112,handshake
19.5,0.43183891210574005,-0.05989744825828101,0.03599876011775798,handshake
20.0,0.3297945886304198,-0.0747998361347867,0.04172882484541926,handshake
20.5,0.2191464997203665,-0.08986705177765791,0.046676917904720706,handshake
21.0,0.10449936598935307,-0.10417979216391414,0.05048219177009005,handshake
21.5,-0.00940109851879704,-0.1169365124923618,0.05289775760812961,handshake
22.0,-0.11788269669166816,-0.1275024637639188,0.05382033740383551,handshake
22.5,-0.21656064976659822,-0.13544401404173512,0.05330526775919412,handshake
23.0,-0.30154033027317584,-0.14054605430341524,0.05156458916302259,handshake
23.5,-0.3695979151178449,-0.14281172850600385,0.04894762402957101,handshake
24.0,-0.4183283738427447,-0.14244522304940122,0.04590531370956676,handshake
24.5,-0.4462513659699295,-0.1398197639438029,0.04294145779167073,handshake
25.0,-0.4528676835883382,-0.1354341672680573,0.04055566490999267,handshake
25.5,-0.43866179533623617,-0.12986215757763242,0.03918407019435703,handshake
26.0,-0.40504964804386034,-0.12369913159046965,0.039144514634495656,handshake
26.5,-0.3542748609286984,-0.11751106576862695,0.04059278469457555,handshake
27.0,-0.28926041143909087,-0.11178985796501004,0.043495625024104353,handshake
27.5,-0.21342642994349525,-0.10691861067358288,0.04762460903380937,handshake
28.0,-0.13048738505116925,-0.10314929788508505,0.05257272930324212,handshake
28.5,-0.04424343049071007,-0.10059402392035485,0.05779298977315788,handshake
29.0,0.04161919039469332,-0.099229805058517,0.06265564336775936,handshake
29.5,0.12370505385683082,-0.09891560278317132,0.06651834322823733,handshake
30.0,0.199052675642017,-0.09941931387952553,0.06880166400430135,handshake
30.5,0.26523624489532777,-0.10045165522372139,0.0690614439016784,handshake
31.0,0.32042247764178544,-0.1017034185503065,0.06704935260267367,handshake
