time,X (µT),Y (µT),Z (µT),label
0.0,-38.194238258132664,-29.83063672119751,-11.870649826706316,handshake
0.5,-37.138962961885134,-30.19381152653085,-11.987971045719187,handshake
1.0,-36.117357597353916,-30.537223934100503,-12.16140399336414,handshake
1.5,-35.17369462336883,-30.815861473839497,-12.394031327572662,handshake
2.0,-34.34813857046394,-30.988230256249345,-12.68036049794156,handshake
2.5,-33.67451111946238,-31.018502163443156,-13.004556647975972,handshake
3.0,-33.178544572384716,-30.878127113002193,-13.339688388415752,handshake
3.5,-32.87671700409365,-30.5468465783646,-13.648184210945505,handshake
4.0,-32.775708007159814,-30.013106194294206,-13.883567380380509,handshake
4.5,-32.872460917286595,-29.27392255675312,-13.993397088324462,handshake
5.0,-33.15479138673157,-28.334305956484485,-13.923208911516937,handshake
5.5,-33.602447459409284,-27.206371852161194,-13.621132535642369,handshake
6.0,-34.188505338464005,-25.90828648417747,-13.042781231958099,handshake
6.5,-34.88097824615781,-24.463185573449007,-12.155964213301374,handshake
7.0,-35.64452171078627,-22.89818128676961,-10.944774071671944,handshake
7.5,-36.442134379293286,-21.24353536339363,-9.412646812685903,handshake
8.0,-37.236775280547086,-19.532030792986724,-7.584076909016419,handshake
8.5,-37.992842352482995,-17.79852689267697,-5.504785706607832,handshake
9.0,-38.67747935471668,-16.07963939391788,-3.240276787654701,handshake
9.5,-39.26169620357711,-14.413454023900407,-0.8728530246762431,handshake
10.0,-39.72129960391851,-12.83916367983776,1.5026968854756344,handshake
10.5,-40.03763616705272,-11.396518565302564,3.7844225336911035,handshake
11.0,-40.19814972591164,-10.124996409420497,5.869146040169744,handshake
11.5,-40.196749972460346,-9.062634666709304,7.658563655700443,handshake
12.0,-40.03398316080286,-8.244514723007896,9.065070819103132,handshake
12.5,-39.71698998629106,-7.700944047573647,10.01690507965328,handshake
13.0,-39.259233228132295,-7.455439070573094,10.462273309730408,handshake
13.5,-38.679980127701334,-7.522661961782623,10.372226341290848,handshake
14.0,-38.00353269576907,-7.906501471502495,9.742154425825113,handshake
14.5,-37.25821307665502,-8.598505891824795,8.591888831362231,handshake
15.0,-36.475129540961696,-9.576871386212613,6.964497149947686,handshake
15.5,-35.686769477947216,-10.806160386367635,4.923943067724339,handshake
16.0,-34.92548610378808,-12.237874240413182,2.551838909731432,handshake
16.5,-34.22196244137963,-13.811936254222354,-0.05645178266476147,handshake
17.0,-33.603746648787435,-15.459062317081136,-2.7961032953189644,handshake
17.5,-33.093954873917504,-17.10391447074831,-5.557272591244416,handshake
18.0,-32.710230471048106,-18.66885655379361,-8.229503327993855,handshake
18.5,-32.46403189090309,-20.078068389860942,-10.70593963534831,handshake
19.0,-32.360297373460114,-21.26173243490544,-12.887246698540537,handshake
19.5,-32.39750528131387,-22.159988813761974,-14.685173172745461,handshake
20.0,-32.56811768150297,-22.726363238212755,-16.025714606546742,handshake
20.5,-32.85936492096385,-22.93040679948202,-16.85184514941739,handshake
21.0,-33.254303422671235,-22.75934403501109,-17.125778032157196,handshake
21.5,-33.73306004988824,-22.218600893581304,-16.83069790930415,handshake
22.0,-34.2741655571753,-21.33117063583915,-15.971886699073595,handshake
22.5,-34.85587736461119,-20.13586574896727,-14.577146720754369,handshake
23.0,-35.45739782915077,-18.684589789913353,-12.696418133732127,handshake
23.5,-36.05990736321018,-17.038837265101815,-10.400497773558447,handshake
24.0,-36.647350717292596,-15.265685825984264,-7.778796649530317,handshake
24.5,-37.2069377503808,-13.433578484565853,-4.936123484437171,handshake
25.0,-37.72934513383728,-11.608201643639484,-1.9885481487277974,handshake
25.5,-38.20863066975642,-9.84874733727474,0.9415249711817787,handshake
26.0,-38.64189526386621,-8.204807509230017,3.7308665089787816,handshake
26.5,-39.02874720227403,-6.7140889756118165,6.2612390080549485,handshake
27.0,-39.37063760913312,-5.401066188862342,8.425195100882181,handshake
27.5,-39.670143567059775,-4.27661227017553,10.13150556711866,handshake
28.0,-39.930275660958216,-3.338574323027587,11.309870066334348,handshake
28.5,-40.1538796165905,-2.5731933199515367,11.914597988246392,handshake
29.0,-40.343187930882245,-1.957216898163472,11.927009250019296,handshake
29.5,-40.49955832294362,-1.460518244863458,11.356389131035348,handshake
30.0,-40.623413462057606,-1.0490167721601962,10.23942917512338,handshake
30.5,-40.714373138559814,-0.6876953317547678,8.638188389552962,handshake
31.0,-40.77154835451114,-0.34352157544653317,6.636705997479406,handshake
31.5,-40.79394907615779,0.011895951501209853,4.3364805584177555,handshake
32.0,-40.78094550962072,0.4000572241013556,1.8510941261644402,handshake
32.5,-40.732717950131565,0.8338340678341614,-0.699699314198398,handshake
33.0,-40.65063289900675,1.316323975476554,-3.196085351907931,handshake
33.5,-40.53749276165146,1.8403406480209112,-5.524170506751841,handshake
34.0,-40.39762176486741,2.3885590630937616,-7.581527514752228,handshake
34.5,-40.23676987761727,2.9343058524322876,-9.282036504490323,handshake
35.0,-40.061837230838215,3.442959205836312,-10.55980077713697,handshake
35.5,-39.880441464912735,3.8738954813915325,-11.371967456924933,handshake
36.0,-39.70036743598115,4.182891762254582,-11.700336891522186,handshake
36.5,-39.528951069186725,4.324865214194715,-11.551699085941443,handshake
37.0,-39.37245576076802,4.256802813339244,-10.956890586617607,handshake
37.5,-39.23550022034228,3.9407114556032043,-9.96862162000726,handshake
38.0,-39.12059135081609,3.346402068727114,-8.658181238763408,handshake
38.5,-39.02780566447448,2.453915884407377,-7.11118702915943,handshake
39.0,-38.954649280074285,1.255409895101347,-5.422603290296181,handshake
39.5,-38.89611143441344,-0.24365599340299282,-3.691303452060031,handshake
