time,X (µT),Y (µT),Z (µT),label
0.0,240.84261157647063,-929.4774086117646,614.201061772549,waving_righthand
0.5,276.76657562800006,-923.714366456,624.796010742,waving_righthand
1.0,275.81605041399996,-923.577941892,605.804676508,waving_righthand
1.5,288.82026977799995,-922.15581299,607.456284184,waving_righthand
2.0,290.734862064,-919.031800536,603.135288092,waving_righthand
2.5,282.607423092,-922.144350582,600.1480322259999,waving_righthand
3.0,282.432257688,-920.866137694,599.545091558,waving_righthand
3.5,293.997034918,-917.716029054,605.600607914,waving_righthand
4.0,288.19487487000004,-919.083708502,600.492159422,waving_righthand
4.5,284.525319218,-921.996562496,599.886414792,waving_righthand
5.0,283.054916986,-921.971831054,596.7025720219999,waving_righthand
5.5,285.0941114215686,-921.0177911529412,596.2289153470589,waving_righthand
6.0,289.67551147999995,-919.841666264,599.6243933139999,waving_righthand
6.5,290.49392395399997,-921.0767993159998,602.559190682,waving_righthand
7.0,291.125993038,-920.365264894,602.00836548,waving_righthand
7.5,292.277633052,-919.331439212,603.189968264,waving_righthand
8.0,288.73952698600004,-920.5435009720002,599.451048584,waving_righthand
8.5,291.34918151600004,-919.712408452,601.4234582519999,waving_righthand
9.0,289.521556398,-920.852717282,600.6501855360001,waving_righthand
9.5,290.029197384,-921.385205078,604.422679446,waving_righthand
10.0,287.08498596000004,-921.875074464,601.738100586,waving_righthand
10.5,295.415053708,-916.66386109,606.1501037600001,waving_righthand
11.0,287.863724364,-918.087023926,599.448483884,waving_righthand
11.5,277.8046617666667,-922.7034720607844,594.7859915921568,waving_righthand
12.0,286.311191412,-915.992241206,593.516633306,waving_righthand
12.5,292.37117675200005,-909.394791252,592.9799804680001,waving_righthand
13.0,287.887112434,-912.687269284,590.2927648900001,waving_righthand
13.5,285.007700198,-913.252008058,588.825322268,waving_righthand
14.0,281.573441772,-920.356182862,593.533963628,waving_righthand
14.5,282.04536315400003,-919.243721924,591.495300294,waving_righthand
15.0,293.62006531,-911.284339604,595.8158056679999,waving_righthand
15.5,294.519797974,-907.779035642,594.5897656259999,waving_righthand
16.0,282.446767574,-916.44312012,589.492265624,waving_righthand
16.5,282.521989136,-916.744489746,587.710804442,waving_righthand
17.0,286.82183777200004,-914.9926831,592.004541016,waving_righthand
17.5,288.3510269411764,-915.1156640215688,591.3650129725492,waving_righthand
18.0,290.778349,-913.594973142,595.6290063499999,waving_righthand
18.5,286.220961916,-918.020670162,593.15680298,waving_righthand
19.0,281.484118046,-919.7143103,591.28401612,waving_righthand
19.5,281.84290527400003,-917.048737796,589.434957276,waving_righthand
20.0,287.661703484,-915.802766114,592.557744136,waving_righthand
20.5,291.01791564600006,-913.757376714,592.949434818,waving_righthand
21.0,285.81304382200005,-917.740550536,590.5744397020001,waving_righthand
21.5,284.90695250600004,-913.941983642,589.24415649,waving_righthand
22.0,288.03745422199995,-915.58162232,592.9582934639999,waving_righthand
22.5,287.08854981200005,-916.39041016,593.295903316,waving_righthand
23.0,288.59905090200004,-914.9694555699998,593.4041760240001,waving_righthand
23.5,290.13516654509806,-914.281230854902,595.5875447490196,waving_righthand
24.0,292.273313594,-913.69536621,597.174986566,waving_righthand
24.5,290.25421752799997,-914.173497322,595.206064454,waving_righthand
25.0,288.82825256,-914.612414546,597.97973511,waving_righthand
25.5,287.050069576,-917.044122314,595.635928954,waving_righthand
26.0,283.610916748,-919.3232165520002,595.008553466,waving_righthand
26.5,288.44158203600006,-914.099461672,596.1007568340001,waving_righthand
27.0,287.15863464399996,-916.26835449,595.172543946,waving_righthand
27.5,285.442787474,-919.050604246,595.818868412,waving_righthand
28.0,290.810548708,-916.005567632,597.614707036,waving_righthand
28.5,289.197001346,-916.03667847,596.9754260280001,waving_righthand
29.0,287.1822821,-918.0956049921568,600.1652449098041,waving_righthand
29.5,286.17404541,-918.814475096,596.207412114,waving_righthand
30.0,283.842907712,-919.686629646,595.7531713820001,waving_righthand
30.5,283.32281127,-917.0681860439998,594.5078759819999,waving_righthand
31.0,284.908533322,-918.731082764,594.5746215779999,waving_righthand
31.5,292.432123416,-914.856428226,600.854041752,waving_righthand
32.0,288.822715462,-915.966375728,592.04079223,waving_righthand
32.5,288.666067504,-917.097331548,598.248961184,waving_righthand
33.0,284.404340824,-920.721838388,597.891650388,waving_righthand
33.5,285.42904724,-920.25043579,595.621291502,waving_righthand
34.0,283.172976678,-918.506372078,592.04246704,waving_righthand
34.5,289.067388918,-913.946004638,591.986759034,waving_righthand
35.0,290.195480045098,-914.6912674215688,592.1967342529413,waving_righthand
35.5,293.25471923599997,-912.257196046,594.3816064480001,waving_righthand
36.0,291.87765441999994,-913.334885256,598.4232592860001,waving_righthand
36.5,285.50162353999997,-918.839527586,594.347834478,waving_righthand
37.0,284.258312994,-920.609836418,594.779960936,waving_righthand
37.5,285.641586916,-920.856710206,594.978581542,waving_righthand
38.0,293.07821289199995,-919.51898681,603.8028454600001,waving_righthand
38.5,293.75811219,-917.889300538,601.552358398,waving_righthand
39.0,296.461109614,-915.811828614,606.328680422,waving_righthand
39.5,292.02588684,-920.9683740239998,608.962049552,waving_righthand
40.0,287.68862304600003,-920.680229496,627.0634411579999,waving_righthand
40.5,278.8032428,-925.440300282,628.888900142,waving_righthand
41.0,277.23748899411765,-925.316419409804,628.2965482882353,waving_righthand
41.5,273.965663458,-926.077301022,629.044739988,waving_righthand
42.0,278.751318364,-925.4414147839998,626.4253662039999,waving_righthand
42.5,289.088762818,-921.306196278,609.776893316,waving_righthand
43.0,290.467412718,-922.05854858,614.9426599140002,waving_righthand
43.5,290.92444092,-921.119523916,620.3856249940001,waving_righthand
44.0,291.29310669200004,-921.2213061619998,616.8241784639999,waving_righthand
44.5,291.78455016400005,-920.525599358,608.601433108,waving_righthand
45.0,290.179163204,-921.22991089,600.256362306,waving_righthand
45.5,283.507451166,-920.094382324,598.17226563,waving_righthand
46.0,277.75475402200004,-922.5565942420002,594.9375842240001,waving_righthand
46.5,285.54631225599996,-918.70877076,599.82366455,waving_righthand
47.0,291.04273418431376,-917.0990397098038,601.0950293490196,waving_righthand
47.5,289.752322998,-919.178399658,603.407818602,waving_righthand
48.0,283.26553710999997,-920.02134522,598.5884741240001,waving_righthand
48.5,280.2946637,-923.3838757340002,598.120189206,waving_righthand
49.0,289.128157346,-917.880545652,600.13447388,waving_righthand
49.5,292.024320072,-915.685683592,597.1166162100001,waving_righthand
50.0,286.320974124,-913.837364502,595.1905615259999,waving_righthand
50.5,123.89996643148802,-400.9308374016,232.98155151680004,waving_righthand
51.0,18.636362762084,-25.7710125732,-22.6099804692,waving_righthand
51.5,15.64255142214,-27.6472833252,-26.0065704348,waving_righthand
52.0,19.95986396758,-27.9705804448,-22.195346679999993,waving_righthand
52.5,16.4129886628156,-25.0846600344,-26.101011963000005,waving_righthand
53.0,17.21694976188612,-23.25428981352941,-26.115778305686273,waving_righthand
53.5,16.30695655758,-26.3281970212,-27.5582000732,waving_righthand
54.0,17.9057401269,-27.0908489988,-25.8452795406,waving_righthand
54.5,18.55156593424,-28.0611895756,-23.5311199954,waving_righthand
55.0,16.552583465539996,-28.682776489599995,-25.3222265634,waving_righthand
55.5,18.0051949310566,-24.603102416300004,-24.4970697028,waving_righthand
56.0,19.132182464194,-18.62985961984,-24.8204302976,waving_righthand
56.5,26.682148131099996,-18.89036621062,-17.597073364040003,waving_righthand
57.0,21.603762741399997,-20.76904235854,-20.9169262696,waving_righthand
57.5,15.731706543776,-24.82209350602,-24.5059454342,waving_righthand
58.0,14.666606826976,-22.938336181240008,-26.107714233400003,waving_righthand
58.5,16.343819580652,-22.013280029139995,-25.0002691636,waving_righthand
59.0,22.109659456372547,-20.840699439549017,-21.567565319980393,waving_righthand
59.5,19.650455627168,-21.45675659234,-23.522300414799997,waving_righthand
60.0,1.527748108,-31.65823364,-28.55187988,waving_righthand
60.5,-8.243683833260786,-43.33369655254901,6.716527602333333,waving_righthand
61.0,23.40931076054,-32.790615234,-2.559967651702,waving_righthand
61.5,27.380066299799996,-24.90638916068,-13.38042236344,waving_righthand
62.0,26.32591438296,-24.12183227572,-17.64186767608,waving_righthand
62.5,25.7369566341,-26.48525390628,-12.265045166241602,waving_righthand
63.0,24.57599822962,-28.246154175099996,-10.711487427008,waving_righthand
63.5,26.03323829646,-27.4118328854,-8.4203369143558,waving_righthand
64.0,25.50700653064,-27.976483153799997,-8.6104846189488,waving_righthand
64.5,22.576487045947996,-28.8339208986,-13.156544799920002,waving_righthand
65.0,24.327940902580004,-28.3633026118,-8.962717895312,waving_righthand
65.5,26.378260955900004,-26.74631652832,-9.7792138665762,waving_righthand
66.0,25.680143204600004,-25.71849365256,-14.299770508259998,waving_righthand
66.5,25.273083181450975,-24.53276151772549,-18.7063072054902,waving_righthand
67.0,26.11486885056,-21.581772460914003,-19.05469604502,waving_righthand
67.5,25.02111221356,-18.189993896366,-24.2563940418,waving_righthand
68.0,24.159945907500006,-18.403320922390204,-25.208485108,waving_righthand
68.5,25.8927356722,-20.1765740973534,-21.727648316060005,waving_righthand
69.0,25.51107162458,-21.95349609392,-20.5958953854,waving_righthand
69.5,25.699909285999997,-22.488753662434,-18.95930847196,waving_righthand
70.0,25.7164212034,-22.61198059128,-19.65499206584,waving_righthand
70.5,26.766900634599995,-22.994440918380004,-17.339039306380002,waving_righthand
71.0,26.497851791020004,-23.1240747066,-17.067269287160002,waving_righthand
71.5,24.82080757117999,-23.60025207556,-19.33944580074,waving_righthand
72.0,25.84742881826,-21.249129028079995,-18.18195251392,waving_righthand
72.5,25.849101122941175,-19.454212263380395,-20.818488027274512,waving_righthand
73.0,26.162778319999997,-22.857005615259997,-19.28869934042,waving_righthand
73.5,27.886957855,-17.921557006752,-20.12894165056,waving_righthand
74.0,28.8415287772,-14.990992431102002,-19.075970458599997,waving_righthand
74.5,25.045117340580006,-18.4907012936778,-23.7688623044,waving_righthand
75.0,28.47416976964,-16.355689086866004,-18.02867553736,waving_righthand
75.5,25.275252839000004,-20.89660949746,-22.06900939914,waving_righthand
76.0,28.088582534799997,-22.57311767594,-13.747267456174,waving_righthand
76.5,28.43913185106,-18.660751952846,-15.5450476074,waving_righthand
77.0,24.53920509362,-23.202362060799995,-19.75183227514,waving_righthand
77.5,22.03614288352,-25.854616089200004,-19.3311212148,waving_righthand
78.0,21.2615512847,-23.97706909202,-22.8487487796,waving_righthand
78.5,21.839531618156865,-21.37982776080392,-24.653971953333336,waving_righthand
79.0,21.11365493758,-21.19416564956,-21.448118285240003,waving_righthand
79.5,20.711735687772,-23.05703674257,-20.45510376014,waving_righthand
80.0,18.749806289328,-24.445079956426,-16.70712097152,waving_righthand
80.5,20.043041381968003,-23.653486938720004,-17.88406372036,waving_righthand
81.0,24.47610679634,-17.340263672278,-17.26927001962,waving_righthand
81.5,23.24709136897999,-19.2957550044714,-20.1347808842,waving_righthand
82.0,27.537736511699997,-15.263965454364,-15.359238891500004,waving_righthand
82.5,25.581152572646,-16.7043182369328,-17.196087646779997,waving_righthand
83.0,23.661279373308,-21.232990112538,-13.933208617584,waving_righthand
83.5,23.218955840868,-22.645155029098007,-16.45244873012,waving_righthand
84.0,27.554196472379996,-22.006473998831797,-10.4111492915,waving_righthand
84.5,26.752380595627457,-19.99383245714549,-15.496932085843138,waving_righthand
85.0,30.2472350314,-19.20747497538,-17.649614867799997,waving_righthand
85.5,31.672910232199996,-23.2004705808,2.8492645265,waving_righthand
86.0,20.28330528222,-30.7250305178,13.087862549024,waving_righthand
86.5,27.9300354761,-24.872269287230395,-2.705530395331599,waving_righthand
87.0,28.07179718024,-25.995264282179996,-6.303817749058001,waving_righthand
87.5,26.32785491916,-27.14783142106,-10.01121826176,waving_righthand
88.0,26.53371574398,-29.216392822000003,-3.81228271513,waving_righthand
88.5,25.113871230599997,-25.850077514659997,-9.004542236366799,waving_righthand
89.0,27.3835597984,-26.339483642179992,-5.976781005850399,waving_righthand
89.5,23.5845144660674,-24.712921752440003,-11.725261841017998,waving_righthand
90.0,23.192343292637997,-27.005104980819997,-8.1454418948556,waving_righthand
90.5,23.896498871318,-25.30733520516,-11.77980712888,waving_righthand
91.0,24.268591114754894,-25.505457261431378,-11.105328728462744,waving_righthand
91.5,25.691870193570004,-26.70469116208,-8.390253905826,waving_righthand
92.0,28.8282195284,-25.022044677680004,-7.808993530585999,waving_righthand
92.5,26.74662506152,-23.370806274866005,-11.969923706572,waving_righthand
93.0,26.42682304378,-26.73746337819999,-6.524563598734,waving_righthand
93.5,27.73368087748,-23.778117675770005,-12.418833007669598,waving_righthand
94.0,27.4024702448,-23.947491454786004,-11.320826415667998,waving_righthand
94.5,27.981372604399994,-26.8921557615,-8.8237017819284,waving_righthand
95.0,28.440625457400003,-27.33612854044,-6.145574340903799,waving_righthand
95.5,30.59879104548,-21.18483520519,-11.84318359332,waving_righthand
96.0,28.9470841219,-28.37032592748,-6.42083862289,waving_righthand
96.5,25.763933334060003,-28.842833252599995,-5.475752563044,waving_righthand
97.0,25.00220347396863,-25.184223249843136,-12.17201681719608,waving_righthand
97.5,21.699689025724,-28.25599121162,-12.0617681882,waving_righthand
98.0,26.324437637437995,-22.620847168157596,-10.496570434608,waving_righthand
98.5,24.71612411506,-23.326159667369996,-13.37192810117,waving_righthand
99.0,25.990761718300003,-22.130302734102003,-14.14195190458,waving_righthand
99.5,25.27204483048,-24.69628845196,-15.71518981966,waving_righthand
100.0,18.7052958683726,-32.1874945066,-12.32405273408,waving_righthand
100.5,23.206856307880003,-25.4299957274,-20.8229241944,waving_righthand
101.0,15.447510529006005,-29.33270629839999,-23.10192626978,waving_righthand
101.5,17.186627120388,-28.0217932136,-23.423833618560003,waving_righthand
102.0,23.97311302088,-23.84644226028,-21.6485217292,waving_righthand
102.5,23.352028808840004,-22.999815673199997,-23.84378784139999,waving_righthand
103.0,21.209185582117644,-28.465568991568627,-21.64346792192157,waving_righthand
103.5,19.09380355814,-29.295319824599996,-22.720073241579993,waving_righthand
104.0,25.22988754216,-24.101281128,-20.935108642838,waving_righthand
104.5,27.130661544399995,-25.699016113599995,-19.290626220924004,waving_righthand
105.0,24.1662146764,-24.85888610826,-22.2608764648,waving_righthand
105.5,21.14116470342,-25.666830445,-21.851542969,waving_righthand
106.0,20.879005051119996,-26.596575317400003,-21.90548400912,waving_righthand
106.5,24.87955886878,-24.509212646579996,-19.544504394302,waving_righthand
107.0,28.8294881434,-23.693593750700003,-17.799720459040003,waving_righthand
107.5,30.241704788400007,-19.7116204832684,-19.62427917514,waving_righthand
108.0,28.197581863999993,-22.482232666619996,-20.09271118128,waving_righthand
108.5,25.58143028234,-24.4930303946,-22.82745971764,waving_righthand
109.0,27.42034612921568,-24.52982046117647,-20.00736251545098,waving_righthand
109.5,26.002142486699995,-23.411043090520003,-21.483446045279997,waving_righthand
110.0,23.919213256820004,-25.9206854248,-20.97405883752,waving_righthand
110.5,25.237516937619993,-26.6344201662,-19.38532104504,waving_righthand
111.0,27.441940536680004,-23.357888793939996,-19.234168090180003,waving_righthand
111.5,25.74714302102,-24.69370361348,-18.685333861999997,waving_righthand
112.0,27.23243583694,-25.624226684199996,-16.41516540532,waving_righthand
112.5,11.9653578953,-35.8256427,-7.224349365458,waving_righthand
113.0,6.28607505802,-39.7539141842,6.870908813419999,waving_righthand
113.5,8.787781066980001,-39.7721435544,7.083494872999999,waving_righthand
114.0,25.748539809919997,-28.0923260498,-11.222989501608,waving_righthand
114.5,23.246255722,-28.690806274799996,-14.17870727564,waving_righthand
115.0,23.22789863568,-27.703281860399997,-12.5994470214,waving_righthand
115.5,25.956415288215688,-25.948665244803927,-11.943779439980393,waving_righthand
116.0,20.135217743158,-25.24679809601999,-18.651504516320003,waving_righthand
116.5,20.21574287428,-24.001922607060006,-23.2746209714,waving_righthand
117.0,18.819830779639997,-21.391364135279996,-26.2547265618,waving_righthand
117.5,22.28216720544,-21.79668762248,-25.0933166502,waving_righthand
