time,X (µT),Y (µT),Z (µT),label
0,258.62675219603955,-926.6244174455444,619.4460860148515,waving_righthand
1,282.31816009600004,-922.8668774410002,606.630480346,waving_righthand
2,286.671142578,-920.588075559,601.6416601589999,waving_righthand
3,288.21464630300005,-919.291083374,602.572849736,waving_righthand
4,286.360097044,-920.5401354990004,600.189287107,waving_righthand
5,284.0846092257426,-921.4900881336634,596.463398849505,waving_righthand
6,290.084717717,-920.45923279,601.0917919980001,waving_righthand
7,291.701813045,-919.848352053,602.5991668719998,waving_righthand
8,290.044354251,-920.1279547119998,600.4372534179998,waving_righthand
9,289.77537689099995,-921.11896118,602.536432491,waving_righthand
10,291.250019834,-919.2694677770004,603.944102173,waving_righthand
11,282.7843957257426,-920.41810169703,597.0941560930693,waving_righthand
12,289.341184082,-912.693516229,593.248306887,waving_righthand
13,286.447406316,-912.9696386709998,589.5590435790001,waving_righthand
14,281.809402463,-919.799952393,592.514631961,waving_righthand
15,294.069931642,-909.5316876230002,595.202785647,waving_righthand
16,282.484378355,-916.593804933,588.6015350330001,waving_righthand
17,287.5940026,-915.0547823772278,591.6816110138614,waving_righthand
18,288.499655458,-915.807821652,594.392904665,waving_righthand
19,281.66351166,-918.381524048,590.3594866980001,waving_righthand
20,289.339809565,-914.7800714140004,592.753589477,waving_righthand
21,285.35999816399993,-915.8412670890002,589.9092980959999,waving_righthand
22,287.563002017,-915.98601624,593.12709839,waving_righthand
23,289.3747132564357,-914.621936159406,594.5066691425742,waving_righthand
24,291.263765561,-913.934431766,596.19052551,waving_righthand
25,287.93916106800003,-915.82826843,596.807832032,waving_righthand
26,286.026249392,-916.7113391119998,595.5546551499999,waving_righthand
27,286.30071105900004,-917.659479368,595.4957061790001,waving_righthand
28,290.00377502699996,-916.021123051,597.2950665320001,waving_righthand
29,286.68315502574256,-918.451481281188,598.2059217435643,waving_righthand
30,283.58285949099997,-918.377407845,595.1305236820001,waving_righthand
31,288.67032836899995,-916.793755495,597.714331665,waving_righthand
32,288.744391483,-916.531853638,595.1448767070001,waving_righthand
33,284.91669403199995,-920.486137089,596.7564709449999,waving_righthand
34,286.120182798,-916.226188358,592.0146130369999,waving_righthand
35,291.7099548920792,-913.4862815920792,593.2783541514851,waving_righthand
36,288.68963898000004,-916.087206421,596.3855468820001,waving_righthand
37,284.949949955,-920.733273312,594.8792712390001,waving_righthand
38,293.41816254099996,-918.704143674,602.677601929,waving_righthand
39,294.243498227,-918.390101319,607.645364987,waving_righthand
40,283.24593292299994,-923.060264889,627.97617065,waving_righthand
41,275.61777338217826,-925.6930934752476,628.6669402188119,waving_righthand
42,283.920040591,-923.373805531,618.1011297599999,waving_righthand
43,290.695926819,-921.589036248,617.664142454,waving_righthand
44,291.538828428,-920.87345276,612.712805786,waving_righthand
45,286.843307185,-920.6621466070002,599.214313968,waving_righthand
46,281.65053313899995,-920.632682501,597.380624387,waving_righthand
47,290.40391676534654,-918.1284258227722,602.2399745237624,waving_righthand
48,281.780100405,-921.702610477,598.354331665,waving_righthand
49,290.57623870899994,-916.783114622,598.625545045,waving_righthand
50,205.110470277744,-657.3841009518,414.0860565214,waving_righthand
51,17.139457092112,-26.7091479492,-24.308275451999997,waving_righthand
52,18.186426315197803,-26.5276202396,-24.148179321499995,waving_righthand
53,16.76645807658606,-24.776026054950496,-26.82984848762376,waving_righthand
54,18.22865303057,-27.576019287200005,-24.688199768000004,waving_righthand
55,17.2788891982983,-26.642939452950003,-24.909648133100003,waving_righthand
56,22.907165297647,-18.760112915230003,-21.208751830819995,waving_righthand
57,18.667734642588,-22.795567932280004,-22.7114358519,waving_righthand
58,15.505213203814003,-22.475808105190005,-25.553991698499996,waving_righthand
59,20.89223181815248,-21.145678228059403,-22.5352559609802,waving_righthand
60,1.527748108,-31.65823364,-28.55187988,waving_righthand
61,7.426115470600991,-38.11434936514852,2.1242032191475246,waving_righthand
62,26.85299034138,-24.5141107182,-15.51114501976,waving_righthand
63,25.156477431859997,-27.36570404069,-11.488266296624795,waving_righthand
64,25.77012241355,-27.6941580196,-8.5154107666523,waving_righthand
65,23.452213974264,-28.5986117552,-11.059631347615998,waving_righthand
66,26.02920208025,-26.23240509044,-12.0394921874181,waving_righthand
67,25.689808760217822,-23.071875846036633,-18.8787769280297,waving_righthand
68,24.59052906053,-18.296657409378103,-24.732439574900003,waving_righthand
69,25.701903648389997,-21.0650350956367,-21.16177185073,waving_righthand
70,25.7081652447,-22.550367126857005,-19.3071502689,waving_righthand
71,26.63237621281,-23.05925781249,-17.20315429677,waving_righthand
72,25.33411819472,-22.424690551820003,-18.76069915733,waving_righthand
73,26.00438686405941,-21.13876342767723,-20.061166895168313,waving_righthand
74,28.3642433161,-16.456274718927,-19.60245605458,waving_righthand
75,26.759643555110003,-17.4231951902719,-20.89876892088,waving_righthand
76,26.681917686899997,-21.7348635867,-17.908138427657,waving_righthand
77,26.48916847234,-20.931557006823,-17.64843994127,waving_righthand
78,21.64884708411,-24.91584259060999,-21.089934997200004,waving_righthand
