Sensor Type,Kalman_Num_Changes,Kalman_Perc_Changes,File
X (m/s^2),303,100.0,Combined_Accelerometer_1s.csv
Y (m/s^2),303,100.0,Combined_Accelerometer_1s.csv
Z (m/s^2),303,100.0,Combined_Accelerometer_1s.csv
X (rad/s),301,100.0,Combined_Gyroscope_1s.csv
Y (rad/s),301,100.0,Combined_Gyroscope_1s.csv
Z (rad/s),301,100.0,Combined_Gyroscope_1s.csv
X (m/s^2),301,100.0,Combined_Linear Accelerometer_1s.csv
Y (m/s^2),301,100.0,Combined_Linear Accelerometer_1s.csv
Z (m/s^2),301,100.0,Combined_Linear Accelerometer_1s.csv
X (µT),301,100.0,Combined_Magnetometer_1s.csv
Y (µT),301,100.0,Combined_Magnetometer_1s.csv
Z (µT),301,100.0,Combined_Magnetometer_1s.csv
