Sensor Type,LOF_Num_Changes,LOF_Perc_Changes,File
X (m/s^2),34,11.22,Combined_Accelerometer_1s.csv
Y (m/s^2),23,7.59,Combined_Accelerometer_1s.csv
Z (m/s^2),15,4.95,Combined_Accelerometer_1s.csv
X (rad/s),22,7.31,Combined_Gyroscope_1s.csv
Y (rad/s),29,9.63,Combined_Gyroscope_1s.csv
Z (rad/s),18,5.98,Combined_Gyroscope_1s.csv
X (m/s^2),18,5.98,Combined_Linear Accelerometer_1s.csv
Y (m/s^2),8,2.66,Combined_Linear Accelerometer_1s.csv
Z (m/s^2),11,3.65,Combined_Linear Accelerometer_1s.csv
X (µT),19,6.31,Combined_Magnetometer_1s.csv
Y (µT),38,12.62,Combined_Magnetometer_1s.csv
Z (µT),23,7.64,Combined_Magnetometer_1s.csv
