"Time (s)","X (hPa)"
-5.660775833E-1,1.008563538E3
4.650784167E-1,1.008563309E3
1.496184417E0,1.008563461E3
2.527327417E0,1.008563461E3
3.558439417E0,1.008563461E3
3.752982417E0,1.008561783E3
4.817419417E0,1.008561783E3
5.881870417E0,1.008562012E3
6.946328417E0,1.008562241E3
8.010767417E0,1.008562012E3
9.075237417E0,1.008561325E3
1.013972542E1,1.008560944E3
1.120424942E1,1.008560333E3
1.226869442E1,1.008560104E3
1.333314142E1,1.008559265E3
1.439761542E1,1.008558655E3
1.546207042E1,1.008557587E3
1.652657542E1,1.008555832E3
1.759105742E1,1.008554459E3
1.865557742E1,1.008553543E3
1.972007842E1,1.008552551E3
2.078452842E1,1.008552551E3
2.184899942E1,1.008554153E3
2.291339942E1,1.008555679E3
2.397784642E1,1.008558807E3
2.504229442E1,1.008561554E3
2.610673742E1,1.008563232E3
2.717118642E1,1.008565521E3
2.823562842E1,1.008567200E3
2.930009942E1,1.008567657E3
3.036454942E1,1.008570557E3
3.142899642E1,1.008571930E3
3.249346542E1,1.008571930E3
3.355793242E1,1.008572235E3
3.462239742E1,1.008572235E3
3.568688042E1,1.008569183E3
3.675129642E1,1.008566971E3
3.781577942E1,1.008565140E3
3.888027542E1,1.008564911E3
3.994476442E1,1.008563461E3
4.100925642E1,1.008563461E3
4.207377142E1,1.008564453E3
4.313818042E1,1.008565292E3
4.420260242E1,1.008565292E3
4.526706342E1,1.008565292E3
4.633149842E1,1.008565292E3
4.739595542E1,1.008564072E3
4.846041742E1,1.008563843E3
4.952489142E1,1.008563309E3
5.058939642E1,1.008563843E3
5.165387342E1,1.008564148E3
5.271834142E1,1.008566818E3
5.378280942E1,1.008567047E3
5.484732542E1,1.008567047E3
5.591183942E1,1.008564529E3
5.697640942E1,1.008559418E3
