"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.044791669E-3,1.441966415E1,-6.884034576E0,4.035308533E0
7.939208335E-3,1.343456268E1,-6.131100311E0,3.716471558E0
1.792220833E-2,1.223540634E1,-5.320535889E0,3.290008392E0
2.790620834E-2,1.091185867E1,-4.672383728E0,2.563718719E0
3.789020833E-2,9.397607574E0,-4.278253326E0,1.769470367E0
4.787420834E-2,7.498656464E0,-3.925287323E0,9.680369568E-1
5.785820833E-2,5.352718964E0,-3.595523071E0,1.324745178E-1
6.784120834E-2,3.490740967E0,-3.126099243E0,-4.745132446E-1
7.782520833E-2,2.251168671E0,-2.477647705E0,-8.737330627E-1
8.780920834E-2,1.446142731E0,-1.707499237E0,-1.139729919E0
9.779320833E-2,6.270460510E-1,-9.524693298E-1,-1.294208679E0
1.077762083E-1,-4.233197021E-1,-3.945794678E-1,-1.432371368E0
1.177602083E-1,-1.414109344E0,6.795867920E-2,-1.576072540E0
1.277442083E-1,-2.351609802E0,4.156855774E-1,-1.454076233E0
1.377282083E-1,-3.066972198E0,7.524851990E-1,-1.073717194E0
1.477122083E-1,-3.489693146E0,1.190624084E0,-6.170169067E-1
1.576952083E-1,-4.222269745E0,1.670077057E0,-2.152523804E-1
1.676792083E-1,-4.778962097E0,1.738185425E0,-1.595681763E-1
1.776632083E-1,-4.982389069E0,1.465751953E0,-5.739065552E-1
1.876472083E-1,-6.999893646E0,1.905537415E0,5.351371765E-1
1.976302083E-1,-7.865094452E0,2.359992371E0,1.445843353E0
2.076142083E-1,-8.294701080E0,2.718646545E0,1.663191376E0
2.175982083E-1,-8.850046234E0,3.235372009E0,1.861977997E0
2.275822083E-1,-9.130263519E0,3.650907898E0,1.959575043E0
2.375662083E-1,-9.382189636E0,3.745660858E0,2.013762360E0
2.475492083E-1,-9.604477386E0,3.178789673E0,1.905687103E0
2.575332083E-1,-9.529633026E0,2.052681427E0,1.611698456E0
2.675172083E-1,-9.041647797E0,1.160836029E0,1.542841644E0
2.775012083E-1,-8.261470184E0,3.739224243E-1,1.541344757E0
2.874842083E-1,-7.485184479E0,-6.253994751E-1,1.639540558E0
2.974682083E-1,-6.486910400E0,-1.782642975E0,1.783241730E0
3.074522083E-1,-5.297034760E0,-2.963986359E0,1.754800873E0
3.174362083E-1,-3.908522186E0,-4.350702667E0,1.868414612E0
3.274192083E-1,-2.500400391E0,-6.277346191E0,1.765877838E0
3.374032083E-1,-7.116201782E-1,-8.320148163E0,1.911375275E0
3.473872083E-1,2.419418793E0,-1.041893372E1,1.713486786E0
3.573712083E-1,6.623276825E0,-1.266680923E1,1.153052216E0
