"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.166620833E-2,1.519349456E0,9.734494090E-1,-6.016806602E0
3.165020834E-2,1.565686226E0,1.140522599E0,-6.059691429E0
4.163420833E-2,1.589746833E0,1.222342849E0,-6.019951344E0
5.161820833E-2,1.589256763E0,1.114710927E0,-5.885042667E0
6.160220833E-2,1.560370326E0,8.697583675E-1,-5.703020096E0
7.158520833E-2,1.508183241E0,5.584348440E-1,-5.512963295E0
8.156920833E-2,1.442665339E0,2.447488606E-1,-5.338799953E0
9.155320833E-2,1.364823818E0,1.068577543E-2,-5.208678246E0
1.015372083E-1,1.258345723E0,-2.172635347E-1,-5.062153816E0
1.115202083E-1,1.089737773E0,-5.339927673E-1,-4.844264984E0
1.215042083E-1,8.875524402E-1,-8.485888839E-1,-4.600417137E0
1.314882083E-1,7.140773535E-1,-1.152065158E0,-4.360332012E0
1.414722083E-1,6.032702327E-1,-1.424834132E0,-4.129129410E0
1.514562083E-1,5.467912555E-1,-1.616497397E0,-3.878263950E0
1.614392083E-1,4.844903052E-1,-1.875189662E0,-3.595594883E0
1.714232083E-1,3.161636293E-1,-2.293029070E0,-3.333900452E0
1.814072083E-1,2.664435208E-1,-2.654783010E0,-2.884011745E0
1.913912083E-1,3.380679190E-1,-2.934952736E0,-2.316435337E0
2.013742083E-1,4.346666634E-1,-3.198866844E0,-1.696694016E0
2.113582083E-1,4.934849739E-1,-3.269969225E0,-1.063961267E0
2.213422083E-1,4.825261831E-1,-3.137868404E0,-3.693690300E-1
2.313262083E-1,4.141588211E-1,-2.716331482E0,4.400915802E-1
2.413102083E-1,2.853498161E-1,-1.927085280E0,1.400283456E0
2.512932083E-1,8.648677170E-2,-9.399039745E-1,2.450418949E0
2.612772083E-1,-1.817357987E-1,7.075044513E-2,3.490305424E0
2.712612083E-1,-4.822916389E-1,1.008556962E0,4.485827446E0
2.812452083E-1,-7.767556310E-1,1.810017586E0,5.409315586E0
2.912282083E-1,-1.036952853E0,2.351262093E0,6.256007195E0
3.012122083E-1,-1.265440345E0,2.620343685E0,7.029652119E0
3.111962083E-1,-1.407771707E0,2.818540096E0,7.698270798E0
3.211802083E-1,-1.493738651E0,2.918429136E0,8.352056503E0
3.311632083E-1,-1.520661116E0,2.893795729E0,9.002640724E0
3.411472083E-1,-1.481076837E0,2.427444458E0,9.482411385E0
3.511312083E-1,-1.311826825E0,1.405148625E0,9.658858299E0
3.611152083E-1,-1.031123877E0,-1.841831356E-1,9.447884560E0
3.710992083E-1,-9.174540639E-1,-2.083965540E0,8.939220428E0
