"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.440499997E-3,-7.424203867E-1,-1.111054297E-1,-1.268240610E-1
1.542450000E-2,-6.458074272E-1,-6.692956924E-2,9.060845375E-3
2.540750000E-2,-6.483188063E-1,-5.250938527E-2,-3.989555240E-3
3.539150000E-2,-7.182152528E-1,-1.132987203E-1,-9.776135266E-2
4.537450000E-2,-7.325222200E-1,-2.461541842E-1,-9.485382468E-2
5.535750000E-2,-6.564201236E-1,-3.589275321E-1,-5.162740588E-2
6.534150000E-2,-5.165330905E-1,-4.619323754E-1,-2.025563210E-2
7.532450000E-2,-4.117240888E-1,-4.607161546E-1,5.530968994E-2
8.530850000E-2,-1.632180083E-1,-3.880112904E-1,2.103170380E-1
9.529150000E-2,2.624014038E-1,-3.524156342E-1,4.012081638E-1
1.052745000E-1,1.032663893E0,-1.911125891E-1,6.079852974E-1
1.152585417E-1,1.916191041E0,-3.758751020E-2,1.076641971E0
1.252415417E-1,2.718174090E0,-5.312195420E-3,1.466282296E0
1.352255417E-1,3.469883364E0,1.221664613E-1,1.710684069E0
1.452085417E-1,4.203373298E0,1.948187006E-1,1.910220742E0
1.551915417E-1,4.805199723E0,1.233440906E-1,1.961149990E0
1.651755417E-1,5.303035172E0,1.705135792E-2,1.889203510E0
1.751585417E-1,5.709229549E0,-2.000376329E-1,1.735193405E0
1.851425417E-1,6.010493302E0,-3.832928798E-1,1.578792080E0
1.951255417E-1,6.127883758E0,-3.928013295E-1,1.600773518E0
2.051085417E-1,6.643809907E0,-8.458055913E-1,1.203776227E0
2.150925417E-1,7.145455987E0,-1.180564827E0,9.602095816E-1
2.250755417E-1,7.536174538E0,-1.150996627E0,8.837721473E-1
2.350595417E-1,7.886357267E0,-1.165947080E0,7.976841760E-1
2.450425417E-1,8.290836071E0,-1.340034185E0,5.193368304E-1
2.550255417E-1,8.595901684E0,-1.531761463E0,1.842251538E-1
2.650095417E-1,9.024754021E0,-1.656746867E0,9.405407175E-2
2.749925417E-1,9.673149426E0,-1.609919440E0,1.486045007E-1
2.849765417E-1,1.027147161E1,-1.492511736E0,3.060116923E-1
2.949595417E-1,1.063396390E1,-1.458033775E0,6.007661788E-1
3.049425417E-1,1.052428768E1,-1.609107555E0,7.886734705E-1
3.149265417E-1,1.005478433E1,-1.910596864E0,8.257512496E-1
3.249095417E-1,9.120371785E0,-2.371418707E0,6.979290690E-1
3.348935417E-1,7.833451075E0,-2.893099979E0,4.541690272E-1
3.448765417E-1,6.208837874E0,-3.369036435E0,-7.191081226E-2
3.548595417E-1,4.477010127E0,-3.961808740E0,-7.816014093E-1
3.648435417E-1,2.742939972E0,-4.699692564E0,-1.430068881E0
3.748265417E-1,9.846418798E-1,-5.241673322E0,-1.803261427E0
3.848105417E-1,-5.316674387E-1,-5.565618424E0,-2.043834005E0
3.947935417E-1,-2.101178818E0,-5.772972386E0,-2.352933173E0
4.047765417E-1,-3.851694852E0,-6.006166363E0,-2.680073048E0
4.147605417E-1,-5.220093588E0,-6.145503173E0,-2.782906276E0
4.247435417E-1,-6.009073598E0,-6.139420899E0,-2.779054130E0
4.347275417E-1,-6.549893684E0,-6.042696258E0,-2.775957153E0
4.447105417E-1,-7.246138024E0,-5.975676641E0,-2.649304707E0
4.546945417E-1,-7.953089200E0,-6.040077290E0,-2.392000029E0
4.646775417E-1,-8.432835703E0,-6.140776284E0,-1.971964416E0
4.746605417E-1,-8.789811727E0,-6.235883000E0,-1.420377121E0
4.846445417E-1,-9.104130558E0,-6.296451384E0,-8.403407836E-1
4.946275417E-1,-9.227150713E0,-6.253564396E0,-2.756833541E-1
5.046105417E-1,-9.433677878E0,-6.189007042E0,3.163495696E-1
5.145945417E-1,-9.804514727E0,-6.233211408E0,1.012349934E0
5.245775417E-1,-1.028372387E1,-6.352693997E0,1.783111922E0
5.345615417E-1,-1.101526317E1,-6.428454616E0,2.537237265E0
5.445445417E-1,-1.188642697E1,-6.427863463E0,2.997570426E0
5.545285417E-1,-1.274329082E1,-6.383074375E0,3.052769896E0
5.645115417E-1,-1.348159769E1,-6.282984661E0,2.921320980E0
5.744945417E-1,-1.380687361E1,-6.065502153E0,2.731979951E0
5.844785417E-1,-1.371559390E1,-5.921569431E0,2.795783599E0
5.944615417E-1,-1.348236718E1,-5.980863122E0,2.992020834E0
6.044455417E-1,-1.323527554E1,-6.138709293E0,3.050182503E0
6.144285417E-1,-1.293285404E1,-6.309231643E0,2.947888389E0
6.244115417E-1,-1.235188054E1,-6.407290034E0,2.614646798E0
6.343955417E-1,-1.127962515E1,-6.452028251E0,1.995683938E0
6.443785417E-1,-9.825051903E0,-6.756731921E0,9.938394038E-1
6.543615417E-1,-7.850805026E0,-7.090646526E0,-4.460023673E-1
6.643455417E-1,-5.733915324E0,-7.322768708E0,-2.038726608E0
6.743285417E-1,-4.202634795E0,-7.643070996E0,-3.441136405E0
6.843125417E-1,-2.892105952E0,-8.306773242E0,-4.334031378E0
6.942955417E-1,-1.140998765E0,-9.174247445E0,-4.015080675E0
7.042795417E-1,2.434941396E0,-1.025480120E1,-4.503295700E0
7.142625417E-1,6.150605453E0,-1.019192960E1,-4.660413601E0
7.242455417E-1,8.680217364E0,-9.710094473E0,-3.889265551E0
7.342295417E-1,1.105098031E1,-9.038037141E0,-2.247466798E0
7.442125417E-1,1.386385122E1,-7.406240051E0,6.036131881E-1
7.541965417E-1,1.659799406E1,-5.222134266E0,4.438400085E0
7.641795417E-1,1.782370495E1,-3.722188965E0,8.197407505E0
7.741625417E-1,1.664104126E1,-3.330290738E0,1.089681145E1
7.841465417E-1,1.411963416E1,-3.913206391E0,1.119555856E1
7.941295417E-1,1.213721288E1,-4.727372698E0,9.434326919E0
8.041135417E-1,1.109496540E1,-5.319737744E0,6.590942892E0
8.140965417E-1,1.092969268E1,-5.454938818E0,3.560487140E0
8.240795417E-1,1.145443000E1,-5.071517007E0,8.877339283E-1
8.340635417E-1,1.248878491E1,-4.201174453E0,-1.035717016E0
8.440465417E-1,1.362709161E1,-2.946164338E0,-1.678235385E0
8.540305417E-1,1.438979424E1,-1.623775587E0,-9.853473464E-1
8.640135417E-1,1.481521894E1,-9.458859497E-1,2.433064440E-1
8.739965417E-1,1.487267602E1,-1.066596454E0,1.233270752E0
8.839805417E-1,1.432750151E1,-1.296682636E0,1.913756261E0
8.939635417E-1,1.358808016E1,-1.409881808E0,2.140372120E0
9.039475417E-1,1.318580576E1,-1.776767108E0,1.745631123E0
9.139305417E-1,1.273208287E1,-2.084368366E0,1.362019278E0
9.239135417E-1,1.147592319E1,-2.232268131E0,1.182762211E0
9.338975417E-1,1.045206170E1,-2.350536838E0,1.071078053E0
9.438805417E-1,9.650839375E0,-2.591947907E0,9.543044785E-1
9.538645417E-1,8.395304765E0,-3.107237003E0,7.117470628E-1
