"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.440499997E-3,-3.905711365E1,-2.446289062E1,-1.790158081E1
1.542450000E-2,-3.905711365E1,-2.446289062E1,-1.790158081E1
2.540750000E-2,-3.930135345E1,-2.425711060E1,-1.789480591E1
3.539150000E-2,-3.953935242E1,-2.402041626E1,-1.773080444E1
4.537450000E-2,-4.024816895E1,-2.327706909E1,-1.708404541E1
5.535750000E-2,-4.056776428E1,-2.290399170E1,-1.631848145E1
6.534150000E-2,-4.125846100E1,-2.226052856E1,-1.582711792E1
7.532450000E-2,-4.166186523E1,-2.187432861E1,-1.505520630E1
8.530850000E-2,-4.212797546E1,-2.122616577E1,-1.421545410E1
9.529150000E-2,-4.237978363E1,-2.070480347E1,-1.358657837E1
1.052745000E-1,-4.283320618E1,-1.988586426E1,-1.324780273E1
1.152585417E-1,-4.306233215E1,-1.922802734E1,-1.285165405E1
1.252415417E-1,-4.341795349E1,-1.841934204E1,-1.275955200E1
1.352255417E-1,-4.363464355E1,-1.770199585E1,-1.288522339E1
1.452085417E-1,-4.374523163E1,-1.696090698E1,-1.302569580E1
1.551915417E-1,-4.374650574E1,-1.634738159E1,-1.323367310E1
1.651755417E-1,-4.382141113E1,-1.586880493E1,-1.327767944E1
1.751585417E-1,-4.380209351E1,-1.554400635E1,-1.310885620E1
1.851425417E-1,-4.386979675E1,-1.533929443E1,-1.311654663E1
1.951255417E-1,-4.381769562E1,-1.504980469E1,-1.305047607E1
2.051085417E-1,-4.394703674E1,-1.498217773E1,-1.274548340E1
2.150925417E-1,-4.393404388E1,-1.502865601E1,-1.278302002E1
2.250755417E-1,-4.412193298E1,-1.514404297E1,-1.263854980E1
2.350595417E-1,-4.415438843E1,-1.522463989E1,-1.247326660E1
2.450425417E-1,-4.410526276E1,-1.555929565E1,-1.215905762E1
2.550255417E-1,-4.404408264E1,-1.606643677E1,-1.211978149E1
2.650095417E-1,-4.405065155E1,-1.657366943E1,-1.204049683E1
2.749925417E-1,-4.407410431E1,-1.726223755E1,-1.182156372E1
2.849765417E-1,-4.383175659E1,-1.830145264E1,-1.171090698E1
