"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.134495834E-2,1.179057360E-1,-4.207817316E-1,-8.570885658E-1
2.132795833E-2,2.249747142E-2,-3.244347870E-1,-7.933132052E-1
3.131195834E-2,-8.079483360E-2,-2.527760267E-1,-7.186797261E-1
4.129595833E-2,-1.777853072E-1,-1.677844673E-1,-6.482636929E-1
5.127895834E-2,-2.517721951E-1,-4.706497118E-2,-5.707718134E-1
6.126295833E-2,-2.874710858E-1,7.466888428E-2,-4.957537651E-1
7.124695834E-2,-2.805615067E-1,2.116160840E-1,-3.998144567E-1
8.122995833E-2,-2.370532006E-1,2.874705195E-1,-2.702377439E-1
9.121395834E-2,-1.927864105E-1,2.950914204E-1,-1.479011625E-1
1.011969583E-1,-1.570555419E-1,2.726899981E-1,-5.812892318E-2
1.111809583E-1,-1.121061742E-1,2.356584817E-1,1.518364344E-2
1.211649583E-1,-6.675147265E-2,2.064573020E-1,5.255675316E-2
1.311479583E-1,-2.812072262E-2,2.067739516E-1,6.886941195E-2
1.411319583E-1,-8.127020672E-3,2.356194109E-1,8.106490970E-2
1.511149583E-1,1.014519483E-2,2.541020215E-1,9.831020236E-2
1.610989583E-1,3.382416070E-2,2.769322991E-1,1.261311471E-1
1.710829583E-1,5.926217884E-3,3.303190768E-1,1.613429338E-1
1.810659583E-1,-4.099734128E-2,3.455151320E-1,1.929034591E-1
1.910499583E-1,-6.876639277E-2,3.254660666E-1,2.089048028E-1
2.010339583E-1,-5.877398700E-2,2.592476308E-1,2.038385868E-1
2.110169583E-1,-2.953780629E-2,1.836420894E-1,1.772735417E-1
2.210009583E-1,4.617582075E-3,1.364991814E-1,1.297734380E-1
2.309839583E-1,2.128577419E-2,9.602233768E-2,7.324650884E-2
2.409679583E-1,3.378684446E-2,5.338885635E-2,-2.921089530E-3
2.509519583E-1,3.806148469E-2,2.265943773E-2,-9.734798968E-2
2.609349583E-1,4.701930657E-2,2.675229870E-2,-2.047576308E-1
2.709189583E-1,6.059157476E-2,9.779132158E-2,-2.895857096E-1
