"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.437916625E-4,3.863016815E0,5.347030792E0,6.841223602E0
1.052679167E-2,3.525019684E0,5.357509003E0,6.788383484E0
2.050979166E-2,3.314257965E0,5.438789978E0,6.746620331E0
3.049279167E-2,3.212619324E0,5.505850525E0,6.721472626E0
4.047579166E-2,3.226690063E0,5.555996246E0,6.827601929E0
5.045879167E-2,3.248843994E0,5.449866943E0,7.082222443E0
6.044179166E-2,3.224145355E0,5.254972229E0,7.365732880E0
7.042479167E-2,3.194806366E0,5.101092224E0,7.655380554E0
8.040879166E-2,3.155737610E0,5.042563934E0,7.878865814E0
9.039179167E-2,3.048710175E0,5.017116852E0,7.899373169E0
1.003747917E-1,2.986739044E0,5.110522614E0,7.808362427E0
1.103577917E-1,2.871029663E0,5.216651917E0,7.603438568E0
1.203407917E-1,2.796634369E0,5.327122192E0,7.426805878E0
1.303237917E-1,2.785707092E0,5.439239044E0,7.419620819E0
1.403067917E-1,2.924618225E0,5.516029358E0,7.553143158E0
1.502897917E-1,3.161874847E0,5.524860992E0,7.724686432E0
1.602727917E-1,3.253484344E0,5.590125275E0,7.833659821E0
1.702557917E-1,3.240162048E0,5.663772125E0,7.739954681E0
1.802387917E-1,3.231629791E0,5.754034424E0,7.627688141E0
1.902217917E-1,3.200943604E0,5.824238434E0,7.514673157E0
2.002047917E-1,3.208727417E0,5.958509216E0,7.425608368E0
2.101877917E-1,3.247945862E0,6.136638794E0,7.286248169E0
2.201707917E-1,3.326233063E0,6.344257050E0,6.932683411E0
2.301537917E-1,3.391647034E0,6.565197601E0,6.656208344E0
2.401367917E-1,3.384761353E0,6.208489380E0,5.722300415E0
2.501197917E-1,3.476520538E0,5.629942474E0,5.095553741E0
2.601027917E-1,4.021237793E0,6.890022125E0,6.339017944E0
2.700857917E-1,4.935835876E0,6.711443481E0,6.983128510E0
2.800687917E-1,5.406157837E0,6.634503479E0,8.625812531E0
2.900517917E-1,5.641468506E0,6.494993591E0,1.048599426E1
3.000347917E-1,5.739514618E0,5.660478973E0,1.169937103E1
3.100177917E-1,6.108048248E0,5.160219269E0,1.247909958E1
3.200007917E-1,6.555018768E0,4.928950195E0,1.248897903E1
3.299837917E-1,6.999145203E0,5.091063080E0,1.201895645E1
3.399667917E-1,7.007228394E0,5.334007874E0,1.138442596E1
3.499497917E-1,6.268364868E0,5.422174530E0,1.020787262E1
3.599327917E-1,5.409900055E0,5.513035583E0,8.623417511E0
3.699157917E-1,5.224585419E0,5.814059601E0,7.211852875E0
3.798987917E-1,5.283263397E0,6.317163391E0,6.805597687E0
3.898817917E-1,5.854774933E0,6.608607330E0,7.257358246E0
3.998647917E-1,6.810238037E0,6.476282501E0,7.498057709E0
4.098477917E-1,7.797435150E0,6.391259308E0,7.624844055E0
4.198307917E-1,9.017398224E0,6.588998108E0,8.391849060E0
