"Time (s)","X (hPa)"
-5.432095000E-1,1.008219223E3
4.874915000E-1,1.008213348E3
1.518231500E0,1.008207397E3
2.548929500E0,1.008185043E3
3.579665500E0,1.008172989E3
3.774835500E0,1.008167877E3
4.838778500E0,1.008165741E3
5.902730500E0,1.008159485E3
6.966728500E0,1.008159256E3
8.030736500E0,1.008157196E3
9.094736500E0,1.008156052E3
1.015881450E1,1.008152618E3
1.122285050E1,1.008152618E3
1.228692450E1,1.008152924E3
1.335096750E1,1.008155289E3
1.441497650E1,1.008156052E3
1.547897350E1,1.008156052E3
1.654295450E1,1.008159409E3
1.760692250E1,1.008159943E3
1.867102150E1,1.008160477E3
1.973508550E1,1.008160477E3
2.079916950E1,1.008160934E3
2.186334650E1,1.008160934E3
2.292743450E1,1.008160248E3
2.399156550E1,1.008159714E3
2.505567450E1,1.008159256E3
2.611975650E1,1.008159256E3
2.718380450E1,1.008161316E3
2.824782150E1,1.008165207E3
2.931190550E1,1.008168716E3
3.037595050E1,1.008171921E3
3.144005650E1,1.008172302E3
3.250415150E1,1.008171921E3
3.356823250E1,1.008170776E3
3.463236950E1,1.008170776E3
3.569656650E1,1.008171692E3
3.676071350E1,1.008176880E3
3.782490750E1,1.008179855E3
3.888906750E1,1.008180542E3
3.995325050E1,1.008180542E3
4.101740550E1,1.008178024E3
4.208158050E1,1.008178024E3
4.314566850E1,1.008178253E3
4.420979950E1,1.008178635E3
4.527393850E1,1.008178253E3
4.633802550E1,1.008177414E3
4.740211050E1,1.008174591E3
4.846626550E1,1.008171844E3
4.953034950E1,1.008170166E3
5.059447450E1,1.008168869E3
5.165858550E1,1.008168793E3
5.272272150E1,1.008166580E3
5.378681950E1,1.008166580E3
5.485091350E1,1.008171921E3
5.591501050E1,1.008172684E3
5.697909750E1,1.008171921E3
