"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.676679166E-2,-1.843310547E1,-1.511145020E1,-3.868783569E1
2.674979166E-2,-1.833773804E1,-1.515713501E1,-3.851055908E1
3.673279166E-2,-1.838510895E1,-1.522723389E1,-3.850851440E1
4.671579166E-2,-1.852742767E1,-1.523153687E1,-3.852142334E1
5.669879166E-2,-1.877542114E1,-1.531936646E1,-3.849002075E1
6.668179166E-2,-1.883190155E1,-1.539526367E1,-3.843164062E1
7.666479166E-2,-1.887790680E1,-1.552523804E1,-3.856509399E1
8.664779166E-2,-1.899248505E1,-1.575320435E1,-3.859469604E1
9.663079166E-2,-1.903964996E1,-1.583071899E1,-3.848956299E1
1.066137917E-1,-1.899977875E1,-1.607220459E1,-3.806701660E1
1.165967917E-1,-1.922909546E1,-1.617224121E1,-3.819039917E1
1.265797917E-1,-1.923855591E1,-1.632217407E1,-3.792782593E1
1.365627917E-1,-1.929465485E1,-1.637692261E1,-3.779736328E1
1.465457917E-1,-1.937596130E1,-1.647253418E1,-3.780685425E1
1.565287917E-1,-1.953459167E1,-1.668273926E1,-3.800997925E1
1.665117917E-1,-1.955170441E1,-1.697195435E1,-3.774661255E1
1.764947917E-1,-1.969097900E1,-1.710833740E1,-3.777969360E1
1.864777917E-1,-1.969092560E1,-1.748312378E1,-3.765878296E1
1.964607917E-1,-1.969813538E1,-1.756549072E1,-3.729714966E1
2.064437917E-1,-1.995786285E1,-1.771350098E1,-3.717916870E1
2.164267917E-1,-2.012577057E1,-1.790396118E1,-3.706698608E1
2.264097917E-1,-2.012577057E1,-1.790396118E1,-3.706698608E1
2.363927917E-1,-2.035308075E1,-1.802014160E1,-3.692282104E1
2.463757917E-1,-2.070253754E1,-1.807440186E1,-3.674948120E1
2.563587917E-1,-2.119219208E1,-1.804675293E1,-3.651809692E1
2.663417917E-1,-2.171527863E1,-1.788027954E1,-3.628060913E1
2.763247917E-1,-2.249105072E1,-1.755233765E1,-3.615121460E1
2.863077917E-1,-2.310789490E1,-1.718142700E1,-3.573120117E1
2.962907917E-1,-2.386442566E1,-1.708425903E1,-3.554528809E1
3.062737917E-1,-2.458729553E1,-1.696374512E1,-3.458358765E1
3.162567917E-1,-2.550630951E1,-1.706753540E1,-3.407586670E1
3.262397917E-1,-2.625188446E1,-1.740228271E1,-3.358682251E1
3.362227917E-1,-2.700816345E1,-1.804815674E1,-3.295187378E1
3.462057917E-1,-2.773222351E1,-1.873535156E1,-3.219207764E1
3.561887917E-1,-2.845962524E1,-1.946847534E1,-3.164642334E1
3.661717917E-1,-2.886399841E1,-2.008840942E1,-3.069439697E1
3.761547917E-1,-2.952393341E1,-2.063946533E1,-2.996502686E1
3.861377917E-1,-2.996533966E1,-2.134902954E1,-2.916949463E1
3.961207917E-1,-3.049115753E1,-2.197341919E1,-2.837207031E1
4.061037917E-1,-3.097531128E1,-2.265969849E1,-2.750076294E1
4.160867917E-1,-3.161144257E1,-2.355462646E1,-2.645382690E1
4.260697917E-1,-3.197476196E1,-2.444912720E1,-2.549386597E1
4.360527917E-1,-3.210483551E1,-2.559588623E1,-2.452667236E1
4.460357917E-1,-3.211898804E1,-2.691458130E1,-2.359432983E1
4.560197917E-1,-3.203115082E1,-2.827355957E1,-2.260485840E1
4.660027917E-1,-3.167298126E1,-2.967446899E1,-2.172915649E1
4.759857917E-1,-3.126722717E1,-3.091110229E1,-2.109201050E1
4.859687917E-1,-3.092305756E1,-3.213742065E1,-2.058898926E1
4.959517917E-1,-3.036558533E1,-3.318902588E1,-1.993243408E1
5.059347917E-1,-2.993064117E1,-3.418078613E1,-1.924304199E1
5.159177917E-1,-2.993064117E1,-3.418078613E1,-1.924304199E1
5.259007917E-1,-2.953675079E1,-3.514788818E1,-1.859277344E1
5.358837917E-1,-2.915181732E1,-3.624200439E1,-1.766284180E1
5.458667917E-1,-2.887113953E1,-3.718450928E1,-1.626495361E1
5.558497917E-1,-2.844322968E1,-3.828982544E1,-1.492443848E1
5.658327917E-1,-2.809233856E1,-3.935183716E1,-1.328268433E1
5.758157917E-1,-2.763336945E1,-4.046157837E1,-1.174169922E1
5.857987917E-1,-2.728941345E1,-4.125646973E1,-9.978393555E0
5.957817917E-1,-2.675588226E1,-4.225378418E1,-8.131439209E0
