"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.145637500E-2,-1.834641825E0,-7.107682389E-1,4.530560097E-1
2.143937500E-2,-2.028140955E0,-8.847422004E-1,1.673955515E0
3.142237500E-2,-1.540170198E0,-4.403912330E-1,1.039593720E0
4.140637500E-2,-1.015011733E0,-2.499819177E-1,-2.128360185E-1
5.138937500E-2,9.185734592E-2,-2.600882453E-1,-1.604768336E-1
6.137337500E-2,9.819185391E-1,1.409792930E-1,2.349773777E-1
7.135637500E-2,1.170857426E0,-1.257443726E-2,6.530018413E-1
8.133937500E-2,2.119176987E0,1.324464512E-1,1.213915883E0
9.132337500E-2,1.330887678E0,3.708888888E-1,1.280069527E-1
1.013063750E-1,4.087985441E-1,1.253934812E0,-1.029852551E-1
1.112903750E-1,-5.238144089E-2,1.774805952E0,-2.611170629E-1
1.212733750E-1,-5.739659775E-1,1.613291237E0,1.103270191E-1
1.312563750E-1,-7.098541729E-1,9.715388542E-1,8.064128995E-1
1.412403750E-1,-4.330866719E-1,3.655860490E-1,1.197178813E0
1.512233750E-1,6.529794026E-2,8.687091351E-2,9.638447955E-1
1.612073750E-1,2.428385206E-2,5.582173061E-1,1.818869984E-1
1.711903750E-1,4.290990901E-1,1.229489357E0,-3.017695373E-1
1.811743750E-1,6.623209874E-1,1.130775493E0,-4.680111408E-1
1.911573750E-1,6.187612773E-1,6.664597929E-1,-4.480756438E-1
2.011403750E-1,7.436763686E-1,2.142004663E-1,-1.987768270E-1
2.111243750E-1,7.230723886E-1,-3.113045919E-1,6.922694027E-2
2.211073750E-1,5.995878918E-1,-6.812807304E-1,2.522532687E-1
2.310913750E-1,5.645598540E-1,-1.022453485E0,3.082546842E-1
2.410743750E-1,5.868268552E-1,-1.338141149E0,4.326506889E-1
2.510573750E-1,7.731062090E-1,-1.544050264E0,4.667102815E-1
2.610413750E-1,3.861731451E-1,-1.130746842E0,1.810999632E-1
2.710243750E-1,-1.944935954E-1,-7.272807759E-1,2.357164511E0
2.810083750E-1,7.854053155E-3,-1.241866744E0,2.143490440E0
2.909913750E-1,2.290883544E-1,-1.056573742E0,1.274427549E0
3.009743750E-1,2.091304918E-1,-5.914084411E-1,1.271372378E0
3.109583750E-1,9.058901907E-1,-5.458323187E-1,1.757822129E-1
3.209413750E-1,4.537174760E-1,-6.517072678E-1,1.134286746E-2
3.309253750E-1,-2.600056534E-1,-5.060654050E-1,4.930160277E-1
3.409083750E-1,-3.543880463E-1,-2.222713780E-1,6.590013769E-1
3.508913750E-1,-3.517388190E-1,-7.793052077E-2,5.614179258E-1
3.608753750E-1,-5.009805201E-1,-1.106895465E-1,1.273535264E-1
3.708583750E-1,-5.327905427E-1,-6.290417057E-1,2.248942928E-1
3.808423750E-1,-3.996924193E-1,-1.020051448E0,6.673380446E-1
3.908253750E-1,-4.160101710E-1,-1.052418711E0,8.110979810E-2
4.008083750E-1,-3.528481820E-1,-4.394819909E-1,-8.970045425E-1
4.107923750E-1,-1.194929682E-1,-5.863967925E-1,2.184221560E-1
4.207753750E-1,1.158991233E-2,-5.478098470E-1,1.455426063E-1
4.307593750E-1,4.562197188E-1,1.866092098E-1,-1.300081623E-1
4.407423750E-1,1.359446941E0,5.539283735E-1,-7.941811822E-1
4.507253750E-1,1.584111877E0,9.388429785E-1,-1.498167747E0
4.607093750E-1,1.249547354E0,3.957278609E-1,-5.771196002E-1
4.706923750E-1,7.932553487E-1,5.164114684E-1,-7.210979301E-1
4.806763750E-1,-2.155908611E-1,3.691733158E-1,-1.399217071E0
4.906593750E-1,-9.322630336E-1,-4.923788273E-1,-1.392067680E0
5.006423750E-1,-1.875829466E0,-2.942728221E-1,-1.644474438E0
5.106263750E-1,-3.887509340E0,1.122068989E-1,-5.327438381E-1
5.206093750E-1,-4.003730060E0,4.984494066E-1,-3.134697428E-1
5.305933750E-1,-2.834410306E0,8.972365308E-1,-3.172505524E-1
5.405763750E-1,-1.338732010E0,1.094424523E0,-7.016951144E-2
5.505593750E-1,-8.739906326E-3,1.258937690E0,5.640465416E-2
5.605433750E-1,1.149792393E0,1.357767913E0,5.205250577E-1
5.705263750E-1,1.932025886E0,1.389682601E0,8.701201413E-1
5.805103750E-1,2.321703341E0,1.540910894E0,8.994209775E-1
