"Time (s)","X (hPa)"
-5.144626667E-1,1.008752441E3
5.161793333E-1,1.008753586E3
1.546908333E0,1.008753357E3
2.577618333E0,1.008754730E3
3.608348333E0,1.008755341E3
3.803495333E0,1.008755341E3
4.867459333E0,1.008754349E3
5.931455333E0,1.008753815E3
6.995420333E0,1.008752441E3
8.059354333E0,1.008750000E3
9.123334333E0,1.008749542E3
1.018732733E1,1.008747406E3
1.125129533E1,1.008744507E3
1.231527633E1,1.008744507E3
1.337926933E1,1.008746414E3
1.444322833E1,1.008747711E3
1.550718433E1,1.008747711E3
1.657119433E1,1.008751678E3
1.763522033E1,1.008751678E3
1.869927433E1,1.008752136E3
1.976333333E1,1.008752899E3
2.082732633E1,1.008755417E3
2.189136633E1,1.008755646E3
2.295544733E1,1.008759460E3
2.401946933E1,1.008761749E3
2.508346033E1,1.008764877E3
2.614748133E1,1.008766327E3
2.721154033E1,1.008768692E3
2.827558033E1,1.008768692E3
2.933960833E1,1.008767624E3
3.040364633E1,1.008764954E3
3.146769233E1,1.008764343E3
3.253172533E1,1.008761139E3
3.359574533E1,1.008759460E3
3.465977133E1,1.008759460E3
3.572385233E1,1.008758774E3
3.678788933E1,1.008756027E3
3.785192833E1,1.008753738E3
3.891593733E1,1.008750839E3
3.997998933E1,1.008749924E3
4.104400733E1,1.008749924E3
4.210809833E1,1.008752060E3
4.317219033E1,1.008754196E3
4.423631933E1,1.008760757E3
4.530044333E1,1.008766022E3
4.636455333E1,1.008768768E3
4.742868133E1,1.008771057E3
4.849274733E1,1.008771057E3
4.955684633E1,1.008768768E3
5.062094533E1,1.008762589E3
5.168501633E1,1.008756561E3
5.274914533E1,1.008751068E3
5.381332633E1,1.008746338E3
5.487744233E1,1.008746338E3
5.594151433E1,1.008747635E3
5.700564333E1,1.008752518E3
