"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.588558334E-2,-1.384591430E-1,-1.154637980E-1,-2.420758975E-1
2.586858334E-2,-2.345136935E-1,1.093774313E-1,-3.186516184E-1
3.585158334E-2,-2.331308270E-1,6.633373797E-2,-4.882691118E-1
4.583458334E-2,-2.613097286E-1,1.534402943E-1,-3.967794827E-1
5.581758334E-2,-1.062076557E-1,-5.598884404E-2,-2.522845513E-1
6.580058334E-2,-4.893768668E-2,-7.528816402E-2,1.208180934E-1
7.578258334E-2,1.873787034E-1,-1.096189213E-1,4.388920069E-1
8.576558334E-2,2.748325843E-1,-1.398595512E-1,5.538237083E-1
9.574858334E-2,1.612445730E-1,-1.332352406E-1,4.078427070E-1
1.057315833E-1,-2.857534289E-3,-1.342994338E-1,1.622947329E-1
1.157145833E-1,-1.494934237E-1,-8.485070050E-2,-1.276219136E-1
1.256975833E-1,-2.137970084E-1,-5.541990995E-3,-2.820205665E-1
1.356805833E-1,-1.937352115E-1,3.974761784E-2,-3.568497241E-1
1.456635833E-1,-8.236329496E-2,8.699662864E-2,-3.342619300E-1
1.556465833E-1,1.356787920E-2,9.136800706E-2,-3.011777991E-1
1.656295833E-1,7.309721231E-2,1.176395470E-1,-1.971964708E-1
1.756125833E-1,1.418873656E-1,7.363632560E-2,-5.741556466E-2
1.855955833E-1,1.934264785E-1,1.594126403E-2,2.894137859E-2
1.955785833E-1,1.834581453E-1,-2.330466270E-2,8.077168286E-2
2.055615833E-1,7.798606932E-2,-8.961442709E-3,3.769232154E-2
2.155445833E-1,-4.086268187E-2,5.731382310E-2,-5.657327324E-2
2.255275833E-1,1.875728309E-2,-4.562582374E-3,-1.247126314E-1
2.355105833E-1,2.151482999E-2,-1.907361746E-3,-2.135660434E-1
2.454935833E-1,1.451571286E-1,7.022681415E-2,-2.499749011E-1
2.554765833E-1,2.817936945E-1,8.276850700E-2,-1.472206110E-1
2.654595833E-1,4.118533123E-1,3.933071136E-2,5.682441115E-2
2.754425833E-1,4.371138686E-1,6.686524987E-2,1.584618831E-1
2.854255833E-1,3.516492105E-1,9.912550807E-2,1.835449764E-1
2.954085833E-1,2.710699010E-1,6.028947115E-2,1.654361495E-1
3.053915833E-1,1.306092560E-1,6.415272653E-2,4.568955839E-2
3.153745833E-1,-7.330186486E-2,1.452150160E-1,-1.133120227E-1
3.253575833E-1,-1.159877086E-1,2.057038772E-1,-2.483131224E-1
3.353405833E-1,-5.264482141E-2,4.364174652E-1,-3.041271347E-1
3.453235833E-1,2.000075197E-1,6.713533276E-1,-4.843207794E-1
3.553065833E-1,4.613032150E-1,5.968147767E-1,-7.667828107E-1
3.652895833E-1,7.060588914E-1,9.158938265E-1,-6.298538840E-1
3.752725833E-1,1.020406959E0,8.143095642E-1,-4.649071464E-1
3.852555833E-1,1.178982863E0,2.128339720E-1,-4.116542146E-1
3.952385833E-1,1.365864553E0,6.800048679E-1,-2.556753516E-1
4.052214583E-1,1.087980891E0,1.223283707E0,-2.666055518E-1
4.152044583E-1,1.032922339E0,1.335965985E0,-2.143147793E-1
4.251874583E-1,1.267360019E0,1.037460364E0,-5.760773340E-1
4.351704583E-1,1.180023667E0,1.390086059E0,-7.455416304E-1
4.451534583E-1,1.309896174E0,2.108614138E0,-9.862954724E-1
4.551364583E-1,1.676854565E0,2.622292618E0,-1.389399011E0
4.651194583E-1,2.029204271E0,2.993553974E0,-1.566185776E0
4.751024583E-1,2.393950660E0,2.668318976E0,-1.520416988E0
4.850854583E-1,3.464517959E0,2.155405312E0,-1.373546625E0
4.950684583E-1,4.738550820E0,2.004246601E0,-7.624289739E-1
5.050514583E-1,5.258723803E0,2.217198687E0,1.348186666E-1
5.150344583E-1,4.832022071E0,1.563609200E0,9.485242134E-1
5.250174583E-1,4.506729770E0,7.223843175E-1,1.598287867E0
5.350004583E-1,3.962413049E0,-4.083403051E-2,2.072419288E0
5.449834583E-1,3.160685524E0,-7.117295212E-1,2.794624973E0
5.549664583E-1,2.811526642E0,-1.156101539E0,3.899188276E0
5.649494583E-1,3.045192490E0,-1.421176289E0,4.899008943E0
5.749324583E-1,3.425401255E0,-1.575479633E0,5.594327084E0
5.849154583E-1,3.953438743E0,-1.984433895E0,5.871340680E0
5.948984583E-1,4.352597750E0,-2.423611831E0,6.218327320E0
6.048814583E-1,4.392675735E0,-2.691844663E0,6.359378534E0
6.148644583E-1,4.376687109E0,-2.935976442E0,6.224725928E0
6.248464583E-1,4.177337693E0,-3.147179040E0,5.750871665E0
6.348294583E-1,3.862032144E0,-3.323156843E0,5.120989130E0
6.448124583E-1,3.342979781E0,-3.629636897E0,4.695744524E0
6.547954583E-1,2.516744820E0,-3.898308855E0,4.474547864E0
6.647784583E-1,1.627187145E0,-3.847236350E0,4.007696811E0
6.747614583E-1,8.463441199E-1,-4.011737822E0,3.378053427E0
6.847444583E-1,3.161035480E-1,-4.287602440E0,2.914031256E0
6.947274583E-1,-2.072033957E-2,-4.292248052E0,2.409921745E0
