"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.269874997E-3,4.460857436E-2,2.904126048E-1,-2.482440621E-1
1.825387500E-2,-2.871715836E-2,3.354214430E-1,-2.881875932E-1
2.823787500E-2,-6.799931079E-2,4.003826082E-1,-2.466121763E-1
3.822087500E-2,-2.709977515E-2,5.416308045E-1,-1.997330785E-1
4.820487500E-2,-9.551142342E-3,5.871005654E-1,-1.399847865E-1
5.818887499E-2,-2.968903631E-2,6.212613583E-1,-8.205692470E-2
6.817187500E-2,-8.007311821E-2,6.638436913E-1,-1.832002215E-2
7.815587499E-2,-1.648792326E-1,6.673997045E-1,5.732981861E-2
8.813987500E-2,-2.825816274E-1,7.367262840E-1,1.558095217E-1
9.812287500E-2,-4.166752398E-1,9.065033197E-1,2.721196115E-1
1.081068750E-1,-5.494633913E-1,1.137518764E0,4.033833742E-1
1.180898750E-1,-6.465260386E-1,1.493270636E0,5.197491646E-1
1.280738750E-1,-7.030904889E-1,1.828005552E0,5.918747783E-1
1.380578750E-1,-7.531615496E-1,2.048251629E0,6.281715631E-1
1.480408750E-1,-7.504346967E-1,2.123279095E0,6.626999974E-1
1.580248750E-1,-7.121224999E-1,2.139346123E0,7.030431628E-1
1.680088750E-1,-5.988230705E-1,2.218140602E0,7.194008231E-1
1.779918750E-1,-4.771151245E-1,2.250074387E0,8.093420267E-1
1.879758750E-1,-4.348065555E-1,2.252521038E0,8.988863230E-1
1.979598750E-1,-4.762052596E-1,2.309165478E0,8.948627710E-1
2.079428750E-1,-3.574298918E-1,2.200427532E0,6.872329116E-1
2.179268750E-1,-2.864239737E-2,1.892771006E0,3.825574219E-1
2.279098750E-1,2.082614899E-1,1.612074137E0,8.610364050E-2
2.378938750E-1,2.620435655E-1,1.218602061E0,-1.135952100E-1
2.478778750E-1,2.199296504E-1,8.508746028E-1,-2.257276028E-1
2.578608750E-1,1.283496618E-1,5.009987354E-1,-2.933820784E-1
