"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.269874997E-3,-7.708328247E0,-4.416323853E1,9.179779053E0
1.825387500E-2,-7.526451111E0,-4.410772705E1,9.097503662E0
2.823787500E-2,-7.484039307E0,-4.412506104E1,9.075439453E0
3.822087500E-2,-7.325363159E0,-4.412765503E1,9.066162109E0
4.820487500E-2,-7.356002808E0,-4.401974487E1,9.045196533E0
5.818887499E-2,-7.286247253E0,-4.413308716E1,8.998016357E0
6.817187500E-2,-7.347686768E0,-4.404910278E1,9.033447266E0
7.815587499E-2,-7.343940735E0,-4.409799194E1,8.933990479E0
8.813987500E-2,-7.585350037E0,-4.420803833E1,8.773010254E0
9.812287500E-2,-7.717636108E0,-4.432046509E1,8.644653320E0
1.081068750E-1,-7.717636108E0,-4.432046509E1,8.644653320E0
1.180898750E-1,-7.958259583E0,-4.419137573E1,8.281158447E0
1.280738750E-1,-8.199333191E0,-4.419125366E1,7.818817139E0
1.380578750E-1,-8.712081909E0,-4.416207886E1,7.405517578E0
1.480408750E-1,-9.111694336E0,-4.415850830E1,6.963989258E0
1.580248750E-1,-9.467628479E0,-4.416516113E1,6.477355957E0
1.680088750E-1,-9.881599426E0,-4.416345215E1,6.147399902E0
1.779918750E-1,-1.015847015E1,-4.410372925E1,5.583160400E0
1.879758750E-1,-1.055404663E1,-4.407171631E1,4.999755859E0
1.979598750E-1,-1.096183777E1,-4.381402588E1,4.488525391E0
2.079428750E-1,-1.133777618E1,-4.358908081E1,3.955291748E0
2.179268750E-1,-1.163568115E1,-4.357849121E1,3.414794922E0
2.279098750E-1,-1.171059418E1,-4.327194214E1,3.010192871E0
2.378938750E-1,-1.186072540E1,-4.343743896E1,2.822875977E0
2.478778750E-1,-1.168010712E1,-4.342404175E1,2.692657471E0
2.578608750E-1,-1.159092712E1,-4.343984985E1,2.616668701E0
2.678448750E-1,-1.152489471E1,-4.328839111E1,2.628631592E0
2.778288750E-1,-1.121806335E1,-4.337374878E1,2.744354248E0
2.878118750E-1,-1.110325623E1,-4.319479370E1,2.589294434E0
2.977958750E-1,-1.079902649E1,-4.336550903E1,2.427551270E0
3.077798750E-1,-1.071960449E1,-4.322537231E1,2.616973877E0
3.177628750E-1,-1.051666260E1,-4.346908569E1,2.697204590E0
3.277468750E-1,-1.048623657E1,-4.332992554E1,2.913757324E0
3.377298750E-1,-1.034274292E1,-4.337075806E1,2.839324951E0
3.477138750E-1,-1.036038208E1,-4.322604370E1,2.909545898E0
3.576978750E-1,-1.035717010E1,-4.327221680E1,3.156646729E0
3.676808750E-1,-1.021457672E1,-4.311251831E1,3.458160400E0
3.776648750E-1,-9.826858521E0,-4.319012451E1,3.988952637E0
3.876488750E-1,-9.826858521E0,-4.319012451E1,3.988952637E0
3.976318750E-1,-9.473670959E0,-4.310452271E1,4.528991699E0
4.076158750E-1,-8.907592773E0,-4.313543701E1,5.389251709E0
4.175998750E-1,-8.407325745E0,-4.293197632E1,6.473754883E0
4.275828750E-1,-7.608650208E0,-4.298101807E1,7.437713623E0
4.375668750E-1,-6.910034180E0,-4.271801758E1,8.924377441E0
4.475508750E-1,-5.762809753E0,-4.246023560E1,1.041940308E1
4.575338750E-1,-4.356018066E0,-4.222155762E1,1.175790405E1
4.675178750E-1,-2.851043701E0,-4.164596558E1,1.326956177E1
4.775008750E-1,-1.066696167E0,-4.133398438E1,1.428533936E1
4.874848750E-1,9.424438477E-1,-4.079098511E1,1.501647949E1
4.974688750E-1,3.189949036E0,-4.050222778E1,1.546142578E1
5.074518750E-1,5.299350739E0,-4.014926147E1,1.544934082E1
5.174358750E-1,7.278919220E0,-3.994012451E1,1.523153687E1
5.274198750E-1,9.191257477E0,-3.955850220E1,1.419274902E1
5.374028750E-1,1.094609833E1,-3.950863647E1,1.305130005E1
5.473868750E-1,1.222293472E1,-3.926773071E1,1.159207153E1
5.573708750E-1,1.330300522E1,-3.942034912E1,9.874786377E0
5.673542500E-1,1.407764053E1,-3.947723389E1,8.081787109E0
5.773382500E-1,1.475548935E1,-3.962738037E1,6.049957275E0
5.873212500E-1,1.490103531E1,-3.976361084E1,3.879577637E0
5.973052500E-1,1.501554108E1,-3.987548828E1,1.894012451E0
6.072892500E-1,1.507200241E1,-3.998898315E1,-3.906250000E-2
6.172722500E-1,1.511219788E1,-3.995590210E1,-2.368194580E0
6.272562500E-1,1.516254425E1,-3.978234863E1,-4.215148926E0
6.372402500E-1,1.539430618E1,-3.958062744E1,-5.604156494E0
6.472232500E-1,1.547555161E1,-3.946499634E1,-7.058013916E0
6.572072500E-1,1.567649460E1,-3.928216553E1,-8.391662598E0
6.671912500E-1,1.585853195E1,-3.910128784E1,-9.112976074E0
6.771742500E-1,1.585853195E1,-3.910128784E1,-9.112976074E0
6.871582500E-1,1.610797501E1,-3.911828613E1,-9.601806641E0
6.971412500E-1,1.633288574E1,-3.912805176E1,-9.594970703E0
7.071252500E-1,1.691698837E1,-3.905850220E1,-9.239318848E0
7.171092500E-1,1.737284470E1,-3.886294556E1,-8.615844727E0
7.270922500E-1,1.815257645E1,-3.889089966E1,-7.604675293E0
7.370762500E-1,1.889539719E1,-3.885919189E1,-6.560852051E0
7.470602500E-1,1.952151871E1,-3.861392212E1,-5.124969482E0
7.570432500E-1,2.030936813E1,-3.849588013E1,-4.103393555E0
7.670272500E-1,2.111458969E1,-3.817053223E1,-2.497772217E0
7.770112500E-1,2.193346786E1,-3.781884766E1,-1.162322998E0
7.869942500E-1,2.277467728E1,-3.719314575E1,-1.204833984E-1
7.969782500E-1,2.359264374E1,-3.659530640E1,1.077301025E0
8.069612500E-1,2.473673248E1,-3.581445312E1,1.715393066E0
8.169452500E-1,2.594418716E1,-3.490032959E1,2.255371094E0
8.269292500E-1,2.679699707E1,-3.389755249E1,2.191528320E0
8.369122500E-1,2.829088211E1,-3.264126587E1,2.584228516E0
8.468962500E-1,2.948755646E1,-3.112191772E1,2.616241455E0
8.568802500E-1,3.100392532E1,-2.975875854E1,1.821533203E0
8.668632500E-1,3.225229645E1,-2.801031494E1,7.140502930E-1
8.768472500E-1,3.359946442E1,-2.629583740E1,-5.381469727E-1
8.868312500E-1,3.458786011E1,-2.453579712E1,-2.139953613E0
8.968142500E-1,3.549081039E1,-2.285058594E1,-3.744812012E0
9.067982500E-1,3.612166977E1,-2.120962524E1,-5.581176758E0
9.167812500E-1,3.666078949E1,-1.971966553E1,-7.206176758E0
9.267652500E-1,3.678422546E1,-1.843594360E1,-8.701782227E0
9.367492500E-1,3.694499588E1,-1.770120239E1,-9.839965820E0
9.467322500E-1,3.692449188E1,-1.719290161E1,-1.058233643E1
9.567162500E-1,3.692449188E1,-1.719290161E1,-1.058233643E1
9.667002500E-1,3.674763489E1,-1.725350952E1,-1.125576782E1
9.766832500E-1,3.652593231E1,-1.775631714E1,-1.147570801E1
9.866672500E-1,3.613658524E1,-1.858102417E1,-1.160778809E1
9.966512500E-1,3.548968887E1,-1.987039185E1,-1.168109131E1
1.006634250E0,3.468730545E1,-2.128829956E1,-1.175616455E1
1.016618250E0,3.358873749E1,-2.298599243E1,-1.125381470E1
1.026602250E0,3.232640839E1,-2.486364746E1,-1.099105835E1
1.036585250E0,3.081407928E1,-2.685174561E1,-1.075167847E1
1.046569250E0,2.908480453E1,-2.882464600E1,-1.051281738E1
1.056552250E0,2.706999969E1,-3.091229248E1,-1.007519531E1
1.066536250E0,2.478879166E1,-3.267507935E1,-1.032534790E1
1.076520250E0,2.200003815E1,-3.439685059E1,-1.085598755E1
1.086503250E0,1.955450058E1,-3.572946167E1,-1.205545044E1
1.096487250E0,1.707712936E1,-3.654281616E1,-1.370257568E1
1.106471250E0,1.484463882E1,-3.665292358E1,-1.555169678E1
1.116454250E0,1.295808029E1,-3.658535767E1,-1.744677734E1
1.126438250E0,1.161716080E1,-3.655963135E1,-1.873803711E1
