"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.256125004E-3,2.109263763E0,8.324339447E0,5.325176239E0
8.726874999E-3,2.162702637E0,8.309520264E0,5.446424103E0
1.870987500E-2,2.437680817E0,8.203091583E0,5.638325043E0
2.869287500E-2,2.802621918E0,8.249794464E0,5.876928864E0
3.867587500E-2,3.112028503E0,8.537795563E0,6.059249725E0
4.865887500E-2,3.210224304E0,8.531508636E0,6.141279144E0
5.864187500E-2,3.370989990E0,8.186625824E0,6.103258209E0
6.862487500E-2,3.257076874E0,8.113877106E0,6.198011169E0
7.860887500E-2,2.808609467E0,8.106692047E0,6.053411865E0
8.859187500E-2,2.509531403E0,7.856262817E0,5.477409668E0
9.857487500E-2,2.171534271E0,7.850574646E0,5.086422729E0
1.085578750E-1,1.885928192E0,8.147108002E0,4.846621399E0
1.185408750E-1,2.021396484E0,7.999215546E0,4.477638702E0
1.285238750E-1,2.231110382E0,7.830366669E0,4.271517334E0
1.385068750E-1,2.330803070E0,8.072712708E0,4.271816711E0
1.484898750E-1,2.557880859E0,8.412506104E0,4.255350952E0
1.584728750E-1,3.125500488E0,8.619226227E0,4.259691925E0
1.684558750E-1,3.536845093E0,8.763675842E0,4.255350952E0
1.784398750E-1,3.460054779E0,8.769663391E0,4.288432159E0
1.884228750E-1,3.207529907E0,8.744665375E0,4.390819244E0
1.984058750E-1,3.073259125E0,8.672066345E0,4.465214539E0
2.083888750E-1,2.910397797E0,8.607101440E0,4.532574463E0
2.183718750E-1,2.762056274E0,8.583899689E0,4.550686798E0
2.283548750E-1,2.608325958E0,8.546627197E0,4.557273102E0
2.383378750E-1,2.485431519E0,8.509055328E0,4.546794891E0
2.483208750E-1,2.374512177E0,8.478818207E0,4.428540802E0
2.583038750E-1,2.268083496E0,8.454568634E0,4.332590332E0
2.682868750E-1,2.131268005E0,8.415799255E0,4.309538269E0
2.782708750E-1,1.987117767E0,8.449628906E0,4.229903870E0
2.882538750E-1,2.101929016E0,8.664881287E0,3.994293823E0
2.982368750E-1,2.249222717E0,8.718170471E0,3.618126068E0
3.082198750E-1,2.160457306E0,8.701555023E0,3.332519989E0
3.182028750E-1,1.942510529E0,8.727750549E0,3.162174225E0
3.281858750E-1,1.715133362E0,8.713081055E0,3.009042664E0
3.381688750E-1,1.532513123E0,8.694220276E0,2.768792267E0
3.481518750E-1,1.330283661E0,8.698710938E0,2.616558838E0
3.581348750E-1,1.144519958E0,8.642877045E0,2.650089111E0
3.681178750E-1,9.614506531E-1,8.474926300E0,2.603386230E0
3.781018750E-1,8.418493652E-1,8.188122711E0,2.368824005E0
3.880848750E-1,2.445913696E-1,8.379275208E0,2.083517303E0
3.980678750E-1,-2.630030823E-1,8.309969330E0,1.683399353E0
4.080508750E-1,-6.471043396E-1,8.303233337E0,1.239422607E0
4.180338750E-1,-7.018904114E-1,8.202492828E0,9.385482788E-1
4.280168750E-1,-5.758525085E-1,7.920778656E0,8.743318176E-1
4.379998750E-1,-3.186872864E-1,7.667804718E0,1.160536652E0
4.479828750E-1,-8.786727905E-2,7.440277863E0,1.629062347E0
4.579658750E-1,2.974314880E-1,7.235354004E0,1.965113525E0
4.679498750E-1,9.189390564E-1,7.070995789E0,2.445015564E0
4.779328750E-1,1.689536591E0,6.766528931E0,2.903362427E0
4.879158750E-1,2.416275330E0,6.406527557E0,3.270548859E0
4.978988750E-1,3.234922943E0,6.077511749E0,3.659140778E0
5.078818750E-1,4.447401581E0,5.199138336E0,3.407064972E0
5.178648750E-1,5.647905121E0,5.080734558E0,3.942351837E0
5.278478750E-1,6.937623138E0,5.741610260E0,5.362299042E0
5.378308750E-1,8.503965912E0,5.907315674E0,6.705455933E0
5.478138750E-1,9.986782379E0,6.188580780E0,7.806566162E0
5.577968750E-1,1.133817215E1,6.294560394E0,8.596623230E0
5.677808750E-1,1.268866379E1,5.553002472E0,8.926237793E0
5.777638750E-1,1.363858841E1,4.755011902E0,9.580976257E0
5.877468750E-1,1.432461182E1,4.252057800E0,1.073402847E1
5.977298750E-1,1.505329651E1,4.456831970E0,1.227282852E1
6.077128750E-1,1.610186600E1,4.412075043E0,1.343441299E1
6.176958750E-1,1.685734497E1,3.743415527E0,1.414109344E1
6.276788750E-1,1.711600708E1,2.966531067E0,1.445753540E1
6.376618750E-1,1.690419754E1,2.331551514E0,1.421324341E1
6.476448750E-1,1.609737534E1,2.166594543E0,1.346420105E1
6.576278750E-1,1.486543716E1,2.387385406E0,1.189067322E1
6.676118750E-1,1.376762009E1,2.655777283E0,9.937235413E0
6.775948750E-1,1.327604233E1,2.988385620E0,8.602012024E0
6.875778750E-1,1.291723846E1,3.158881073E0,7.821984100E0
6.975608750E-1,1.246682510E1,3.218906250E0,7.340585175E0
7.075438750E-1,1.159399017E1,2.932252350E0,6.696773987E0
7.175268750E-1,1.022433838E1,2.419269104E0,5.707181854E0
7.275098750E-1,8.761879578E0,1.883084106E0,4.526137848E0
7.374928750E-1,7.031028900E0,1.456471252E0,3.291505280E0
7.474758750E-1,4.864584045E0,1.138532410E0,2.306403809E0
7.574598750E-1,2.665057983E0,7.571255493E-1,1.599873047E0
7.674428750E-1,8.728349304E-1,4.186793518E-1,6.572831726E-1
7.774258750E-1,-6.298901367E-1,2.486329651E-1,-1.369651794E-1
7.874088750E-1,-1.895807648E0,-1.025367737E-1,-3.725752258E-1
7.973918750E-1,-3.167263641E0,-4.634362793E-1,-2.245330811E-1
8.073748750E-1,-4.597988434E0,-6.309379578E-1,-6.840774536E-2
8.173578750E-1,-6.126459961E0,-5.198689270E-1,1.026864624E-1
8.273408750E-1,-7.886050873E0,-2.369572449E-1,5.083428955E-1
8.373238750E-1,-1.001297791E1,4.041595459E-3,8.740324402E-1
8.473068750E-1,-1.272144562E1,2.897973633E-1,1.178648987E0
8.572908750E-1,-1.567899536E1,8.626560974E-1,1.694027252E0
8.672738750E-1,-1.843476471E1,1.350641327E0,2.128872986E0
8.772568750E-1,-2.052890991E1,1.322948914E0,2.250270538E0
8.872398750E-1,-2.067096451E1,1.260977783E0,2.054777069E0
8.972228750E-1,-1.941462708E1,1.613345032E0,1.585951996E0
9.072065833E-1,-1.719459366E1,1.707050171E0,9.180409241E-1
9.171895833E-1,-1.540326874E1,1.695075073E0,4.581971741E-1
9.271725833E-1,-1.448283279E1,1.708097992E0,3.017724609E-1
9.371555833E-1,-1.476649292E1,1.743274841E0,4.224215698E-1
9.471395833E-1,-1.549203415E1,1.705852661E0,9.906399536E-1
9.571225833E-1,-1.585532867E1,1.690584412E0,1.749711456E0
9.671055833E-1,-1.570638840E1,1.731150055E0,2.377206573E0
9.770885833E-1,-1.508263550E1,1.652114410E0,2.715652771E0
9.870715833E-1,-1.443074112E1,1.739832001E0,2.766097870E0
9.970545833E-1,-1.408106827E1,1.945204926E0,2.652933197E0
1.007037583E0,-1.393108017E1,2.059866486E0,2.528990936E0
1.017020583E0,-1.384441040E1,2.146985321E0,2.386038208E0
1.027003583E0,-1.351644241E1,2.267784119E0,2.380050659E0
1.036987583E0,-1.286754181E1,2.256258087E0,2.208657074E0
1.046970583E0,-1.221953934E1,2.223326569E0,1.995051270E0
1.056953583E0,-1.182915115E1,2.220183105E0,1.753453674E0
1.066936583E0,-1.149863846E1,2.166744232E0,1.381626892E0
1.076919583E0,-1.110151428E1,2.212249603E0,9.511221313E-1
1.086902583E0,-1.058119629E1,2.285597076E0,4.441264343E-1
1.096885583E0,-9.980345764E0,2.345921631E0,5.867797852E-2
1.106868583E0,-9.360035706E0,2.359243927E0,-1.663041687E-1
1.116851583E0,-8.714577942E0,2.345023499E0,-2.513273621E-1
1.126835583E0,-7.627688141E0,2.253264313E0,-1.475930786E-1
1.136818583E0,-6.336473236E0,2.083966370E0,-2.739303589E-2
1.146801583E0,-5.129682770E0,1.770667877E0,5.777984619E-2
1.156784583E0,-3.791914673E0,1.316661987E0,1.365161133E-1
1.166767583E0,-2.338437195E0,7.945477295E-1,2.103126526E-1
1.176750583E0,-7.719447327E-1,3.207829285E-1,2.357597351E-1
1.186733583E0,8.804690552E-1,-9.205856323E-2,4.415817261E-2
1.196716583E0,2.057022400E0,-7.051835632E-1,-4.326004028E-2
1.206699583E0,3.175795898E0,-1.996847534E0,6.721023560E-2
1.216683583E0,5.245691528E0,-3.640878754E0,4.388873291E-1
1.226666583E0,8.672964478E0,-4.768483887E0,1.376836853E0
1.236649583E0,1.258762390E1,-4.547243958E0,2.711910553E0
1.246632583E0,1.556987228E1,-3.946842499E0,4.031117249E0
1.256615583E0,1.910043045E1,-2.691852264E0,5.373376007E0
1.266598583E0,2.423220886E1,5.257067871E-1,6.774462433E0
1.276581583E0,2.945799179E1,5.149591370E0,7.769742737E0
1.286564583E0,2.989508286E1,8.393495636E0,8.078999634E0
1.296547583E0,2.737731857E1,7.893385620E0,8.438551941E0
1.306530583E0,2.635958496E1,4.304448853E0,9.232051849E0
1.316514583E0,2.591156662E1,1.157842255E0,8.567882996E0
1.326497583E0,2.581486771E1,1.503623199E0,7.880662079E0
1.336480583E0,2.547252960E1,2.293081512E0,7.398963776E0
1.346463583E0,2.609822845E1,2.584226074E0,6.668931885E0
1.356446583E0,2.497915558E1,3.025358734E0,6.294111328E0
1.366429583E0,2.309367645E1,3.369044037E0,5.619314575E0
1.376412583E0,2.103111557E1,2.932102661E0,4.686155090E0
1.386395583E0,1.940325073E1,2.495760040E0,3.927832031E0
1.396378583E0,1.774978912E1,2.512974243E0,3.445834351E0
1.406362583E0,1.598480942E1,2.722837830E0,2.928959198E0
1.416345583E0,1.433973038E1,2.820135498E0,2.223176880E0
1.426328583E0,1.289957520E1,2.887046356E0,1.413959656E0
1.436311583E0,1.145043869E1,2.922073517E0,5.569917297E-1
1.446294583E0,1.014051270E1,3.028202820E0,-2.154020691E-1
1.456277583E0,9.456734619E0,3.376528473E0,-7.378157043E-1
1.466260583E0,8.774902496E0,4.205953674E0,-4.836442566E-1
1.476243583E0,8.014783173E0,4.171225891E0,1.055305481E-1
1.486226583E0,6.876400452E0,3.459456024E0,3.899391174E-1
1.496210583E0,5.470523987E0,2.894381104E0,7.876620483E-1
1.506193583E0,3.927832031E0,2.412682800E0,9.804611206E-1
1.516176583E0,2.326312408E0,1.632205811E0,1.006207581E0
1.526159583E0,9.160949707E-1,7.677534485E-1,9.675878906E-1
1.536142583E0,-5.478607178E-2,2.239343262E-1,1.017733612E0
1.546125583E0,-6.264472961E-1,-3.056643677E-1,1.343755646E0
1.556108583E0,-1.160386963E0,-1.197809143E0,1.797162781E0
1.566091583E0,-2.566113739E0,-2.029030609E0,2.380499725E0
1.576074583E0,-4.719535675E0,-2.835703125E0,2.850971375E0
1.586058583E0,-7.169790344E0,-3.405418396E0,3.317850494E0
1.596041583E0,-1.056338333E1,-3.498075714E0,3.707190857E0
1.606024583E0,-1.499761230E1,-2.995570679E0,3.781436462E0
1.616007583E0,-1.997416351E1,-1.710193634E0,3.560346222E0
1.625990583E0,-2.454640549E1,-4.035607910E-1,3.820355530E0
1.635973583E0,-2.581007767E1,8.232879639E-2,4.362228699E0
1.645956583E0,-2.315759354E1,7.000941467E-1,4.329297180E0
1.655939583E0,-1.939576630E1,1.409319305E0,2.926713867E0
1.665922583E0,-1.635439087E1,1.810634766E0,1.198707275E0
1.675906583E0,-1.447864151E1,2.286195831E0,1.613644409E-1
1.685889583E0,-1.345072906E1,2.621049500E0,-1.416055298E-1
1.695872583E0,-1.336510712E1,2.661465454E0,-3.394940186E-1
1.705855583E0,-1.353530319E1,2.324067078E0,1.088237000E-1
1.715838583E0,-1.346045883E1,2.144290924E0,8.577163696E-1
1.725821583E0,-1.343231735E1,2.069147186E0,9.642947388E-1
1.735804583E0,-1.299163376E1,1.986519012E0,5.945635986E-1
1.745787583E0,-1.242117004E1,2.151475983E0,2.421963501E-1
1.755770583E0,-1.199560501E1,2.491718445E0,2.329156494E-1
1.765753583E0,-1.176568314E1,2.809058533E0,6.610253906E-1
1.775737583E0,-1.183693497E1,3.040477295E0,1.331780548E0
1.785720583E0,-1.212343918E1,3.012635193E0,1.743424530E0
1.795703583E0,-1.239662109E1,2.838846588E0,1.886976013E0
1.805686583E0,-1.223989700E1,2.820734253E0,2.042801971E0
1.815669583E0,-1.165835632E1,2.923570404E0,2.034269714E0
1.825652583E0,-1.121722366E1,2.958447876E0,1.762734375E0
1.835635583E0,-1.087907684E1,2.881507874E0,1.434616699E0
1.845618583E0,-1.023825943E1,2.974015503E0,1.386117554E0
1.855601583E0,-9.970017242E0,3.050955505E0,9.500743103E-1
1.865585583E0,-9.782906342E0,2.711611176E0,5.746549988E-1
1.875568583E0,-9.695637817E0,2.806513824E0,5.054988098E-1
1.885551583E0,-9.492510223E0,2.615211639E0,5.381309509E-1
1.895534583E0,-8.932524719E0,2.041754150E0,3.893403625E-1
1.905517458E0,-7.920479279E0,1.500779114E0,3.787124634E-2
1.915500458E0,-6.399192810E0,1.270258484E0,-3.019221497E-1
1.925483458E0,-4.704267426E0,1.008901978E0,-4.306544495E-1
1.935466458E0,-3.144361267E0,7.149133301E-1,-1.350192261E-1
1.945449458E0,-2.019899597E0,3.655398560E-1,4.778063965E-1
1.955433458E0,-1.047970734E0,-5.367837524E-1,1.153052216E0
1.965416458E0,2.549198914E-1,-2.014361115E0,1.612446899E0
1.975399458E0,2.058070221E0,-3.724255371E0,1.841470642E0
1.985382458E0,4.738845520E0,-5.644462280E0,1.805545349E0
1.995365458E0,8.873697052E0,-7.373965759E0,1.748214569E0
2.005348458E0,1.486453903E1,-7.458390198E0,2.589465179E0
2.015331458E0,2.105895767E1,-5.044958954E0,4.486170959E0
2.025314458E0,2.640763504E1,-1.850002899E0,7.200326843E0
2.035297458E0,2.958178436E1,4.954696655E-1,9.703122253E0
2.045281458E0,3.071941864E1,1.585802307E0,1.163096329E1
2.055264458E0,3.125021484E1,2.249671783E0,1.286858963E1
2.065247458E0,3.173984665E1,3.135230255E0,1.321092773E1
2.075230458E0,3.109663422E1,3.844006348E0,1.268073029E1
2.085213458E0,2.959914825E1,3.432362366E0,1.159728333E1
2.095196458E0,2.705593689E1,2.800825653E0,1.052356613E1
2.105179458E0,2.408566360E1,2.405348053E0,9.854756927E0
2.115162458E0,2.100282440E1,2.506088562E0,9.584119720E0
2.125145458E0,1.883084106E1,2.333347778E0,8.936566315E0
2.135129458E0,1.756148071E1,1.977088623E0,7.979905701E0
2.145112458E0,1.613719254E1,2.133663025E0,6.951544189E0
2.155095458E0,1.497366211E1,2.367177429E0,5.663173370E0
2.165078458E0,1.424108551E1,2.554737396E0,4.090693359E0
2.175061458E0,1.349997665E1,2.717149658E0,2.634521484E0
2.185044458E0,1.269599854E1,2.880909119E0,1.318308563E0
2.195027458E0,1.189112228E1,3.336711273E0,3.617976379E-1
2.205010458E0,1.091470276E1,3.750151520E0,5.882766724E-2
2.214993458E0,9.683063965E0,3.787274323E0,1.953437805E-1
2.224976458E0,8.795409851E0,3.719016266E0,6.048921204E-1
2.234960458E0,7.837402039E0,3.628903656E0,1.025068359E0
2.244943458E0,6.508914642E0,3.494333496E0,1.080153809E0
2.254926458E0,4.853806458E0,3.282823334E0,1.063987427E0
2.264909458E0,3.445385284E0,3.080743561E0,1.107397156E0
2.274892458E0,2.370470581E0,2.781964874E0,8.668473816E-1
2.284875458E0,1.443148956E0,2.332599335E0,5.858816528E-1
2.294858458E0,5.754034424E-1,1.708846436E0,4.047583008E-1
2.304841458E0,-2.694396973E-2,9.654922485E-1,4.785548401E-1
2.314825458E0,-5.231620789E-1,1.434017944E-1,6.981481934E-1
2.324808458E0,-1.720522156E0,-8.029302979E-1,1.171613617E0
2.334791458E0,-3.556154938E0,-1.622476044E0,2.081421661E0
2.344774458E0,-5.488636322E0,-2.258054352E0,3.178340607E0
2.354757458E0,-7.531887360E0,-2.542013855E0,4.367916870E0
2.364740458E0,-1.003707779E1,-2.552042999E0,5.263055420E0
2.374723458E0,-1.306543030E1,-2.241887970E0,5.855523376E0
2.384706458E0,-1.621098907E1,-1.603465576E0,6.190077667E0
2.394689458E0,-1.892424683E1,-4.623884583E-1,6.705006866E0
2.404672458E0,-2.084864502E1,1.250798950E0,7.438182220E0
2.414656458E0,-2.111778534E1,2.282752991E0,7.937843170E0
2.424639458E0,-1.994377670E1,2.389031982E0,7.567962341E0
2.434622458E0,-1.802850952E1,2.149230652E0,6.340514832E0
2.444605458E0,-1.598600693E1,2.093396759E0,5.141208801E0
2.454588458E0,-1.413136368E1,2.066153412E0,4.454736328E0
2.464571458E0,-1.269659729E1,1.783092041E0,4.321962433E0
2.474554458E0,-1.177346695E1,1.536405029E0,4.544250183E0
2.484537458E0,-1.137544464E1,1.398990784E0,4.707111511E0
2.494520458E0,-1.123967697E1,1.316212921E0,4.976401520E0
2.504504458E0,-1.121228394E1,1.363364868E0,5.286257172E0
2.514487458E0,-1.137275024E1,1.509161682E0,5.409600677E0
2.524470458E0,-1.148381927E1,1.677262115E0,5.377866669E0
2.534453458E0,-1.161943726E1,1.852098541E0,5.397176514E0
2.544436458E0,-1.179487244E1,1.968556366E0,5.321284332E0
2.554419458E0,-1.189306824E1,2.036365356E0,5.150639191E0
2.564402458E0,-1.209155548E1,2.014061737E0,4.970863037E0
2.574385458E0,-1.222373062E1,1.962119751E0,4.921615448E0
2.584368458E0,-1.217373459E1,2.014061737E0,4.724625092E0
2.594352458E0,-1.227327759E1,2.067201233E0,4.306993561E0
2.604335458E0,-1.224513611E1,1.935924225E0,3.935615845E0
2.614318458E0,-1.186956711E1,1.787133636E0,3.612437897E0
2.624301458E0,-1.115405502E1,1.791923676E0,3.256927185E0
2.634284458E0,-1.025786865E1,1.670825500E0,2.488874359E0
2.644267458E0,-9.221274261E0,1.291963348E0,1.531465302E0
2.654250458E0,-7.932903442E0,8.391549683E-1,7.252418518E-1
2.664233458E0,-6.081104279E0,6.322851562E-1,7.484436035E-2
2.674216458E0,-4.137246552E0,5.096900940E-1,-5.346881104E-1
2.684200458E0,-2.365680542E0,3.359014893E-1,-1.098116455E0
2.694183458E0,-5.080435181E-1,2.772235107E-1,-1.674268341E0
2.704166458E0,1.105750580E0,3.249742126E-1,-2.114951935E0
2.714149458E0,2.039658508E0,1.212478638E-1,-2.376009064E0
2.724132458E0,2.695295105E0,-6.396199036E-1,-2.341880035E0
2.734115458E0,3.129691772E0,-2.252366180E0,-2.147883453E0
2.744098458E0,3.728147278E0,-4.899910583E0,-1.764680328E0
2.754081458E0,5.444927216E0,-7.916886749E0,-1.196012878E0
2.764064458E0,8.577612762E0,-1.038705002E1,-2.231858826E-1
2.774048458E0,1.255888367E1,-1.186208267E1,1.221310272E0
2.784031458E0,1.790187286E1,-1.139220978E1,3.682043152E0
2.794014458E0,2.447979401E1,-6.633755035E0,7.698640594E0
2.803997458E0,3.062511475E1,-3.430865479E-1,1.168335434E1
2.813980458E0,3.240521301E1,1.311871948E0,1.532572998E1
2.823963458E0,2.973566437E1,-1.685195618E0,1.824780350E1
2.833946458E0,2.903646835E1,-3.146606598E0,1.964634521E1
2.843929458E0,2.946158432E1,-3.627406769E0,1.932331696E1
2.853912458E0,2.884681274E1,-4.382736053E0,1.881602188E1
2.863896458E0,2.676853455E1,-4.602329407E0,1.832953354E1
2.873879458E0,2.391771286E1,-3.756588135E0,1.655751846E1
2.883862458E0,2.168824905E1,-3.125799866E0,1.383602783E1
2.893845458E0,1.939561661E1,-2.635120239E0,1.178349609E1
2.903828833E0,1.724024872E1,-2.250270538E0,1.030052994E1
2.913811833E0,1.581206863E1,-1.866618347E0,9.068142700E0
2.923794833E0,1.486798187E1,-1.751208344E0,8.010292511E0
2.933777833E0,1.404469391E1,-1.579515381E0,6.887477417E0
2.943760833E0,1.316227890E1,-1.185983734E0,5.774841156E0
2.953744833E0,1.216984268E1,-8.006849670E-1,4.499792633E0
2.963727833E0,1.106528961E1,-3.360511780E-1,3.280578003E0
2.973710833E0,9.351353760E0,1.222507782E0,3.181484070E0
2.983693833E0,8.375982056E0,1.326391754E0,2.288740540E0
2.993676833E0,7.199428711E0,6.801855469E-1,8.798703003E-1
3.003659833E0,5.999374237E0,1.039438477E0,-6.900650024E-2
3.013642833E0,5.149591370E0,1.913021851E0,-6.138734436E-1
3.023625833E0,4.335135040E0,2.592608643E0,-6.749464417E-1
3.033608833E0,3.723506927E0,2.826123047E0,-5.228627014E-1
3.043592833E0,2.753524017E0,2.741698608E0,-4.378395081E-1
3.053575833E0,1.548230438E0,2.481689301E0,-2.526745605E-1
3.063558833E0,6.065386963E-1,2.049388275E0,-1.356179810E-1
3.073541833E0,-2.664459229E-2,1.616638184E0,-1.341210938E-1
3.083524833E0,-2.318678284E-1,1.313668213E0,-7.888595581E-2
3.093507833E0,-4.393363953E-1,1.158291321E0,3.409909058E-1
3.103490833E0,-1.194515991E0,7.351213074E-1,9.202862549E-1
3.113473833E0,-2.487078094E0,5.987548828E-3,1.680854645E0
3.123456833E0,-4.278552704E0,-5.433700562E-1,2.784808960E0
3.133440833E0,-6.465355225E0,-9.114546204E-1,3.781436462E0
3.143423833E0,-8.842861176E0,-9.276210022E-1,4.444407806E0
3.153406833E0,-1.143996048E1,-3.637435913E-1,4.833448792E0
3.163389833E0,-1.380204849E1,4.878355408E-1,4.788841553E0
3.173372833E0,-1.601968689E1,1.441203003E0,4.441264343E0
3.183355833E0,-1.814631454E1,2.303559723E0,4.063749390E0
3.193338833E0,-1.898726578E1,2.646646271E0,3.568878479E0
3.203321833E0,-1.874252472E1,2.690056000E0,3.042423248E0
3.213304833E0,-1.776041702E1,2.846331024E0,2.464026031E0
3.223288833E0,-1.648551819E1,2.819985809E0,1.982028351E0
3.233271833E0,-1.516975433E1,2.729424133E0,1.843266907E0
3.243254833E0,-1.400427795E1,2.496209106E0,2.175426178E0
3.253237833E0,-1.321481964E1,2.222129059E0,2.852468262E0
3.263220833E0,-1.274853928E1,1.911075897E0,3.619173889E0
3.273203833E0,-1.275767029E1,1.638193359E0,4.309837646E0
3.283186833E0,-1.297337173E1,1.483115845E0,4.828808441E0
3.293169833E0,-1.329639999E1,1.361269226E0,5.191653900E0
3.303152833E0,-1.350746109E1,1.238524475E0,5.449118500E0
3.313136833E0,-1.350177292E1,1.253643036E0,5.670059052E0
3.323119833E0,-1.331226700E1,1.301244049E0,5.670807495E0
3.333102833E0,-1.306213715E1,1.417851562E0,5.611979828E0
3.343085833E0,-1.296139664E1,1.498533783E0,5.465434570E0
3.353068833E0,-1.308054886E1,1.563498688E0,5.217550049E0
3.363051833E0,-1.323757233E1,1.629661102E0,4.850812683E0
3.373034833E0,-1.327140198E1,1.602268066E0,4.385879517E0
3.383017833E0,-1.289253983E1,1.503772888E0,3.923041992E0
3.393000833E0,-1.233075806E1,1.492097168E0,3.486250305E0
3.402984833E0,-1.164922531E1,1.203796692E0,2.799179077E0
3.412967833E0,-1.064421524E1,6.638694763E-1,1.955533447E0
3.422950833E0,-8.951385498E0,-1.916015625E-2,1.235979767E0
3.432933833E0,-6.800208893E0,-6.204597473E-1,7.658074951E-1
3.442916833E0,-4.894970856E0,-8.675958252E-1,5.219645691E-1
3.452899833E0,-3.688479767E0,-1.172362061E0,5.803431702E-1
3.462882833E0,-2.819536743E0,-1.864822083E0,6.836283875E-1
3.472865833E0,-1.871857452E0,-3.185825043E0,9.722282410E-1
3.482848833E0,-8.921447754E-1,-5.252876587E0,1.445543976E0
3.492832833E0,2.058219910E-1,-7.885003052E0,1.741328888E0
3.502815833E0,1.547781372E0,-1.102577179E1,1.745071106E0
3.512798833E0,3.836072845E0,-1.428479462E1,1.381177826E0
3.522781833E0,7.957302704E0,-1.680585205E1,1.067280579E0
3.532764833E0,1.363903748E1,-1.766521500E1,1.253343658E0
3.542747833E0,2.122840530E1,-1.576147385E1,3.535048828E0
3.552730833E0,3.048755081E1,-9.441466370E0,7.735913086E0
3.562713833E0,3.759028061E1,2.326162720E-1,1.197913925E1
3.572696833E0,3.792094299E1,2.059118042E0,1.453911575E1
3.582680833E0,3.289424606E1,-1.360221405E0,1.615740051E1
3.592663833E0,2.958388000E1,-2.642604675E0,1.657413391E1
3.602646833E0,2.902658890E1,-4.522844696E0,1.616698059E1
3.612629833E0,2.807591583E1,-5.280419312E0,1.690314972E1
3.622612833E0,2.618340134E1,-4.924010468E0,1.766267029E1
3.632595833E0,2.351265518E1,-4.220772858E0,1.706167007E1
3.642578833E0,2.080044525E1,-3.145858154E0,1.524953842E1
3.652561833E0,1.860840363E1,-2.607727203E0,1.323622513E1
3.662544833E0,1.661080765E1,-2.254461823E0,1.151645142E1
3.672528833E0,1.509251495E1,-1.836680603E0,1.004201752E1
3.682511833E0,1.385443954E1,-1.589095459E0,8.708440704E0
3.692494833E0,1.268252655E1,-1.636397095E0,7.468119965E0
3.702477833E0,1.167856430E1,-1.574126587E0,6.412964172E0
3.712460833E0,1.083102676E1,-1.240769806E0,5.532046051E0
3.722443833E0,9.996661835E0,-9.148974609E-1,4.754862213E0
3.732426833E0,9.522597656E0,-9.196875000E-1,4.321363678E0
3.742409833E0,9.119635620E0,-2.600093079E-1,4.181704102E0
3.752392833E0,8.467142487E0,8.677455139E-1,4.163591766E0
3.762376833E0,7.568860474E0,1.713337097E0,3.918401642E0
3.772359833E0,6.688241730E0,2.279310150E0,3.255729675E0
3.782342833E0,6.159990234E0,3.121009827E0,2.627037048E0
3.792325833E0,5.289550323E0,3.848497009E0,1.949845276E0
3.802308833E0,4.344415741E0,3.974684601E0,1.128952332E0
3.812291833E0,3.710334320E0,3.592978363E0,4.188290405E-1
3.822274833E0,2.832859039E0,3.001558228E0,-1.082249451E-1
