"Time (s)","X (hPa)"
-5.595840417E-1,1.008608475E3
4.713639583E-1,1.008608475E3
1.502267958E0,1.008608475E3
2.533233958E0,1.008611221E3
3.564205958E0,1.008611221E3
3.759027958E0,1.008612137E3
4.823188958E0,1.008612137E3
5.887373958E0,1.008614044E3
6.951489958E0,1.008617783E3
8.015652958E0,1.008621292E3
9.079776958E0,1.008628922E3
1.014394396E1,1.008628922E3
1.120811996E1,1.008626022E3
1.227226796E1,1.008621597E3
1.333645096E1,1.008616943E3
1.440062196E1,1.008609619E3
1.546487796E1,1.008609619E3
1.652914796E1,1.008616028E3
1.759338496E1,1.008618851E3
1.865760496E1,1.008627014E3
1.972179496E1,1.008631439E3
2.078597296E1,1.008632050E3
2.185016296E1,1.008632050E3
2.291437396E1,1.008631134E3
2.397861096E1,1.008629990E3
2.504283696E1,1.008626022E3
2.610703396E1,1.008622665E3
2.717119896E1,1.008617554E3
2.823541796E1,1.008616257E3
2.929964896E1,1.008610382E3
3.036384496E1,1.008610382E3
3.142807196E1,1.008610153E3
3.249227796E1,1.008610153E3
3.355653896E1,1.008613739E3
3.462075296E1,1.008613968E3
3.568497496E1,1.008616104E3
3.674922796E1,1.008617706E3
3.781350796E1,1.008617706E3
3.887780396E1,1.008617096E3
3.994211396E1,1.008616943E3
4.100643796E1,1.008616333E3
4.207069496E1,1.008616486E3
4.313497296E1,1.008615646E3
4.419924996E1,1.008616028E3
4.526355596E1,1.008616028E3
4.632789196E1,1.008616486E3
4.739217696E1,1.008617554E3
4.845643796E1,1.008619614E3
4.952064996E1,1.008620300E3
5.058492496E1,1.008621750E3
5.164924496E1,1.008624115E3
5.271352596E1,1.008625565E3
5.377777696E1,1.008627701E3
5.484209296E1,1.008627853E3
5.590638296E1,1.008627853E3
5.697066296E1,1.008626556E3
