"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.478874999E-3,7.489013672E-1,-3.909826660E1,-1.156616211E-2
1.746187500E-2,7.540817261E-1,-3.904913330E1,-6.069946289E-2
2.744587500E-2,6.621170044E-1,-3.899493408E1,-1.175231934E-1
3.742887500E-2,4.385757446E-1,-3.890979004E1,-2.100830078E-1
4.741187500E-2,2.687835693E-1,-3.882162476E1,-3.487548828E-1
5.739487500E-2,2.173767090E-1,-3.901226807E1,-3.778686523E-1
6.737787500E-2,1.036224365E-1,-3.890277100E1,-2.112121582E-1
7.736087500E-2,1.667251587E-1,-3.895953369E1,-2.124023438E-2
8.734387500E-2,8.726501465E-2,-3.882019043E1,-3.161621094E-2
9.732687499E-2,-5.104064941E-2,-3.890023804E1,9.716796875E-2
1.073098750E-1,-5.889892578E-3,-3.904446411E1,1.444702148E-1
1.172928750E-1,-5.889892578E-3,-3.904446411E1,1.444702148E-1
1.272768750E-1,-1.203689575E-1,-3.896313477E1,5.005187988E-1
1.372598750E-1,-4.012985229E-1,-3.891223145E1,6.605224609E-1
1.472428750E-1,-5.653457642E-1,-3.879113770E1,9.313964844E-1
1.572258750E-1,-5.520477295E-1,-3.875982666E1,1.115020752E0
1.672088750E-1,-6.232528687E-1,-3.875759888E1,1.140991211E0
1.771918750E-1,-7.162170410E-1,-3.869305420E1,9.201965332E-1
1.871748750E-1,-6.641006470E-1,-3.887765503E1,9.318847656E-1
1.971578750E-1,-6.797180176E-1,-3.881198120E1,1.023193359E0
2.071408750E-1,-6.551666260E-1,-3.868493652E1,1.066223145E0
2.171238750E-1,-4.964370728E-1,-3.899105835E1,8.200683594E-1
2.271078750E-1,-5.112152100E-1,-3.883053589E1,1.078125000E0
2.370908750E-1,-4.710311890E-1,-3.893911743E1,1.049011230E0
2.470738750E-1,-4.621047974E-1,-3.884365845E1,1.160369873E0
2.570568750E-1,-4.685287476E-1,-3.882821655E1,1.052825928E0
2.670398750E-1,-2.794799805E-1,-3.878475952E1,1.166961670E0
