"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.965916672E-3,1.309476929E0,8.950187988E0,2.106269989E0
8.017083332E-3,1.181942139E0,9.137448578E0,2.301464081E0
1.800008333E-2,1.054107971E0,9.589957581E0,2.482437744E0
2.798308333E-2,8.469387817E-1,9.850565643E0,2.531685333E0
3.796608333E-2,7.491920471E-1,9.751322021E0,2.443518677E0
4.794908333E-2,8.388555908E-1,9.548344116E0,2.453847198E0
5.793308333E-2,7.705975342E-1,9.558972015E0,2.556982727E0
6.791608333E-2,9.475296021E-1,9.519454193E0,2.533481598E0
7.789908333E-2,1.202449493E0,9.408834229E0,2.423610077E0
8.788208333E-2,1.427880707E0,9.449399872E0,2.411036224E0
9.786508333E-2,1.500629425E0,9.506131897E0,2.415975952E0
1.078480833E-1,1.577419739E0,9.466015320E0,2.403701477E0
1.178320833E-1,1.536255341E0,9.476194153E0,2.395618286E0
1.278150833E-1,1.481169891E0,9.439670105E0,2.338137817E0
1.377980833E-1,1.643881531E0,9.216035156E0,2.235900421E0
1.477810833E-1,1.680255890E0,9.105564880E0,2.165546722E0
1.577640833E-1,1.628912659E0,9.269324341E0,2.171234894E0
1.677470833E-1,1.629212036E0,9.531429291E0,2.181264038E0
1.777310833E-1,1.747915192E0,9.599837036E0,2.080822906E0
1.877140833E-1,1.890718231E0,9.511670380E0,2.000290375E0
1.976970833E-1,1.767524414E0,9.472451935E0,2.006876678E0
2.076800833E-1,1.573527832E0,9.577084351E0,2.100581818E0
2.176630833E-1,1.438059540E0,9.539961548E0,2.024839325E0
2.276470833E-1,1.211131439E0,9.510173492E0,1.913470917E0
2.376300833E-1,1.103056183E0,9.570198669E0,1.910028076E0
2.476130833E-1,1.137933655E0,9.694290619E0,1.911974030E0
2.575960833E-1,1.136436768E0,9.666149139E0,1.888622589E0
2.675790833E-1,1.072519684E0,9.561666412E0,1.821711731E0
2.775620833E-1,1.021625519E0,9.515861664E0,1.724114685E0
2.875460833E-1,1.065634003E0,9.488169250E0,1.643582153E0
2.975290833E-1,1.165775757E0,9.481283569E0,1.556463318E0
3.075120833E-1,1.349294128E0,9.487570496E0,1.426683197E0
