"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.550408333E-2,-1.618111682E-1,-3.325919652E-1,4.086050378E-1
2.548708333E-2,-2.904088359E-1,1.146603906E-1,5.723533885E-1
3.547108333E-2,-4.970506065E-1,3.385151947E-1,5.846268404E-1
4.545408333E-2,-5.480118683E-1,1.942158526E-1,4.870851968E-1
5.543708333E-2,-4.626852044E-1,1.039810359E-2,5.137533242E-1
6.542008333E-2,-5.256372052E-1,4.811615288E-2,6.081577903E-1
7.540308333E-2,-3.114466792E-1,-1.734810412E-2,5.459972101E-1
8.538708333E-2,-6.213265970E-2,-1.219091839E-1,4.396959990E-1
9.537008333E-2,1.522020002E-1,-6.156357944E-2,4.221987909E-1
1.053530833E-1,2.141571969E-1,-1.427422285E-2,4.176818168E-1
1.153360833E-1,3.080285431E-1,-5.561813056E-2,4.062756532E-1
1.253190833E-1,2.493167970E-1,-3.872377038E-2,3.947870439E-1
1.353020833E-1,2.198756276E-1,-8.935364127E-2,3.072815613E-1
1.452860833E-1,3.932847480E-1,-3.232177091E-1,2.029428220E-1
1.552690833E-1,4.040801699E-1,-4.045711899E-1,1.380027679E-1
1.652520833E-1,3.630027491E-1,-2.112341738E-1,1.456178892E-1
1.752350833E-1,3.731210634E-1,3.514585912E-2,1.463555154E-1
1.852180833E-1,5.172612150E-1,7.887484610E-2,3.568351060E-2
1.952010833E-1,6.439339793E-1,-2.270649254E-2,-3.961430132E-2
2.051850833E-1,5.057287516E-1,-3.621063709E-2,-1.507134452E-2
2.151680833E-1,3.314742699E-1,5.851951897E-2,7.322585106E-2
2.251510833E-1,1.955058215E-1,2.012436211E-2,-1.625058174E-2
2.351340833E-1,-3.019882232E-2,-1.006247342E-2,-1.131483006E-1
2.451170833E-1,-1.008639584E-1,6.274471700E-2,-1.090932566E-1
2.551000833E-1,-5.747367136E-2,1.760093772E-1,-1.084249198E-1
2.650840833E-1,-5.406971477E-2,1.238703400E-1,-1.302619314E-1
2.750670833E-1,-1.152724479E-1,2.118855536E-2,-1.936564203E-1
2.850500833E-1,-1.473124854E-1,-1.449349344E-2,-2.854382640E-1
2.950330833E-1,-8.223494858E-2,-5.214020669E-2,-3.588045944E-1
3.050160833E-1,2.785079978E-2,-5.981409252E-2,-4.440881351E-1
3.149990833E-1,2.446709649E-1,-4.895172000E-2,-5.588420811E-1
3.249830833E-1,5.072582370E-1,1.138371027E-1,-6.731481305E-1
3.349660833E-1,5.396653334E-1,2.664166868E-1,-8.900535187E-1
3.449490833E-1,7.650129316E-1,3.022396535E-1,-1.187280062E0
3.549320833E-1,9.761599088E-1,4.714475495E-1,-1.210759118E0
3.649150833E-1,1.121038125E0,6.567949301E-1,-1.056582659E0
3.748980833E-1,1.261340895E0,7.294343054E-1,-9.132146323E-1
3.848820833E-1,1.580504730E0,7.896740752E-1,-8.176022775E-1
3.948650833E-1,1.971061313E0,8.740113902E-1,-7.080044062E-1
4.048480833E-1,2.360077740E0,8.483122927E-1,-6.371079397E-1
4.148310833E-1,2.682544667E0,7.722499573E-1,-6.229510997E-1
4.248140833E-1,2.719100874E0,6.570925534E-1,-6.932030569E-1
4.347980833E-1,2.280878081E0,5.301419002E-1,-8.660299408E-1
4.447810833E-1,1.573287511E0,4.364876318E-1,-1.114808648E0
4.547640833E-1,9.725174589E-1,3.932223290E-1,-1.425991618E0
4.647470833E-1,6.401029567E-1,5.104180723E-1,-1.492888442E0
4.747300833E-1,9.590933481E-1,3.847818732E-2,-2.316951747E0
4.847130833E-1,4.238452937E-1,1.246649766E-1,-2.340699044E0
4.946970833E-1,1.284549591E-1,4.014563781E-1,-2.351087207E0
5.046800833E-1,-1.175887858E-1,4.449017751E-1,-2.293774408E0
5.146630833E-1,-4.743840943E-1,3.198555601E-1,-2.075047758E0
5.246460833E-1,-7.910679053E-1,5.010186732E-2,-1.893998665E0
5.346290833E-1,-1.171593590E0,-4.367109954E-2,-1.681903781E0
5.446120833E-1,-1.478007863E0,-1.538648021E-1,-1.576172966E0
5.545960833E-1,-1.877207655E0,-4.904205948E-1,-1.953736159E0
5.645790833E-1,-1.874524367E0,-4.929518545E-1,-2.580809546E0
5.745620833E-1,-2.067221113E0,9.069440782E-2,-3.197969125E0
5.845450833E-1,-2.863193225E0,2.239471900E-1,-3.649491702E0
5.945280833E-1,-3.387283257E0,2.484096014E-1,-3.971797246E0
6.045110833E-1,-4.220265612E0,1.011784655E-1,-4.317379970E0
6.144950833E-1,-4.771311600E0,-3.594862336E-1,-4.632349597E0
6.244780833E-1,-4.766802227E0,-8.532637149E-1,-4.861114892E0
6.344610833E-1,-4.413489484E0,-1.434665816E0,-5.125748763E0
6.444440833E-1,-3.936949595E0,-2.067150947E0,-5.141126356E0
6.544270833E-1,-3.741832101E0,-2.822374397E0,-4.640703514E0
6.644100833E-1,-3.842739548E0,-3.795789038E0,-3.369810607E0
6.743940833E-1,-3.812016523E0,-4.376603494E0,-1.122293815E0
6.843770833E-1,-3.018849029E0,-4.657686751E0,6.576071084E-1
6.943600833E-1,-1.305250561E0,-4.979415759E0,3.122317556E0
7.043430833E-1,1.884426042E0,-4.698945290E0,5.917692727E0
7.143260833E-1,5.348042945E0,-3.762793785E0,9.019037198E0
7.243100833E-1,8.264767429E0,-3.573749210E0,9.940184748E0
7.342930833E-1,9.187237619E0,-2.554819842E0,1.093342554E1
7.442760833E-1,1.006439130E1,-2.688914623E0,1.198721893E1
7.542590833E-1,1.051936549E1,-2.547176362E0,1.325575951E1
7.642420833E-1,1.026022391E1,-2.796477079E0,1.371990915E1
7.742250833E-1,1.088593680E1,-3.750055041E0,1.289284037E1
7.842090833E-1,1.180699138E1,-3.337477843E0,1.245221642E1
7.941920833E-1,1.192549806E1,-2.617959831E0,1.200547745E1
8.041750833E-1,1.123928755E1,-3.061632521E0,1.149372914E1
8.141580833E-1,9.883586040E0,-3.692661111E0,1.041362211E1
8.241410833E-1,8.453240147E0,-4.344953685E0,8.663480294E0
8.341243333E-1,7.478158464E0,-4.870288004E0,6.703598272E0
8.441073333E-1,7.001017481E0,-5.318360140E0,4.382747163E0
8.540903333E-1,6.508572580E0,-5.621356423E0,1.987378553E0
8.640733333E-1,5.358978993E0,-5.584769810E0,1.670753434E-1
8.740563333E-1,4.154896957E0,-5.420215713E0,-1.068242519E0
8.840393333E-1,3.066791812E0,-5.561175710E0,-1.616396109E0
8.940233333E-1,2.073141565E0,-5.925575944E0,-1.407296169E0
9.040063333E-1,1.331440094E0,-6.346569039E0,-8.145779514E-1
9.139893333E-1,7.224976073E-1,-6.716153998E0,-4.137266871E-1
9.239723333E-1,1.890755653E-2,-7.012785587E0,-3.826137257E-1
9.339553333E-1,-1.164034164E0,-7.217200153E0,-6.029811772E-1
9.439383333E-1,-2.477982458E0,-7.163800457E0,-8.213034189E-1
9.539223333E-1,-3.851789869E0,-6.993740621E0,-9.370711260E-1
9.639053333E-1,-5.328348354E0,-6.943983155E0,-1.178807885E0
9.738883333E-1,-6.947230114E0,-6.728526122E0,-1.527549860E0
9.838713333E-1,-8.774221880E0,-6.246632522E0,-1.904116541E0
9.938543333E-1,-1.057191091E1,-5.747770886E0,-2.006651122E0
1.003838333E0,-1.192403041E1,-5.576604173E0,-2.371204991E0
1.013821333E0,-1.233016632E1,-5.472376969E0,-2.866491054E0
1.023804333E0,-1.288690311E1,-5.126979602E0,-3.190865343E0
1.033787333E0,-1.307169384E1,-5.097753464E0,-3.479900229E0
1.043770333E0,-1.257704746E1,-5.261435156E0,-3.584354889E0
1.053753333E0,-1.197974970E1,-5.283128327E0,-3.352305797E0
1.063737333E0,-1.155778421E1,-5.190779157E0,-2.863187377E0
