"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.070833355E-4,3.012784882E0,4.616100769E0,6.748715973E0
9.242916665E-3,3.551664276E0,3.823199615E0,6.949897614E0
1.929291667E-2,1.831890564E0,5.139113159E0,7.195387115E0
2.934191667E-2,1.119821320E0,6.261628876E0,7.207362213E0
3.939191667E-2,1.144370270E0,5.145549774E0,7.457641754E0
4.944091667E-2,1.289568329E0,3.316802673E0,7.980654144E0
5.949091666E-2,3.010539551E0,4.429438934E0,7.556436310E0
6.954091667E-2,4.283043365E0,6.878645782E0,7.362140350E0
7.958991667E-2,5.123395844E0,8.385113068E0,7.569908295E0
8.963991667E-2,4.337530060E0,8.264763336E0,7.729626160E0
9.968991667E-2,2.831960907E0,7.147636414E0,7.117099915E0
1.097389167E-1,2.175575867E0,5.918692017E0,6.767277374E0
1.197889167E-1,2.732866974E0,5.300776978E0,6.753655701E0
1.298379167E-1,3.758683777E0,5.358556824E0,6.832541656E0
1.398879167E-1,4.234693909E0,5.706583099E0,7.097490692E0
1.499379167E-1,4.039649506E0,5.943091278E0,7.110663300E0
1.599869167E-1,3.717220001E0,6.025270386E0,7.023245087E0
1.700369167E-1,3.662583618E0,6.074068909E0,6.784491577E0
1.800869167E-1,3.837420044E0,6.194268951E0,6.422843628E0
1.901359167E-1,4.057013397E0,6.366261292E0,6.178851013E0
2.001859167E-1,4.114194489E0,6.474785614E0,6.186784515E0
2.102349167E-1,3.842210083E0,6.468648376E0,6.424490204E0
2.202849167E-1,3.266656952E0,6.334227905E0,6.397396545E0
2.303349167E-1,2.772534485E0,6.129004669E0,6.740632782E0
2.403839167E-1,2.790347443E0,5.809718628E0,6.792724457E0
2.504339167E-1,2.920876007E0,5.801785126E0,6.600224762E0
2.604839167E-1,2.884651337E0,6.097270660E0,6.717730408E0
2.705329167E-1,3.123704224E0,6.115083618E0,6.874903564E0
2.805829167E-1,3.428021393E0,6.051615601E0,6.897506561E0
2.906319167E-1,3.615731049E0,6.094276886E0,6.873706055E0
3.006819167E-1,3.662134552E0,6.194268951E0,6.847061462E0
3.107319167E-1,3.686683502E0,6.227200470E0,6.750362549E0
3.207809167E-1,3.615880737E0,6.259832611E0,6.672225037E0
3.308309167E-1,3.419489136E0,6.248456268E0,6.653364258E0
