"Time (s)","X (hPa)"
-5.570990833E-1,1.011736755E3
4.516139167E-1,1.011733780E3
1.460363917E0,1.011730804E3
2.469090917E0,1.011724396E3
3.477794917E0,1.011724319E3
3.825262917E0,1.011724319E3
4.901247917E0,1.011718063E3
5.977259917E0,1.011711960E3
7.053268917E0,1.011709442E3
8.129246917E0,1.011708984E3
9.205193917E0,1.011706619E3
1.028113392E1,1.011706619E3
1.135708792E1,1.011708832E3
1.243304792E1,1.011714249E3
1.350901192E1,1.011714249E3
1.458492992E1,1.011714859E3
1.566085892E1,1.011718292E3
1.673677092E1,1.011723709E3
1.781270492E1,1.011724319E3
1.888862192E1,1.011725235E3
1.996453192E1,1.011724396E3
2.104046792E1,1.011724396E3
2.211642292E1,1.011719055E3
2.319238392E1,1.011715546E3
2.426832392E1,1.011714249E3
2.534432692E1,1.011710892E3
2.642021792E1,1.011710892E3
2.749610392E1,1.011712112E3
2.857209692E1,1.011712112E3
2.964807692E1,1.011712112E3
3.072409392E1,1.011711578E3
3.180012192E1,1.011711578E3
3.287611192E1,1.011707687E3
3.395210192E1,1.011707687E3
3.502807392E1,1.011717682E3
3.610406792E1,1.011717682E3
3.718007992E1,1.011717682E3
3.825606292E1,1.011722031E3
3.933209992E1,1.011722031E3
4.040813492E1,1.011723251E3
4.148414792E1,1.011724777E3
4.256016392E1,1.011724777E3
4.363621492E1,1.011723557E3
4.471228792E1,1.011722488E3
4.578831692E1,1.011717224E3
4.686435292E1,1.011711044E3
4.794043192E1,1.011708755E3
4.901648992E1,1.011706085E3
5.009250792E1,1.011701202E3
5.116848092E1,1.011701202E3
5.224444092E1,1.011700592E3
5.332041792E1,1.011702042E3
5.439640092E1,1.011703949E3
5.547238292E1,1.011708374E3
5.654839892E1,1.011713638E3
6.003788233E1,1.011732483E3
6.104660233E1,1.011727982E3
6.205530633E1,1.011723785E3
6.306403633E1,1.011723785E3
6.407282133E1,1.011726227E3
6.442031433E1,1.011726227E3
6.549631233E1,1.011706085E3
6.657224933E1,1.011702271E3
6.764819033E1,1.011701584E3
6.872415733E1,1.011702271E3
6.980009233E1,1.011707306E3
7.087603433E1,1.011715469E3
7.195191133E1,1.011719055E3
7.302784733E1,1.011719055E3
7.410384833E1,1.011710510E3
7.517982333E1,1.011704407E3
7.625584333E1,1.011704407E3
7.733197933E1,1.011705246E3
7.840802133E1,1.011705856E3
7.948400833E1,1.011705246E3
8.055999533E1,1.011701202E3
8.163598833E1,1.011689453E3
8.271199833E1,1.011682663E3
8.378795333E1,1.011677246E3
8.486394633E1,1.011677246E3
8.593996433E1,1.011686859E3
8.701601433E1,1.011692581E3
8.809215133E1,1.011692581E3
8.916818933E1,1.011691132E3
9.024418333E1,1.011676788E3
9.132018133E1,1.011665878E3
9.239618433E1,1.011665878E3
9.347215233E1,1.011666718E3
9.454809933E1,1.011674881E3
9.562409333E1,1.011686707E3
9.670007433E1,1.011694260E3
9.777605333E1,1.011694260E3
1.003248522E2,1.011710663E3
1.013335652E2,1.011709976E3
1.023422852E2,1.011710663E3
1.033510382E2,1.011714630E3
1.043598082E2,1.011726837E3
1.047073072E2,1.011726837E3
1.057832822E2,1.011723251E3
1.068592892E2,1.011723251E3
1.079353032E2,1.011723328E3
1.090112992E2,1.011723328E3
1.100872462E2,1.011723328E3
1.111631982E2,1.011725998E3
1.122391562E2,1.011725998E3
1.133151482E2,1.011718903E3
1.143911022E2,1.011709824E3
1.154671122E2,1.011700134E3
1.165431242E2,1.011693649E3
1.176191162E2,1.011691132E3
1.186951212E2,1.011690216E3
1.197711802E2,1.011687775E3
1.208471752E2,1.011686630E3
1.219231482E2,1.011683731E3
1.229991042E2,1.011680222E3
1.240750492E2,1.011680222E3
1.251510442E2,1.011685257E3
1.262270252E2,1.011689224E3
1.273030172E2,1.011692810E3
1.283790252E2,1.011698456E3
1.294550302E2,1.011698456E3
1.305310622E2,1.011691895E3
1.316070952E2,1.011687546E3
1.326830932E2,1.011681671E3
1.337590892E2,1.011677170E3
1.348351162E2,1.011672211E3
1.359111792E2,1.011669006E3
1.369872432E2,1.011661453E3
1.380633382E2,1.011652145E3
1.391393942E2,1.011652145E3
1.402154662E2,1.011652374E3
1.412915372E2,1.011658630E3
1.423676022E2,1.011668625E3
1.434436532E2,1.011681442E3
1.445197082E2,1.011683731E3
1.455957222E2,1.011683731E3
1.466717562E2,1.011681824E3
1.477478242E2,1.011680832E3
1.488238922E2,1.011680832E3
1.498999742E2,1.011689606E3
1.509759892E2,1.011698227E3
1.520520292E2,1.011699982E3
1.531280502E2,1.011699982E3
1.542040372E2,1.011691360E3
1.552800742E2,1.011676178E3
1.563561062E2,1.011673050E3
1.574321482E2,1.011673050E3
1.609313948E2,1.011712189E3
1.619401708E2,1.011717987E3
1.629489578E2,1.011712189E3
1.639577388E2,1.011705399E3
1.649665408E2,1.011699142E3
1.653139398E2,1.011698914E3
1.663900098E2,1.011692581E3
1.674660568E2,1.011679153E3
1.685421318E2,1.011678238E3
