"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.301091667E-2,3.465128243E-1,-1.151469827E0,-1.202458739E0
2.306091666E-2,3.849720657E-1,-9.418901801E-1,-9.682664275E-1
3.310991667E-2,4.364966750E-1,-6.980465055E-1,-3.929667473E-1
4.315991667E-2,5.218315721E-1,-1.085874811E-1,5.203944445E-1
5.320891667E-2,5.735189915E-1,5.078580230E-2,7.310099602E-1
6.325891667E-2,6.059842706E-1,7.165033370E-2,4.776394665E-1
7.330891666E-2,6.238815188E-1,-1.179315709E-2,1.186408401E-1
8.335791666E-2,6.374814510E-1,-1.920500025E-2,-6.280644238E-2
9.340791667E-2,5.635221601E-1,-3.675099462E-2,-2.566346526E-2
1.034579167E-1,4.605342448E-1,-6.739945710E-2,1.106424481E-1
1.135069167E-1,3.942400515E-1,-8.114554733E-2,2.146011889E-1
1.235569167E-1,3.815793693E-1,-7.452652603E-2,2.159056067E-1
1.336059167E-1,4.348593652E-1,-4.227504134E-2,1.638003737E-1
1.436559167E-1,5.011009574E-1,3.552734479E-2,1.379029900E-1
1.537059167E-1,5.415481925E-1,1.770178676E-1,1.737297028E-1
1.637549167E-1,5.258725882E-1,3.495241106E-1,2.279234380E-1
1.738049167E-1,4.407269359E-1,5.429877639E-1,2.608772218E-1
1.838549167E-1,3.248184621E-1,7.304415703E-1,2.684187591E-1
1.939039167E-1,1.925850362E-1,8.517208099E-1,2.353463024E-1
2.039539167E-1,1.147578955E-1,8.356459737E-1,1.708227098E-1
2.140029167E-1,5.670889094E-2,6.869596243E-1,9.670139849E-2
2.240529167E-1,5.884794146E-2,5.253267884E-1,7.768802345E-2
2.341029167E-1,8.677083254E-2,2.764357924E-1,6.449750066E-2
2.441519167E-1,1.018022448E-1,1.786035150E-1,6.113526225E-2
2.542019167E-1,1.439716369E-1,1.133106425E-1,1.299688816E-1
2.642519167E-1,1.922102720E-1,1.355863959E-1,1.782964617E-1
2.743009167E-1,2.322026640E-1,2.208100408E-1,2.054188699E-1
2.843509167E-1,2.401948124E-1,3.723289669E-1,2.283204645E-1
2.943999167E-1,2.277803719E-1,5.581678152E-1,2.419773489E-1
3.044499167E-1,1.704004258E-1,7.343060970E-1,2.254543006E-1
3.144999167E-1,7.645332813E-2,8.796842098E-1,1.976629198E-1
3.245489167E-1,-2.953356504E-2,9.357096553E-1,1.630956233E-1
3.345989167E-1,-1.112395898E-1,9.026469588E-1,1.284638196E-1
3.446479167E-1,-1.726036072E-1,8.317930698E-1,1.271029562E-1
3.546979167E-1,-1.923167109E-1,7.563016415E-1,1.604914218E-1
3.647479167E-1,-1.761380136E-1,6.771887541E-1,2.060943246E-1
3.747969167E-1,-1.272061765E-1,6.433560252E-1,2.297548950E-1
3.848469167E-1,-6.512256712E-2,6.351639032E-1,2.323876917E-1
3.948969167E-1,-9.082745761E-3,6.298176646E-1,2.069809139E-1
4.049459167E-1,8.134058677E-3,6.135569215E-1,1.791341156E-1
4.149962917E-1,-1.499181055E-2,6.013294458E-1,1.572536081E-1
4.250452917E-1,-6.393964589E-2,5.828364491E-1,1.465311795E-1
4.350952917E-1,-1.177462488E-1,5.650991201E-1,1.379974037E-1
4.451452917E-1,-1.624902785E-1,5.424218178E-1,1.406997144E-1
4.551942917E-1,-1.959704161E-1,5.306115150E-1,1.573697478E-1
4.652442917E-1,-1.847776920E-1,5.845325589E-1,1.580645591E-1
4.752942917E-1,-1.014359519E-1,6.214762330E-1,1.315605640E-1
4.853432917E-1,1.637968235E-3,6.274837852E-1,8.030589670E-2
4.953932917E-1,6.310544908E-2,6.047244072E-1,5.115000531E-2
5.054422917E-1,9.446337819E-2,5.655218959E-1,5.199342966E-2
5.154922917E-1,9.670329094E-2,4.950607717E-1,5.807695538E-2
