"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.592833334E-3,-3.005749512E-1,4.442761230E-1,9.794132996E0
1.264183333E-2,-4.543052673E-1,4.477189636E-1,9.795929260E0
2.269083334E-2,-4.833448792E-1,4.128414917E-1,9.789792023E0
3.274083333E-2,-4.210743713E-1,4.158352661E-1,9.784253540E0
4.278983333E-2,-3.614982605E-1,4.405339050E-1,9.763147430E0
5.283883333E-2,-3.314108276E-1,4.517605591E-1,9.760902100E0
6.288783333E-2,-3.406915283E-1,4.572990417E-1,9.758806458E0
7.293683333E-2,-3.402424622E-1,4.475692749E-1,9.763596497E0
8.298583333E-2,-2.814147949E-1,4.601431274E-1,9.779912567E0
9.303583334E-2,-2.918930054E-1,4.468208313E-1,9.743837585E0
1.030848333E-1,-3.782633972E-1,4.694238281E-1,9.726623383E0
1.131338333E-1,-4.816983032E-1,4.688250732E-1,9.746681671E0
1.231828333E-1,-4.858895874E-1,4.326004028E-1,9.736203461E0
1.332318333E-1,-4.608915710E-1,4.269122314E-1,9.707912292E0
1.432808333E-1,-4.559518433E-1,4.414320374E-1,9.715696106E0
1.533308333E-1,-4.090992737E-1,4.237687683E-1,9.724827118E0
1.633798333E-1,-3.261717224E-1,4.225712585E-1,9.733209686E0
1.734288333E-1,-2.859054565E-1,4.376898193E-1,9.761500854E0
1.834778333E-1,-2.917433167E-1,4.448748779E-1,9.775421906E0
1.935268333E-1,-2.977308655E-1,4.311035156E-1,9.763297119E0
2.035758333E-1,-3.233276367E-1,4.387376404E-1,9.750423889E0
2.136258333E-1,-3.788621521E-1,4.555027771E-1,9.774074707E0
2.236748333E-1,-4.333488464E-1,4.423301697E-1,9.759255524E0
2.337238333E-1,-4.376898193E-1,4.324507141E-1,9.734856262E0
2.437728333E-1,-4.237687683E-1,4.522096252E-1,9.733509064E0
2.538218333E-1,-4.140390015E-1,4.565505981E-1,9.730365601E0
2.638708333E-1,-3.881428528E-1,4.564009094E-1,9.737251282E0
2.739208333E-1,-3.782633972E-1,4.751119995E-1,9.760153656E0
2.839698333E-1,-3.517684937E-1,4.749623108E-1,9.796827393E0
2.940188333E-1,-3.234773254E-1,4.721182251E-1,9.796677704E0
3.040678333E-1,-3.326083374E-1,4.650828552E-1,9.757159882E0
3.141168333E-1,-3.658392334E-1,4.613406372E-1,9.739197235E0
3.241658333E-1,-4.070036316E-1,4.564009094E-1,9.739496613E0
3.342158333E-1,-4.376898193E-1,4.311035156E-1,9.727371826E0
3.442648333E-1,-4.438270569E-1,4.167333984E-1,9.703571320E0
3.543138333E-1,-4.243675232E-1,4.164340210E-1,9.704768829E0
3.643628333E-1,-4.228706360E-1,4.333488464E-1,9.730664978E0
3.744118333E-1,-4.071533203E-1,4.334985352E-1,9.723629608E0
3.844608333E-1,-3.543132019E-1,4.451742554E-1,9.720486145E0
3.945108333E-1,-3.152444458E-1,4.891827393E-1,9.754315796E0
4.045598333E-1,-3.147953796E-1,5.035528564E-1,9.743238831E0
4.146088333E-1,-3.365002441E-1,4.806504822E-1,9.731712799E0
4.246578333E-1,-3.384461975E-1,4.629872131E-1,9.745484161E0
4.347068333E-1,-3.375480652E-1,4.608915710E-1,9.753866730E0
4.447558333E-1,-3.564088440E-1,4.372407532E-1,9.750274200E0
4.548058333E-1,-3.626957703E-1,4.108955383E-1,9.733209686E0
4.648548333E-1,-3.824546814E-1,4.245172119E-1,9.748178558E0
4.749038333E-1,-4.138893127E-1,4.462220764E-1,9.751322021E0
4.849528333E-1,-4.125421143E-1,4.483177185E-1,9.772128754E0
4.950018333E-1,-3.938310242E-1,4.468208313E-1,9.773176575E0
5.050508333E-1,-3.899391174E-1,4.587959290E-1,9.785001984E0
5.151008333E-1,-3.700305176E-1,4.568499756E-1,9.770781555E0
5.251498333E-1,-3.634442139E-1,4.715194702E-1,9.775272217E0
5.351988333E-1,-4.034111023E-1,4.766088867E-1,9.769584045E0
5.452478333E-1,-4.309538269E-1,4.682263184E-1,9.756561127E0
5.552968333E-1,-4.469705200E-1,4.685256958E-1,9.743837585E0
5.653458333E-1,-4.375401306E-1,4.848417664E-1,9.733209686E0
5.753958333E-1,-4.146377563E-1,4.725672913E-1,9.723479919E0
5.854448333E-1,-4.177812195E-1,4.773573303E-1,9.739795990E0
5.954938333E-1,-4.083508301E-1,4.719685364E-1,9.742789764E0
6.055428333E-1,-3.854484558E-1,4.463717651E-1,9.755662994E0
6.155918333E-1,-3.858975220E-1,4.430786133E-1,9.759554901E0
6.256408333E-1,-3.839515686E-1,4.317022705E-1,9.731114044E0
6.356908333E-1,-3.685336304E-1,4.270619202E-1,9.717342682E0
6.457398333E-1,-3.354524231E-1,4.272116089E-1,9.729617157E0
