"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.389783333E-2,6.838636473E-4,1.133023994E-3,4.215252120E-4
2.394683333E-2,6.505668163E-3,-4.492020234E-4,2.503755270E-3
3.399683333E-2,6.715791766E-3,-1.040157396E-3,5.575710908E-3
4.404583333E-2,3.045201534E-3,4.233674146E-3,-3.564881627E-4
5.409483333E-2,4.824459553E-3,1.176722441E-2,2.311466727E-3
6.414383333E-2,3.658500966E-3,2.751566842E-2,7.954612374E-3
7.419283333E-2,5.814847536E-4,2.848319523E-2,1.429506578E-2
8.424183333E-2,2.030548174E-3,3.159340099E-2,1.905041514E-3
9.429183333E-2,-4.539736547E-3,2.202466317E-2,-9.036023170E-3
1.043408333E-1,-8.093057200E-3,7.460939698E-3,-3.949821927E-3
1.143898333E-1,-3.396040294E-3,-9.473836049E-3,6.108414382E-4
1.244388333E-1,4.686033353E-3,-2.339814231E-2,-4.076935351E-3
1.344878333E-1,7.505788468E-3,-2.645411901E-2,-4.470017739E-3
1.445368333E-1,8.065528236E-3,-1.676285453E-2,3.194455057E-4
1.545868333E-1,5.195439793E-3,-8.569640107E-3,1.640373375E-3
1.646358333E-1,7.280969992E-3,6.119897589E-3,2.791052219E-3
1.746848333E-1,5.626880564E-3,1.947884634E-2,1.659474801E-3
1.847338333E-1,4.431121983E-3,3.405069932E-2,8.097157814E-3
1.947828333E-1,5.190389231E-3,3.899299353E-2,7.124038413E-3
2.048318333E-1,6.732071750E-3,2.719713934E-2,8.074331097E-3
2.148818333E-1,1.131963357E-2,1.105545368E-2,2.834827872E-3
2.249308333E-1,1.178835146E-2,6.079715677E-4,1.522179693E-3
2.349798333E-1,8.596818894E-3,-9.377550334E-3,-1.702592708E-4
2.450288333E-1,7.097625639E-3,-1.408048160E-2,1.657754183E-3
2.550778333E-1,7.518455386E-4,-1.453215443E-2,-4.900812637E-3
2.651268333E-1,2.957186662E-4,-1.328999177E-2,7.044735830E-4
2.751768333E-1,-3.028972074E-3,-2.987552667E-3,3.918908536E-3
2.852258333E-1,1.321348362E-3,-4.806951620E-3,1.864028862E-3
2.952748333E-1,3.063055919E-3,3.604109632E-3,-7.418741006E-4
3.053238333E-1,-1.410101540E-3,4.979486577E-3,-2.124591265E-3
3.153728333E-1,-3.371140920E-4,6.371787749E-3,-7.828909438E-4
3.254218333E-1,3.016802482E-3,7.180437446E-3,4.158156458E-3
3.354718333E-1,4.453578033E-3,5.910109729E-3,4.399438854E-3
3.455208333E-1,-8.791261353E-4,5.926262587E-3,1.267245272E-3
3.555698333E-1,-7.511768490E-5,6.313753314E-3,1.774577657E-3
3.656188333E-1,1.950749196E-3,5.023717880E-3,5.680370145E-3
3.756678333E-1,-6.170710549E-4,2.356828190E-3,5.137617700E-3
3.857168333E-1,1.197245438E-3,3.510899143E-3,1.779817976E-4
3.957668333E-1,4.611417651E-3,6.450247020E-5,-4.963306710E-4
4.058158333E-1,5.527159665E-3,-2.432347741E-3,-1.251483103E-3
4.158648333E-1,4.875483923E-3,-2.232077997E-3,2.105963882E-3
4.259138333E-1,3.763448214E-3,1.454057638E-3,-7.449695840E-4
4.359628333E-1,6.091050804E-3,5.044264719E-3,1.457198523E-3
4.460118333E-1,1.483922824E-5,4.653559532E-3,1.653172076E-3
4.560618333E-1,-3.085612785E-3,4.233312327E-3,-1.168713439E-3
4.661108333E-1,-5.603117868E-3,4.796755500E-3,-1.029329607E-3
4.761598333E-1,-3.899227828E-3,1.965549076E-3,7.898756303E-4
4.862088333E-1,-1.809802372E-3,4.437429830E-3,3.511486575E-4
4.962578333E-1,3.119975328E-3,3.533286275E-3,2.982351929E-3
5.063068333E-1,5.662320647E-3,9.627893567E-3,3.832247807E-3
5.163568333E-1,8.425350301E-3,8.272077888E-3,-1.586219762E-3
5.264058333E-1,4.914732650E-3,1.031279657E-2,3.642369993E-4
5.364548333E-1,5.154151004E-3,8.583073504E-3,-8.893129416E-4
5.465038333E-1,-2.231728286E-5,3.425623756E-3,-2.087017056E-3
5.565528333E-1,-4.893771838E-3,-7.155914791E-4,-2.186352853E-3
5.666018333E-1,-6.800978910E-3,1.981517766E-3,5.694816355E-4
5.766518333E-1,-8.626043797E-3,-3.799406113E-3,-1.312840497E-3
5.867008333E-1,-7.282164413E-3,-3.599331481E-3,8.619122673E-4
5.967498333E-1,-3.379567992E-3,-1.117149740E-2,1.188682159E-3
6.067988333E-1,1.894138753E-3,-1.759729534E-2,3.749848111E-3
6.168478333E-1,5.253450014E-3,-1.862953790E-2,-7.192022167E-4
6.268968333E-1,6.982383318E-3,-8.695239201E-3,3.082409734E-3
6.369468333E-1,5.311516114E-3,4.631218500E-3,4.706405103E-3
6.469958333E-1,1.535705291E-3,1.122688595E-2,4.261557478E-3
6.570448333E-1,-1.987656578E-3,1.306366734E-2,5.286874715E-3
6.670938333E-1,-1.191998366E-3,1.672651619E-2,2.213481581E-3
6.771428333E-1,-1.865511760E-3,1.740322448E-2,3.855853109E-3
6.871918333E-1,3.399318084E-4,1.378697716E-2,9.073324036E-4
6.972418333E-1,-1.599648036E-3,5.846762564E-3,-1.477262005E-3
7.072908333E-1,-4.250053316E-4,-1.628872007E-3,-3.860315774E-3
7.173398333E-1,-2.568583935E-3,-1.487724483E-3,-4.564722069E-3
7.273888333E-1,-6.820539478E-3,-3.189331386E-3,-6.596505642E-3
7.374378333E-1,-1.206829958E-2,-2.405030420E-3,-5.945363082E-3
7.474862500E-1,-1.474328525E-2,2.647471381E-3,-8.307429962E-4
7.575362500E-1,-1.253845543E-2,3.054935252E-3,1.203113236E-3
7.675852500E-1,-6.409028079E-3,4.430673085E-3,7.065815385E-3
7.776342500E-1,-4.292347934E-3,2.090020571E-3,8.946007118E-3
7.876832500E-1,-4.420188256E-3,2.885599155E-3,1.010905951E-2
7.977322500E-1,-3.922177479E-3,1.743102912E-3,4.476740491E-3
8.077812500E-1,-5.475466140E-3,4.501787480E-4,1.913810614E-3
8.178312500E-1,1.845504157E-4,-9.949761443E-5,2.575073391E-3
8.278802500E-1,-3.089350183E-3,-1.908111037E-3,5.328303669E-4
8.379292500E-1,-2.930313349E-4,-8.059214801E-3,-4.163202830E-4
8.479782500E-1,2.037350554E-3,-1.494379528E-2,-1.270465553E-3
8.580272500E-1,4.434461705E-3,-1.708284579E-2,-4.085959401E-3
8.680762500E-1,9.194309823E-4,-1.075759158E-2,-3.605586477E-3
8.781262500E-1,-4.120068625E-3,-9.768661112E-4,-2.417284064E-3
8.881752500E-1,-6.585955154E-3,6.614134647E-3,-1.562398160E-3
8.982242500E-1,-6.697008852E-3,1.098145265E-2,2.045120113E-3
9.082732500E-1,-5.735046696E-3,1.583390683E-2,2.343849512E-3
9.183222500E-1,-2.917156089E-3,1.808028296E-2,6.142050028E-3
9.283712500E-1,-1.265921630E-3,1.511864550E-2,1.774330623E-3
9.384212500E-1,9.202398360E-5,1.747953705E-2,3.489939030E-3
9.484702500E-1,-6.071814802E-3,3.042310476E-2,7.644485682E-3
9.585192500E-1,-1.116963848E-2,1.502870210E-2,1.167597901E-2
9.685682500E-1,-3.463800997E-3,-2.980473451E-3,-7.213721983E-3
9.786172500E-1,-3.079506569E-3,-1.567576267E-2,-8.040633053E-3
9.886662500E-1,8.082822897E-4,-1.881930791E-2,2.655400429E-3
9.987162500E-1,2.275950275E-3,-1.439686306E-2,7.364667952E-3
1.008765250E0,6.451540161E-3,-1.207423955E-2,4.741710145E-4
1.018814250E0,7.299224380E-3,-6.532999687E-3,-4.677888937E-4
1.028863250E0,4.556198139E-3,1.663052011E-3,4.700797610E-3
1.038912250E0,-1.171170734E-4,4.449223634E-4,4.224358127E-3
1.048961250E0,3.690598533E-5,-1.366414013E-3,-6.350814365E-4
1.059011250E0,-1.725041308E-3,-1.036097389E-2,-2.675328869E-3
1.069060250E0,-5.616414826E-3,-1.599632576E-2,4.003677983E-3
1.079109250E0,-1.090731658E-2,-1.929438300E-2,-2.580455039E-3
1.089158250E0,-1.331188530E-2,-1.649593376E-2,-6.083843298E-3
1.099207250E0,-1.056350395E-2,-9.223906323E-3,-1.532767434E-3
1.109256250E0,-1.533081755E-2,2.957299817E-3,4.154362716E-3
1.119306250E0,-1.649515331E-2,3.528281581E-3,-2.752278931E-3
1.129355250E0,-1.432600804E-2,1.048339345E-2,-7.662083022E-3
1.139404250E0,-5.431049038E-3,2.053469419E-2,-4.331984092E-4
1.149453250E0,2.041677944E-3,2.650491707E-2,7.212489843E-3
1.159502250E0,5.448659882E-3,1.886963472E-2,4.729092121E-3
1.169552250E0,2.275577746E-3,7.242497522E-4,-4.937679041E-4
1.179601250E0,-7.345932536E-4,-1.369223930E-2,-4.239770118E-3
1.189650250E0,1.559654716E-3,-1.742534712E-2,-1.177582657E-3
1.199699250E0,3.853435628E-3,-1.700749807E-2,7.306449115E-3
1.209748250E0,6.048092153E-3,-1.495897584E-2,8.492656983E-3
1.219797250E0,5.101072136E-3,-9.450227022E-3,1.420060918E-2
1.229846250E0,4.355119541E-3,-7.531071082E-3,9.190063924E-3
1.239896250E0,3.322345437E-3,-1.068378100E-3,3.323653247E-3
1.249945250E0,2.327826805E-4,4.206023645E-3,4.675890319E-3
1.259994250E0,-6.449620705E-3,1.239497773E-2,3.736593761E-3
1.270043250E0,-1.119325310E-2,8.562248200E-3,-1.519370824E-3
1.280092250E0,-1.236744039E-2,4.246329889E-3,5.874629132E-3
1.290141250E0,-1.006184705E-2,-4.069328774E-3,6.789069157E-4
1.300191250E0,-9.529747069E-3,-1.333419979E-2,-5.280981306E-3
1.310240250E0,-5.802540574E-3,-1.648129709E-2,-6.504506804E-3
1.320289250E0,-2.254943829E-3,-1.734016649E-2,-3.945475444E-3
1.330338250E0,6.194445305E-4,-1.020672638E-2,-2.598613501E-4
1.340387250E0,3.025344340E-3,-2.890756819E-3,1.086100470E-3
1.350436250E0,-3.681323957E-3,3.002829617E-3,2.921168460E-3
1.360486250E0,-2.551877405E-3,5.565855652E-3,2.210104605E-3
1.370535250E0,1.502177212E-3,4.539677873E-3,4.074452445E-3
1.380584250E0,3.697420936E-3,2.054949058E-3,1.248306362E-3
1.390633250E0,2.644406864E-3,-2.242594026E-3,-4.081477877E-3
1.400682250E0,2.022292465E-3,-5.307625979E-3,-4.745404236E-3
1.410732250E0,-3.651343752E-3,-9.362187237E-3,-2.161404584E-3
1.420781250E0,-7.833305746E-3,-1.195717044E-2,-3.859436139E-3
1.430830250E0,-1.153926644E-2,-1.487158984E-2,-7.085825317E-3
1.440879250E0,-8.599935099E-3,-1.703940332E-2,-6.006179377E-3
1.450928250E0,-5.049813539E-3,-1.253640093E-2,-1.742578344E-3
1.460977250E0,-5.107603967E-3,-2.883241745E-3,2.988260938E-3
1.471027250E0,1.235936768E-3,-4.409041721E-4,5.329730920E-3
1.481076250E0,4.995521624E-3,7.531534880E-3,4.429049790E-3
1.491125250E0,6.193775684E-3,5.117519759E-3,1.863125479E-3
1.501174250E0,6.778872572E-3,2.615746344E-3,-7.102868985E-4
1.511223250E0,2.100809012E-3,-3.431235440E-3,-4.539557267E-3
1.521272250E0,3.485653084E-3,-9.746123105E-3,-1.413006103E-3
1.531321250E0,-1.838206314E-3,-9.326889180E-3,8.668180089E-4
1.541371250E0,-1.052573789E-3,-4.437325057E-3,1.474982128E-4
1.551420250E0,4.781540483E-4,1.422550064E-3,1.324673416E-3
1.561469250E0,-1.993525308E-3,-5.154323298E-4,2.446662867E-3
1.571518250E0,6.375345401E-4,8.128522895E-3,3.671863582E-3
1.581567250E0,2.407236025E-4,1.747541875E-2,5.457246210E-3
1.591616250E0,-5.419207737E-4,2.069862001E-2,-3.453192301E-3
1.601666250E0,-1.994941384E-3,1.254854910E-2,-3.651598003E-3
1.611715250E0,-3.546784632E-3,1.077700872E-3,-1.211242983E-3
1.621764250E0,9.668571874E-5,-7.514721714E-3,5.424022675E-3
1.631813250E0,-3.465940244E-3,-1.165722683E-2,8.675013669E-3
1.641862250E0,-7.721530274E-4,-8.177007549E-3,7.393234409E-3
1.651911250E0,-2.751210704E-4,-5.705359392E-3,1.225464977E-2
1.661961250E0,-4.442701582E-3,-1.589976484E-3,4.995138384E-3
1.672010250E0,-5.638366565E-4,1.192983706E-2,6.725544576E-3
1.682059250E0,8.965753019E-3,2.431593277E-2,6.857636850E-3
1.692108250E0,1.357939281E-2,3.064858168E-2,3.627856029E-3
1.702157250E0,1.366807707E-2,3.155991435E-2,-3.899302566E-3
1.712206250E0,1.632970758E-2,2.776080184E-2,-1.814665273E-3
1.722256250E0,8.530640043E-3,1.811430044E-2,-4.552128725E-3
1.732305250E0,6.106404122E-3,5.423435941E-3,-4.800003022E-3
1.742355083E0,7.989904843E-4,-7.390097249E-3,-1.040702220E-2
1.752404083E0,-3.707222641E-3,-1.176588424E-2,-7.654691115E-3
1.762453083E0,-6.998357363E-3,-5.637950264E-3,-3.053015564E-3
1.772503083E0,-8.058673702E-3,1.513556344E-3,3.563589416E-4
1.782552083E0,-6.060237065E-3,4.363671876E-3,5.007022992E-4
1.792601083E0,-2.974138130E-3,1.046967600E-2,1.093178988E-3
1.802650083E0,3.794019576E-3,1.375814620E-2,7.175839506E-3
1.812699083E0,9.025930427E-3,9.368235245E-3,5.624110810E-3
1.822748083E0,1.378979348E-2,6.840895396E-3,3.760164836E-3
1.832797083E0,9.074380621E-3,1.337657683E-3,2.063831314E-3
1.842847083E0,8.413117379E-3,2.584549598E-3,1.984202769E-3
1.852896083E0,4.629869480E-3,4.419631325E-3,-6.282925606E-4
1.862945083E0,2.069506329E-3,6.856129039E-4,-3.615294117E-3
1.872994083E0,1.277995761E-3,2.154797316E-3,-3.388558514E-3
1.883043083E0,1.213014591E-3,1.139889471E-2,1.007521292E-3
1.893093083E0,1.129535958E-3,1.433729287E-2,-3.412496299E-4
1.903142083E0,1.647786703E-3,2.129107155E-2,-4.291250370E-3
1.913191083E0,6.008340977E-3,2.124929428E-2,-4.091301002E-3
1.923240083E0,3.835201729E-3,1.966391131E-2,3.088314785E-3
1.933289083E0,3.968882374E-3,1.224976499E-2,1.596728340E-3
1.943338083E0,1.957130618E-3,4.840850830E-3,-6.607139483E-3
1.953388083E0,7.886243984E-4,-6.338430103E-4,5.493883509E-4
1.963437083E0,-2.461231314E-3,3.190361895E-4,7.947916165E-3
1.973486083E0,-4.094721749E-3,1.719124382E-3,-3.245568369E-4
1.983535083E0,-3.402033821E-3,4.042466171E-3,-6.416005082E-3
1.993584083E0,-7.491121069E-4,4.121159203E-3,-3.992408514E-3
2.003633083E0,-1.688941382E-3,6.262873299E-3,6.811769214E-3
2.013683083E0,5.612062756E-3,1.048150938E-3,4.200184718E-3
2.023732083E0,9.910404682E-3,1.882785466E-3,-3.006595653E-3
2.033781083E0,6.757346448E-3,1.946752192E-3,-7.823694032E-4
2.043830083E0,9.516647086E-3,5.794486962E-3,5.285110325E-3
2.053879083E0,6.704975851E-3,9.128909558E-3,1.596130198E-3
2.063928083E0,-8.709183894E-4,5.478781182E-3,-4.737133160E-3
2.073977083E0,1.164148096E-3,3.754781326E-3,-5.728241522E-3
2.084027083E0,-1.388758421E-3,8.963658474E-3,-3.009153996E-3
2.094076083E0,-2.033921424E-3,6.782131735E-3,5.287353415E-4
2.104125083E0,-6.133909337E-4,7.161099929E-3,-3.529123031E-3
2.114174083E0,5.447706208E-4,5.789499730E-3,6.336488295E-4
2.124223083E0,-1.147934236E-3,1.231930405E-2,6.653403398E-4
2.134273083E0,-3.298589028E-3,1.564741507E-2,1.795782009E-3
2.144322083E0,3.022714518E-4,1.348812319E-2,2.873677295E-4
2.154371083E0,1.095521729E-3,4.160085693E-3,8.099246770E-5
2.164420083E0,1.029741950E-3,-5.030749366E-3,5.704814103E-4
2.174469083E0,-5.594454706E-5,-5.303218961E-3,4.940667190E-3
