"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.389783333E-2,-3.212643005E-3,4.913481094E-2,6.576363444E-3
2.394683333E-2,-1.163691663E-1,2.670686513E-2,-6.410887241E-3
3.399683333E-2,-7.994583674E-2,4.799686968E-3,-3.094931245E-3
4.404583333E-2,-1.502778277E-2,2.585996903E-2,-2.612185121E-2
5.409483333E-2,3.336622249E-2,4.147068266E-2,-3.460031390E-2
6.414383333E-2,4.474435598E-2,5.170002099E-2,-3.347238600E-2
7.419283333E-2,3.372812860E-2,4.136952583E-2,-3.380275369E-2
8.424183333E-2,7.105163701E-2,5.324511118E-2,-2.306375742E-2
9.429183333E-2,1.069059594E-1,4.665749185E-2,-2.476354301E-2
1.043408333E-1,6.551834375E-2,4.873614047E-2,-7.051859021E-2
1.143898333E-1,-5.551236905E-2,7.304071359E-2,-5.466971219E-2
1.244388333E-1,-1.048922880E-1,4.408087973E-2,-4.783314764E-2
1.344878333E-1,-9.103767592E-2,1.831424687E-2,-7.529050291E-2
1.445368333E-1,-7.792383302E-2,2.895292684E-2,-8.836663127E-2
1.545868333E-1,-6.085643180E-2,2.973733082E-2,-7.072616637E-2
1.646358333E-1,1.156747364E-2,7.703487352E-3,-6.816099286E-2
1.746848333E-1,7.938399240E-2,2.338144396E-2,-4.863363147E-2
1.847338333E-1,1.002781770E-1,3.505215749E-2,-2.126223028E-2
1.947828333E-1,8.669502195E-2,2.917822737E-2,-2.421858251E-2
2.048318333E-1,8.464623068E-2,1.731254574E-2,-4.186080158E-2
2.148818333E-1,4.074785717E-2,3.924219914E-2,-2.736204565E-2
2.249308333E-1,-1.806500930E-2,3.653928716E-2,-2.907060206E-2
2.349798333E-1,-4.938752029E-2,2.101441797E-2,-4.161521852E-2
2.450288333E-1,-3.979647864E-2,2.546780359E-2,-6.558470964E-2
2.550778333E-1,-3.083898280E-2,4.053066965E-2,-5.679809868E-2
2.651268333E-1,-1.074889999E-2,3.572732817E-2,-6.763298929E-2
2.751768333E-1,2.829394564E-3,5.015884113E-2,-4.208825827E-2
2.852258333E-1,1.703736115E-2,6.532856505E-2,-1.772115648E-2
2.952748333E-1,5.238937117E-2,5.612406090E-2,1.013205528E-2
3.053238333E-1,6.229663756E-2,5.293729182E-2,-1.439642966E-2
3.153728333E-1,3.897001125E-2,4.446529761E-2,-4.864708006E-2
3.254218333E-1,4.791391231E-3,4.234747265E-2,-5.459369838E-2
3.354718333E-1,-3.685642552E-2,2.908960551E-2,-5.723722458E-2
3.455208333E-1,-5.483423822E-2,1.638170555E-3,-7.501802266E-2
3.555698333E-1,-4.799277663E-2,-2.874198854E-3,-9.848406851E-2
3.656188333E-1,-2.992820587E-2,7.623819038E-3,-7.060805261E-2
3.756678333E-1,-2.987671383E-2,1.435432971E-2,-6.475557446E-2
3.857168333E-1,6.821654141E-3,1.798146721E-2,-7.222831607E-2
3.957668333E-1,6.137785725E-2,4.701526836E-2,-6.038068771E-2
4.058158333E-1,7.923181862E-2,8.366674896E-2,-3.581536531E-2
4.158648333E-1,6.584626291E-2,7.478153933E-2,-6.094377458E-2
4.259138333E-1,5.216242611E-2,4.817758519E-2,-5.447383046E-2
4.359628333E-1,5.141336124E-2,3.992212068E-2,-4.200522780E-2
4.460118333E-1,4.741741061E-2,3.294061828E-2,-3.971662760E-2
4.560618333E-1,3.049414326E-2,-3.016066924E-4,-5.106958151E-2
4.661108333E-1,2.402968090E-2,-7.931894213E-3,-5.600521624E-2
4.761598333E-1,-1.071849447E-2,1.888767600E-2,-4.583515406E-2
4.862088333E-1,-2.367351238E-2,2.619070217E-2,-3.056281149E-2
4.962578333E-1,-9.690188505E-3,2.679979932E-2,-1.886662602E-2
5.063068333E-1,4.007243067E-3,3.076015502E-2,-1.312816858E-2
5.163568333E-1,8.308381811E-3,3.819657080E-2,-1.605879307E-2
5.264058333E-1,3.566962346E-2,3.779011622E-2,-2.108915269E-2
5.364548333E-1,1.666233536E-2,5.288492270E-2,-1.729606390E-2
5.465038333E-1,-2.819922075E-2,4.948063720E-2,-3.029442430E-2
5.565528333E-1,-4.116739489E-2,4.374031596E-2,-4.362490654E-2
5.666018333E-1,-4.995616201E-2,5.777626477E-2,-5.068366528E-2
5.766518333E-1,-2.535246726E-2,5.796673782E-2,-6.897726417E-2
5.867008333E-1,-2.059287027E-2,5.193496943E-2,-6.318267345E-2
5.967498333E-1,-1.903005570E-2,5.853592772E-2,-4.975863576E-2
6.067988333E-1,7.027987763E-4,3.599852934E-2,-4.608073711E-2
6.168478333E-1,7.633540034E-3,2.354695670E-2,-2.921502829E-2
6.268968333E-1,4.905777387E-3,1.473081730E-2,-4.629065216E-2
6.369468333E-1,1.324061785E-2,8.211610392E-3,-7.185350955E-2
6.469958333E-1,4.024079394E-2,-1.837487519E-4,-6.954385936E-2
6.570448333E-1,5.725973636E-2,1.103303812E-2,-5.720331073E-2
6.670938333E-1,2.327440336E-2,2.695581034E-2,-4.680520713E-2
6.771428333E-1,1.298999157E-2,2.847659804E-2,-6.454448998E-2
6.871918333E-1,1.789920419E-2,2.759779807E-2,-6.747336030E-2
6.972418333E-1,4.197540700E-2,6.589179810E-2,-4.827636659E-2
7.072908333E-1,3.921405941E-2,7.007518854E-2,-5.306932926E-2
7.173398333E-1,9.113981947E-3,7.008600589E-2,-4.740103841E-2
7.273888333E-1,8.231052384E-3,5.764747985E-2,-4.892774642E-2
7.374378333E-1,1.631354894E-2,3.580144163E-2,-5.168003082E-2
7.474862500E-1,-7.639862336E-3,1.623314973E-2,-1.011977613E-2
7.575362500E-1,-4.041321371E-2,5.885990001E-3,1.603131115E-2
7.675852500E-1,-2.868234694E-2,-3.378075354E-2,1.211601555E-2
7.776342500E-1,3.361527734E-3,-1.492070563E-2,2.228841662E-2
7.876832500E-1,9.385804385E-3,4.220227897E-4,1.076063097E-2
7.977322500E-1,3.712678615E-2,9.650427438E-3,-7.347611189E-3
8.077812500E-1,1.008002237E-1,3.311146662E-2,-2.172065198E-2
8.178312500E-1,7.506374057E-2,6.214197870E-2,-1.228967786E-2
8.278802500E-1,1.355958346E-2,7.701005939E-2,-1.214115858E-2
8.379292500E-1,3.803029060E-3,5.590033181E-2,-4.778636992E-2
8.479782500E-1,-3.302141950E-2,6.783420660E-2,-6.998123109E-2
8.580272500E-1,-6.779788077E-2,6.310468622E-2,-8.844556868E-2
8.680762500E-1,-5.420697816E-2,3.602221057E-2,-1.077986830E-1
8.781262500E-1,-4.689346354E-2,3.059599444E-2,-1.160736626E-1
8.881752500E-1,-3.165178232E-2,3.632860467E-2,-1.223828083E-1
8.982242500E-1,-1.669665121E-2,2.811249923E-2,-9.468688667E-2
9.082732500E-1,-1.707222518E-2,2.842075713E-2,-5.707057893E-2
9.183222500E-1,-1.631223332E-2,1.772243556E-2,-4.609243155E-2
9.283712500E-1,-4.768879451E-3,1.439259242E-2,-5.036440730E-2
9.384212500E-1,8.586745821E-3,3.545451902E-2,-3.157613397E-2
9.484702500E-1,-8.493555821E-3,3.773010917E-2,-3.717425823E-2
9.585192500E-1,-1.382387761E-2,2.488984287E-2,-4.339920402E-2
9.685682500E-1,6.308528077E-2,2.283461966E-2,-8.669081926E-3
9.786172500E-1,5.289990619E-2,1.925714694E-2,5.714308441E-2
9.886662500E-1,-5.526861325E-2,1.744666625E-2,8.422914147E-3
9.987162500E-1,-6.555010144E-2,2.932722174E-2,1.031390369E-2
1.008765250E0,1.942496203E-2,1.312279645E-2,6.241317987E-3
1.018814250E0,9.354328092E-2,2.071270164E-2,-5.286467671E-3
1.028863250E0,8.068390153E-2,2.495566059E-2,-1.813513935E-2
1.038912250E0,3.206130669E-2,1.911809284E-2,-4.805300295E-2
1.048961250E0,5.634727836E-2,2.476511445E-2,-7.229906738E-2
1.059011250E0,5.362810381E-2,5.554745235E-2,-5.047433496E-2
1.069060250E0,-3.010373197E-2,6.914259419E-2,-9.498860300E-2
1.079109250E0,-6.385714978E-2,6.232463110E-2,-1.278622341E-1
1.089158250E0,1.212847743E-2,4.353924483E-2,-1.471510291E-1
1.099207250E0,6.560404200E-2,5.447240520E-2,-1.122337961E-1
1.109256250E0,7.405498624E-4,5.534499250E-2,-9.299353302E-2
1.119306250E0,-2.938996967E-2,2.047811866E-2,-5.397155464E-2
1.129355250E0,3.729142182E-2,-8.345438540E-4,-3.125863016E-2
1.139404250E0,8.298697360E-2,-8.968167007E-5,-1.955835164E-2
1.149453250E0,2.738214545E-2,9.863156453E-4,9.885887504E-3
1.159502250E0,-4.921254236E-2,-1.423924919E-2,2.543246448E-2
1.169552250E0,-3.157050602E-2,-1.007811472E-2,1.905198276E-2
1.179601250E0,-5.668765940E-3,1.413790964E-2,-1.060918808E-2
1.189650250E0,-2.977424137E-2,3.484553151E-2,-2.023955226E-2
1.199699250E0,-8.079799533E-2,4.928442657E-2,1.864677072E-3
1.209748250E0,-8.076130405E-2,3.438586727E-2,-1.688968241E-2
1.219797250E0,-3.779662125E-2,4.482307412E-2,-2.171889782E-2
1.229846250E0,-3.640648227E-2,5.214360539E-2,-1.260835111E-2
1.239896250E0,3.600207422E-2,4.065185320E-2,-1.888533711E-2
1.249945250E0,8.854833350E-2,6.211862639E-2,-2.755149543E-2
1.259994250E0,7.378276180E-2,6.719631191E-2,-2.857300401E-2
1.270043250E0,5.515356928E-2,4.152992226E-2,-6.733185768E-2
1.280092250E0,3.791495427E-2,2.633136425E-2,-7.512151837E-2
1.290141250E0,-1.117914543E-3,3.895820718E-2,-4.940137088E-2
1.300191250E0,2.464601398E-3,8.505432978E-3,-8.104474783E-2
1.310240250E0,2.137621444E-2,-2.009443168E-2,-8.710889518E-2
1.320289250E0,-1.348320421E-2,-9.217294939E-3,-9.093297422E-2
1.330338250E0,-1.817654494E-2,-1.386104397E-2,-7.961802721E-2
1.340387250E0,-7.400382310E-4,-2.394054741E-2,-6.496665895E-2
1.350436250E0,2.323910080E-2,-1.356641740E-2,-5.717699826E-2
1.360486250E0,4.649300236E-2,7.143470272E-4,-4.967502058E-2
