"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.389783333E-2,-3.506927490E0,1.354232025E1,-4.542456818E1
2.394683333E-2,-3.419487000E0,1.361798096E1,-4.536994171E1
3.399683333E-2,-3.400482178E0,1.364130402E1,-4.539284134E1
4.404583333E-2,-3.511703491E0,1.355360413E1,-4.540341187E1
5.409483333E-2,-3.548706055E0,1.351017761E1,-4.534481049E1
6.414383333E-2,-3.432746887E0,1.359282684E1,-4.533079529E1
7.419283333E-2,-3.270202637E0,1.357795715E1,-4.532573700E1
8.424183333E-2,-3.207427979E0,1.340808868E1,-4.518310928E1
9.429183333E-2,-3.181610107E0,1.351905060E1,-4.529092789E1
1.043408333E-1,-3.263404846E0,1.362466431E1,-4.550305939E1
1.143898333E-1,-3.237236023E0,1.359016418E1,-4.549395752E1
1.244388333E-1,-3.322463989E0,1.351621246E1,-4.551424408E1
1.344878333E-1,-3.382072449E0,1.351529694E1,-4.566945648E1
1.445368333E-1,-3.345031738E0,1.365350342E1,-4.581948853E1
1.545868333E-1,-3.336975098E0,1.358581543E1,-4.577817535E1
1.646358333E-1,-3.343566895E0,1.351498413E1,-4.577300262E1
1.746848333E-1,-3.321548462E0,1.352156830E1,-4.591413498E1
1.847338333E-1,-3.365585327E0,1.337644958E1,-4.597549057E1
1.947828333E-1,-3.335510254E0,1.333554077E1,-4.599228668E1
2.048318333E-1,-3.384246826E0,1.334695435E1,-4.602812195E1
2.148818333E-1,-3.368682861E0,1.334597015E1,-4.585228348E1
2.249308333E-1,-3.365463257E0,1.349291992E1,-4.579627609E1
2.349798333E-1,-3.395408630E0,1.349073029E1,-4.579356384E1
2.450288333E-1,-3.360633850E0,1.356132507E1,-4.596401215E1
2.550778333E-1,-3.392570496E0,1.353051758E1,-4.590963745E1
2.651268333E-1,-3.390022278E0,1.338619232E1,-4.570826721E1
2.751768333E-1,-3.381294250E0,1.352080536E1,-4.563027954E1
2.852258333E-1,-3.323379517E0,1.355182648E1,-4.580144501E1
2.952748333E-1,-3.293701172E0,1.354581451E1,-4.583927155E1
3.053238333E-1,-3.297454834E0,1.350678253E1,-4.573303604E1
3.153728333E-1,-3.352798462E0,1.339422607E1,-4.556149292E1
3.254218333E-1,-3.404953003E0,1.336773682E1,-4.554303741E1
3.354718333E-1,-3.242935181E0,1.336147308E1,-4.548991013E1
3.455208333E-1,-3.289260864E0,1.333666992E1,-4.548045349E1
3.555698333E-1,-3.274894714E0,1.339982605E1,-4.537916946E1
3.656188333E-1,-3.324371338E0,1.340688324E1,-4.545633698E1
3.756678333E-1,-3.338035583E0,1.336017609E1,-4.550145340E1
3.857168333E-1,-3.421157837E0,1.341852570E1,-4.554668045E1
3.957668333E-1,-3.406967163E0,1.351920319E1,-4.548926544E1
4.058158333E-1,-3.377265930E0,1.358306885E1,-4.542835236E1
4.158648333E-1,-3.367286682E0,1.359062958E1,-4.539597702E1
4.259138333E-1,-3.355468750E0,1.362067413E1,-4.542672348E1
4.359628333E-1,-3.533828735E0,1.362593842E1,-4.534882355E1
4.460118333E-1,-3.543182373E0,1.362383270E1,-4.545294189E1
4.560618333E-1,-3.491317749E0,1.367864990E1,-4.542090988E1
4.661108333E-1,-3.469123840E0,1.368127441E1,-4.536471176E1
4.761598333E-1,-3.461006165E0,1.360646057E1,-4.532373047E1
4.862088333E-1,-3.582397461E0,1.340952301E1,-4.530818939E1
4.962578333E-1,-3.600463867E0,1.339218903E1,-4.528998184E1
5.063068333E-1,-3.530403137E0,1.333718109E1,-4.522520828E1
5.163568333E-1,-3.585456848E0,1.331001282E1,-4.517785645E1
5.264058333E-1,-3.505630493E0,1.338697815E1,-4.529175949E1
5.364548333E-1,-3.553009033E0,1.335935211E1,-4.534230804E1
5.465038333E-1,-3.542472839E0,1.338271332E1,-4.536513519E1
5.565528333E-1,-3.377593994E0,1.333538055E1,-4.531684113E1
5.666018333E-1,-3.420753479E0,1.337100220E1,-4.534339142E1
5.766518333E-1,-3.440032959E0,1.344766998E1,-4.536092377E1
5.867008333E-1,-3.405868530E0,1.355042267E1,-4.538888931E1
5.967498333E-1,-3.472381592E0,1.350135803E1,-4.540459061E1
6.067988333E-1,-3.526763916E0,1.360035706E1,-4.545779800E1
6.168478333E-1,-3.477653503E0,1.359218597E1,-4.548841858E1
6.268968333E-1,-3.530303955E0,1.357952118E1,-4.538880539E1
6.369468333E-1,-3.476844788E0,1.373995209E1,-4.550210953E1
6.469958333E-1,-3.443992615E0,1.381964874E1,-4.551256943E1
6.570448333E-1,-3.485191345E0,1.384480286E1,-4.550432587E1
6.670938333E-1,-3.465988159E0,1.368443298E1,-4.551741409E1
6.771428333E-1,-3.495323181E0,1.358419800E1,-4.555875397E1
6.871918333E-1,-3.418556213E0,1.357981873E1,-4.554225922E1
6.972418333E-1,-3.435829163E0,1.359436798E1,-4.553564453E1
7.072908333E-1,-3.390716553E0,1.350637054E1,-4.548962784E1
7.173398333E-1,-3.300384521E0,1.364954376E1,-4.538882065E1
7.273888333E-1,-3.258590698E0,1.368228149E1,-4.540770340E1
7.374378333E-1,-3.333778381E0,1.375598907E1,-4.537207794E1
7.474862500E-1,-3.325965881E0,1.362946320E1,-4.537658691E1
7.575362500E-1,-3.276306152E0,1.363014984E1,-4.532360458E1
7.675852500E-1,-3.392471313E0,1.378915405E1,-4.538178253E1
7.776342500E-1,-3.427421570E0,1.368634033E1,-4.537084579E1
7.876832500E-1,-3.355384827E0,1.364932251E1,-4.540676880E1
7.977322500E-1,-3.416870117E0,1.363516235E1,-4.522938919E1
8.077812500E-1,-3.263641357E0,1.364482880E1,-4.529554367E1
8.178312500E-1,-3.214233398E0,1.373456573E1,-4.534840775E1
8.278802500E-1,-3.234649658E0,1.370805359E1,-4.524385834E1
8.379292500E-1,-3.214279175E0,1.366048431E1,-4.507780457E1
8.479782500E-1,-3.110336304E0,1.367076874E1,-4.507177353E1
8.580272500E-1,-3.077346802E0,1.357508087E1,-4.509933472E1
8.680762500E-1,-3.086845398E0,1.354956818E1,-4.519471359E1
8.781262500E-1,-3.194915771E0,1.357146454E1,-4.532305145E1
8.881752500E-1,-3.217773438E0,1.366046143E1,-4.539718246E1
8.982242500E-1,-3.262779236E0,1.364532471E1,-4.545222855E1
9.082732500E-1,-3.219985962E0,1.373669434E1,-4.550491333E1
9.183222500E-1,-3.293724060E0,1.365307617E1,-4.547738647E1
9.283712500E-1,-3.406593323E0,1.358972168E1,-4.539971542E1
9.384212500E-1,-3.387962341E0,1.365032959E1,-4.536424637E1
9.484702500E-1,-3.488616943E0,1.365822601E1,-4.538636398E1
9.585192500E-1,-3.578910828E0,1.355149078E1,-4.551787567E1
9.685682500E-1,-3.520919800E0,1.342829132E1,-4.551227570E1
9.786172500E-1,-3.570205688E0,1.338131714E1,-4.542076874E1
9.886662500E-1,-3.451492310E0,1.345464325E1,-4.541448212E1
9.987162500E-1,-3.398857117E0,1.355790710E1,-4.536645126E1
1.008765250E0,-3.336250305E0,1.360379028E1,-4.548772430E1
1.018814250E0,-3.329772949E0,1.369039154E1,-4.548815155E1
1.028863250E0,-3.341362000E0,1.358198547E1,-4.540964508E1
1.038912250E0,-3.509780884E0,1.363339233E1,-4.540323639E1
1.048961250E0,-3.437866211E0,1.368759918E1,-4.544955444E1
1.059011250E0,-3.405273438E0,1.389459991E1,-4.555914307E1
1.069060250E0,-3.338508606E0,1.371570587E1,-4.557779312E1
1.079109250E0,-3.329429626E0,1.367979431E1,-4.567681503E1
1.089158250E0,-3.347328186E0,1.362139130E1,-4.571527863E1
1.099207250E0,-3.332611084E0,1.351264954E1,-4.578467178E1
1.109256250E0,-3.383468628E0,1.353030396E1,-4.580971527E1
1.119306250E0,-3.274383545E0,1.356660461E1,-4.575418472E1
1.129355250E0,-3.288162231E0,1.352162170E1,-4.558740234E1
1.139404250E0,-3.135810852E0,1.362152100E1,-4.553032684E1
1.149453250E0,-3.163970947E0,1.362574768E1,-4.547203445E1
1.159502250E0,-3.204963684E0,1.359083557E1,-4.554930115E1
1.169552250E0,-3.176956177E0,1.364164734E1,-4.551422119E1
1.179601250E0,-3.169883728E0,1.364340973E1,-4.547844315E1
1.189650250E0,-3.205177307E0,1.363180542E1,-4.541561508E1
1.199699250E0,-3.260025024E0,1.350012207E1,-4.551085281E1
1.209748250E0,-3.197128296E0,1.350682068E1,-4.546460342E1
1.219797250E0,-3.357574463E0,1.360857391E1,-4.541061401E1
1.229846250E0,-3.426681519E0,1.361894226E1,-4.538500214E1
1.239896250E0,-3.323959351E0,1.359107971E1,-4.532711411E1
1.249945250E0,-3.231842041E0,1.359096527E1,-4.538410187E1
1.259994250E0,-3.370635986E0,1.372058105E1,-4.542552948E1
1.270043250E0,-3.433433533E0,1.374197388E1,-4.541961288E1
1.280092250E0,-3.404403687E0,1.379122925E1,-4.537204742E1
1.290141250E0,-3.425941467E0,1.372110748E1,-4.533987808E1
1.300191250E0,-3.425163269E0,1.370323944E1,-4.544410706E1
1.310240250E0,-3.352371216E0,1.364283752E1,-4.545512772E1
1.320289250E0,-3.391426086E0,1.367928314E1,-4.548549652E1
1.330338250E0,-3.366485596E0,1.360523224E1,-4.536117554E1
1.340387250E0,-3.389869690E0,1.361551666E1,-4.539004135E1
1.350436250E0,-3.398094177E0,1.365412903E1,-4.550318146E1
1.360486250E0,-3.400337219E0,1.365115356E1,-4.549329376E1
1.370535250E0,-3.326507568E0,1.375814819E1,-4.553067017E1
1.380584250E0,-3.312973022E0,1.385713196E1,-4.552265167E1
1.390633250E0,-3.257553101E0,1.392190552E1,-4.546505737E1
1.400682250E0,-3.268592834E0,1.395320892E1,-4.524288940E1
1.410732250E0,-3.209335327E0,1.396269226E1,-4.525527191E1
1.420781250E0,-3.208427429E0,1.389002228E1,-4.533731842E1
1.430830250E0,-3.283416748E0,1.367037201E1,-4.535072327E1
1.440879250E0,-3.199028015E0,1.370746613E1,-4.550405502E1
1.450928250E0,-3.272804260E0,1.352207184E1,-4.553141785E1
1.460977250E0,-3.247344971E0,1.364618683E1,-4.556406403E1
1.471027250E0,-3.234580994E0,1.367129517E1,-4.555456543E1
1.481076250E0,-3.076881409E0,1.356348419E1,-4.551744461E1
1.491125250E0,-3.031990051E0,1.364953613E1,-4.556972504E1
1.501174250E0,-3.054550171E0,1.365083313E1,-4.550685883E1
1.511223250E0,-3.117721558E0,1.359089661E1,-4.550912857E1
1.521272250E0,-3.139183044E0,1.340362549E1,-4.551414108E1
1.531321250E0,-3.104171753E0,1.343125916E1,-4.562593079E1
1.541371250E0,-3.208702087E0,1.348554993E1,-4.554384613E1
1.551420250E0,-3.237884521E0,1.350771332E1,-4.549919891E1
1.561469250E0,-3.213180542E0,1.364871216E1,-4.547988892E1
1.571518250E0,-3.217544556E0,1.368611908E1,-4.554969025E1
1.581567250E0,-3.090820312E0,1.371427917E1,-4.550745773E1
1.591616250E0,-3.123970032E0,1.365660095E1,-4.549794769E1
1.601666250E0,-2.979919434E0,1.361837769E1,-4.556402206E1
1.611715250E0,-2.962730408E0,1.363428497E1,-4.553073883E1
1.621764250E0,-3.068176270E0,1.353961182E1,-4.542058563E1
1.631813250E0,-3.179389954E0,1.356426239E1,-4.521783066E1
1.641862250E0,-3.217521667E0,1.339605713E1,-4.511542511E1
1.651911250E0,-3.195365906E0,1.348685455E1,-4.520243835E1
1.661961250E0,-3.266128540E0,1.357731628E1,-4.533142853E1
1.672010250E0,-3.259559631E0,1.354088593E1,-4.550996017E1
1.682059250E0,-3.347557068E0,1.363770294E1,-4.550350571E1
1.692108250E0,-3.367393494E0,1.362966156E1,-4.548103714E1
1.702157250E0,-3.396240234E0,1.362494659E1,-4.560414886E1
1.712206250E0,-3.404647827E0,1.369746399E1,-4.560009766E1
1.722256250E0,-3.347740173E0,1.376432037E1,-4.544627380E1
1.732305250E0,-3.348823547E0,1.382353973E1,-4.555109406E1
1.742355083E0,-3.397056580E0,1.391232300E1,-4.557767487E1
1.752404083E0,-3.396133423E0,1.401851654E1,-4.554266739E1
1.762453083E0,-3.434097290E0,1.403678131E1,-4.547562408E1
1.772503083E0,-3.451828003E0,1.390721130E1,-4.541374207E1
1.782552083E0,-3.432289124E0,1.370411682E1,-4.539023590E1
1.792601083E0,-3.343856812E0,1.379372406E1,-4.546601486E1
1.802650083E0,-3.446060181E0,1.371417999E1,-4.537435150E1
1.812699083E0,-3.373619080E0,1.365347290E1,-4.520258713E1
1.822748083E0,-3.439689636E0,1.369988251E1,-4.506140900E1
1.832797083E0,-3.439720154E0,1.366800690E1,-4.511641312E1
1.842847083E0,-3.521842957E0,1.360476685E1,-4.520137405E1
1.852896083E0,-3.640014648E0,1.365259552E1,-4.521597290E1
1.862945083E0,-3.556793213E0,1.365128326E1,-4.507076263E1
1.872994083E0,-3.434967041E0,1.360364532E1,-4.500341034E1
1.883043083E0,-3.415664673E0,1.373842621E1,-4.505879974E1
1.893093083E0,-3.345603943E0,1.364874268E1,-4.516621399E1
1.903142083E0,-3.418045044E0,1.360501099E1,-4.535970306E1
1.913191083E0,-3.440704346E0,1.372272491E1,-4.536118698E1
1.923240083E0,-3.339302063E0,1.374704742E1,-4.533382797E1
1.933289083E0,-3.223861694E0,1.370366669E1,-4.519770432E1
1.943338083E0,-3.267288208E0,1.369776917E1,-4.512844086E1
1.953388083E0,-3.299591064E0,1.365034485E1,-4.509058380E1
1.963437083E0,-3.277397156E0,1.352935791E1,-4.506948090E1
1.973486083E0,-3.226417542E0,1.354925537E1,-4.521343994E1
1.983535083E0,-3.366836548E0,1.357783508E1,-4.532532501E1
1.993584083E0,-3.402687073E0,1.353892517E1,-4.538806915E1
2.003633083E0,-3.237197876E0,1.365420532E1,-4.537662888E1
2.013683083E0,-3.288055420E0,1.372858429E1,-4.514727020E1
2.023732083E0,-3.292533875E0,1.377247620E1,-4.513401794E1
2.033781083E0,-3.153877258E0,1.380527496E1,-4.522620773E1
2.043830083E0,-2.995658875E0,1.375818634E1,-4.530428696E1
2.053879083E0,-2.927803040E0,1.364936829E1,-4.535083008E1
2.063928083E0,-2.961120605E0,1.371622467E1,-4.546646881E1
2.073977083E0,-2.906127930E0,1.376069641E1,-4.546744156E1
2.084027083E0,-2.993621826E0,1.392614746E1,-4.552942657E1
2.094076083E0,-2.929481506E0,1.384473419E1,-4.563056183E1
2.104125083E0,-2.972335815E0,1.378620148E1,-4.569890594E1
2.114174083E0,-3.055778503E0,1.381617737E1,-4.560031128E1
2.124223083E0,-3.098167419E0,1.383815765E1,-4.547692108E1
2.134273083E0,-3.139923096E0,1.392454529E1,-4.538255310E1
2.144322083E0,-2.983390808E0,1.395276642E1,-4.554059982E1
2.154371083E0,-3.003692627E0,1.379322052E1,-4.567066193E1
2.164420083E0,-3.041885376E0,1.375772095E1,-4.563013077E1
2.174469083E0,-3.135719299E0,1.379647064E1,-4.552442169E1
2.184518083E0,-3.222068787E0,1.377768707E1,-4.550379944E1
2.194567083E0,-3.194442749E0,1.370042419E1,-4.563105392E1
2.204617083E0,-3.214683533E0,1.379148865E1,-4.552386475E1
2.214666083E0,-3.264183044E0,1.385469055E1,-4.556892014E1
2.224715083E0,-3.116714478E0,1.383956909E1,-4.556225967E1
2.234764083E0,-2.969436646E0,1.381146240E1,-4.544952393E1
2.244813083E0,-3.012413025E0,1.376784515E1,-4.534977722E1
2.254863083E0,-3.168571472E0,1.381104279E1,-4.538678741E1
2.264912083E0,-3.083595276E0,1.388519287E1,-4.532965469E1
2.274961083E0,-3.077171326E0,1.382665253E1,-4.530823898E1
2.285010083E0,-3.112480164E0,1.381350708E1,-4.520705414E1
2.295059083E0,-3.018829346E0,1.383543396E1,-4.520422745E1
2.305108083E0,-3.055854797E0,1.376989746E1,-4.517652512E1
2.315158083E0,-3.178672791E0,1.364675903E1,-4.527251816E1
2.325207083E0,-3.248344421E0,1.360511017E1,-4.536414337E1
2.335256083E0,-3.146797180E0,1.362734985E1,-4.527455521E1
2.345305083E0,-2.987007141E0,1.350161743E1,-4.529774475E1
2.355354083E0,-3.008178711E0,1.359673309E1,-4.549652863E1
2.365403083E0,-3.090591431E0,1.361585999E1,-4.552439880E1
2.375453083E0,-3.139045715E0,1.361360931E1,-4.540653229E1
2.385502083E0,-3.094429016E0,1.369112396E1,-4.537199402E1
2.395551083E0,-3.121055603E0,1.371131134E1,-4.524163055E1
2.405600083E0,-3.023948669E0,1.365650177E1,-4.526235962E1
2.415649083E0,-2.947441101E0,1.360174561E1,-4.521308899E1
2.425698083E0,-2.923759460E0,1.375360107E1,-4.533924866E1
2.435748083E0,-2.888328552E0,1.368859863E1,-4.534416580E1
2.445797083E0,-2.983306885E0,1.371551514E1,-4.537170029E1
2.455846083E0,-3.198440552E0,1.373962402E1,-4.533703995E1
2.465895083E0,-3.223045349E0,1.375453949E1,-4.533267593E1
2.475944083E0,-3.219787598E0,1.372114563E1,-4.533591080E1
2.485993083E0,-2.971298218E0,1.363599396E1,-4.540108109E1
2.496043083E0,-2.875419617E0,1.353161621E1,-4.534239960E1
2.506092083E0,-2.968612671E0,1.359125519E1,-4.544291306E1
2.516141083E0,-2.930015564E0,1.362929535E1,-4.547391129E1
2.526190083E0,-2.976020813E0,1.378382111E1,-4.537154388E1
2.536239083E0,-2.955490112E0,1.378396606E1,-4.538467407E1
2.546288083E0,-2.949836731E0,1.391039276E1,-4.533608246E1
2.556337083E0,-3.056259155E0,1.375479889E1,-4.529474258E1
2.566387083E0,-3.091354370E0,1.370677185E1,-4.526186752E1
2.576436083E0,-3.059577942E0,1.373902130E1,-4.529189301E1
2.586485083E0,-2.981231689E0,1.365013123E1,-4.559832764E1
