"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717790841465317E9,"2024-06-07 22:07:21.465 UTC+02:00"
"PAUSE",6.061762879166781E1,1.717790902082888E9,"2024-06-07 22:08:22.083 UTC+02:00"
"START",6.061762879166781E1,1.717790907006738E9,"2024-06-07 22:08:27.007 UTC+02:00"
"PAUSE",1.212098849166687E2,1.717790967598936E9,"2024-06-07 22:09:27.599 UTC+02:00"
"START",1.212098849166687E2,1.717790975341590E9,"2024-06-07 22:09:35.342 UTC+02:00"
"PAUSE",1.818032725833364E2,1.717791035934920E9,"2024-06-07 22:10:35.935 UTC+02:00"
"START",1.818032725833364E2,1.717791041996470E9,"2024-06-07 22:10:41.996 UTC+02:00"
"PAUSE",2.423929595833360E2,1.717791102586109E9,"2024-06-07 22:11:42.586 UTC+02:00"
"START",2.423929595833360E2,1.717791118676169E9,"2024-06-07 22:11:58.676 UTC+02:00"
"PAUSE",3.029825810416696E2,1.717791179265734E9,"2024-06-07 22:12:59.266 UTC+02:00"
