"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.375791669E-3,-3.278033295E0,1.912123718E0,9.011410675E0
1.642579167E-2,-3.317850494E0,1.889520721E0,9.014404449E0
2.647579167E-2,-3.313060455E0,1.901495819E0,9.023834839E0
3.652479167E-2,-3.262615356E0,1.911974030E0,8.999585266E0
4.657479167E-2,-3.237916718E0,1.936822357E0,8.998537445E0
5.662379167E-2,-3.257376251E0,1.955533447E0,8.990304565E0
6.667379167E-2,-3.278332672E0,1.944157104E0,8.996292114E0
7.672379167E-2,-3.276087341E0,1.945504303E0,9.021140442E0
8.677379167E-2,-3.250789948E0,1.941612396E0,9.037306824E0
9.682279167E-2,-3.260220337E0,1.934427338E0,9.055718536E0
1.068727917E-1,-3.265758820E0,1.924547882E0,9.076375580E0
1.169217917E-1,-3.266357574E0,1.919907532E0,9.078171844E0
1.269717917E-1,-3.270399170E0,1.926643524E0,9.050329742E0
1.370217917E-1,-3.264411621E0,1.930086365E0,9.100475464E0
1.470707917E-1,-3.264112244E0,1.928739166E0,9.082512817E0
1.571207917E-1,-3.244652710E0,1.925146637E0,9.081315308E0
1.671707917E-1,-3.224145355E0,1.928290100E0,9.082812195E0
1.772197917E-1,-3.233126678E0,1.942959595E0,9.051377563E0
1.872697917E-1,-3.210224304E0,1.942061462E0,9.033714294E0
1.973197917E-1,-3.179089050E0,1.932631073E0,9.056317291E0
2.073687917E-1,-3.207230530E0,1.943558350E0,9.033564606E0
2.174187917E-1,-3.251239014E0,1.948797455E0,9.022337952E0
2.274687917E-1,-3.226540375E0,1.939965820E0,9.021290131E0
2.375177917E-1,-3.191064148E0,1.935325470E0,8.984766083E0
2.475677917E-1,-3.198548584E0,1.940863953E0,8.946595459E0
2.576177917E-1,-3.171305237E0,1.966011658E0,8.931027832E0
2.676667917E-1,-3.119962006E0,1.970053253E0,8.881780243E0
2.777167917E-1,-3.041674805E0,1.994153137E0,8.841214600E0
2.877667917E-1,-2.908601532E0,2.039957886E0,8.805139618E0
2.978157917E-1,-2.633773041E0,2.170187073E0,8.719068604E0
