"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.631791668E-3,-7.941080257E-3,1.297724992E-2,-2.924701199E-3
1.768179167E-2,-7.005171385E-3,1.224822830E-2,1.186390966E-2
2.773179167E-2,-2.904435154E-3,1.560487691E-2,1.711593010E-2
3.778079167E-2,-2.154651098E-3,1.731594652E-2,1.150952093E-2
4.783079167E-2,-4.023657180E-3,1.078134961E-2,7.562716492E-3
5.787979167E-2,-1.000957005E-2,-1.235482749E-3,2.179215197E-3
6.792979167E-2,-1.109560765E-2,-7.623074576E-3,3.046340309E-3
7.797979167E-2,-1.520231180E-2,-9.059729986E-3,-8.916917723E-4
8.802979167E-2,-1.545451209E-2,-5.316124298E-3,-2.471745480E-3
9.807879167E-2,-1.512852311E-2,4.797361325E-3,4.734131508E-4
1.081287917E-1,-1.448110864E-2,7.152661216E-3,1.729093958E-3
1.181777917E-1,-1.375408471E-2,9.516084567E-3,7.353987079E-3
1.282277917E-1,-1.005255617E-2,1.121571381E-2,1.258070767E-2
1.382777917E-1,-5.581414793E-3,8.993148804E-3,1.167962048E-2
1.483267917E-1,-1.586939674E-3,2.709153574E-3,1.087108534E-2
1.583767917E-1,4.944324028E-3,-4.447809421E-3,5.049664527E-3
1.684267917E-1,2.152798232E-3,-3.853658214E-3,1.708994852E-3
1.784757917E-1,3.605343169E-3,-7.412687875E-3,-1.333290944E-3
1.885257917E-1,1.032742858E-2,-6.868869998E-3,-2.208938356E-3
1.985757917E-1,8.084483445E-3,1.818244578E-3,-2.510672901E-3
2.086247917E-1,1.172795426E-2,6.791165099E-3,-1.843018224E-3
2.186747917E-1,9.624689817E-3,1.329125278E-2,4.143108148E-3
2.287247917E-1,3.078639274E-3,1.678132638E-2,-1.793610398E-3
2.387737917E-1,3.107147757E-3,1.719089225E-2,-4.603993148E-4
2.488237917E-1,5.527694710E-3,1.465076860E-2,-4.332901910E-3
2.588737917E-1,4.960000981E-3,1.099080499E-2,-1.394047588E-2
2.689227917E-1,-1.064069103E-3,1.261080615E-2,-2.157975361E-2
2.789727917E-1,1.754794735E-3,3.471395746E-2,-3.322580457E-2
2.890227917E-1,5.335947499E-3,1.563983113E-1,-4.760980234E-2
2.990717917E-1,-3.162570298E-2,4.918803573E-1,-3.459628299E-2
3.091217917E-1,-1.400270015E-1,9.561010003E-1,-1.572645456E-2
3.191717917E-1,-2.638897598E-1,1.459766269E0,-4.767758772E-2
