"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.631791668E-3,-5.788801968E-2,-3.990958571E-2,-4.308228493E-2
1.768179167E-2,-8.503781140E-2,-4.847546428E-2,-3.414540052E-2
2.773179167E-2,-5.841573089E-2,-3.357939005E-2,-3.843550265E-2
3.778079167E-2,-4.322261810E-3,-1.999923170E-2,-5.946910679E-2
4.783079167E-2,-2.619552612E-3,7.213271409E-3,-5.458726645E-2
5.787979167E-2,-2.130900800E-2,1.350268275E-2,-6.509997547E-2
6.792979167E-2,-3.931463152E-2,5.258108675E-3,-4.764194369E-2
7.797979167E-2,-2.504771769E-2,8.120466918E-3,-2.454544187E-2
8.802979167E-2,-5.629991591E-3,4.010459036E-3,-9.960731864E-3
9.807879167E-2,-2.184022754E-2,-2.276174873E-3,7.474495769E-3
1.081287917E-1,-1.911191672E-2,-9.390774518E-3,2.863381505E-2
1.181777917E-1,-2.795758456E-2,-8.620696217E-3,1.387076497E-2
1.282277917E-1,-2.126573861E-2,-2.677878588E-3,7.772119045E-3
1.382777917E-1,-1.893971622E-2,7.431811094E-4,5.331198871E-2
1.483267917E-1,-1.292439312E-2,-2.918637693E-3,2.158207297E-2
1.583767917E-1,1.398040026E-2,-1.008776262E-2,2.929396570E-2
1.684267917E-1,1.531912029E-2,1.061269641E-3,2.520149946E-2
1.784757917E-1,1.880172193E-2,1.196603447E-2,-1.699317813E-2
1.885257917E-1,5.034481913E-2,2.623938024E-3,-1.026010931E-2
1.985757917E-1,6.520434827E-2,3.418574631E-3,6.502103806E-4
2.086247917E-1,1.575415313E-2,1.287513033E-2,-2.878818154E-2
2.186747917E-1,-5.961236358E-4,1.151740685E-2,-2.741759419E-2
2.287247917E-1,3.867465377E-2,2.834583968E-3,-4.163860738E-2
2.387737917E-1,5.880106241E-2,-2.382740378E-4,-8.587103963E-2
2.488237917E-1,5.461971849E-2,1.304762319E-2,-1.083635241E-1
2.588737917E-1,1.007460639E-1,3.502335995E-2,-1.392900324E-1
2.689227917E-1,1.590699935E-1,3.907664984E-2,-1.868998164E-1
2.789727917E-1,2.498664352E-1,7.460696340E-2,-2.141829246E-1
2.890227917E-1,4.347732282E-1,1.394147243E-1,-2.658161777E-1
2.990717917E-1,8.522404522E-1,3.042496338E-1,-4.141810888E-1
3.091217917E-1,1.624669334E0,4.768518385E-1,-8.415786391E-1
3.191717917E-1,2.285296237E0,6.766120210E-1,-1.021009222E0
3.292207917E-1,2.531049741E0,7.579283720E-1,-1.127680562E0
3.392707917E-1,2.282274396E0,6.466755925E-1,-1.129844032E0
3.493207917E-1,1.748271287E0,4.453857784E-1,-1.081365352E0
3.593697917E-1,1.340625924E0,3.353128208E-1,-9.258101195E-1
3.694197917E-1,1.264078562E0,3.275366087E-1,-8.484222203E-1
3.794696250E-1,1.564940903E0,3.261269912E-1,-8.947117031E-1
3.895186250E-1,1.761196265E0,2.931802699E-1,-8.284101248E-1
3.995686250E-1,1.560082744E0,1.522505321E-1,-5.675471234E-1
4.096186250E-1,1.094021065E0,-1.272719577E-1,-4.033561385E-1
4.196676250E-1,7.318749332E-1,-3.200397474E-1,-4.023153341E-1
4.297176250E-1,4.623545444E-1,-3.220073354E-1,-2.680568308E-1
4.397676250E-1,2.891682029E-1,-2.436919217E-1,-1.749071771E-1
4.498166250E-1,2.540129882E-1,-1.842154328E-1,-1.603253907E-1
4.598666250E-1,3.509645015E-1,-1.364474085E-1,-2.434365445E-1
4.699166250E-1,6.789120233E-1,-3.823406607E-2,-4.077666932E-1
4.799656250E-1,8.279365003E-1,9.778123319E-2,-5.081066680E-1
4.900156250E-1,7.306768388E-1,2.107462236E-1,-4.676275635E-1
5.000656250E-1,4.817754865E-1,1.676966100E-1,-2.692578489E-1
5.101146250E-1,1.605078238E-1,2.817086175E-2,-1.726624310E-1
5.201646250E-1,-4.777993798E-2,-1.162397236E-1,-1.960203034E-1
5.302146250E-1,-4.115235293E-1,-2.214604423E-1,5.590815246E-2
5.402636250E-1,-6.622667545E-1,-2.574504201E-1,2.198132086E-1
5.503136250E-1,-3.129213470E-1,-2.212158094E-1,1.554488128E-1
5.603636250E-1,1.803357321E-1,-1.541843525E-1,-3.837703049E-2
5.704126250E-1,3.164717764E-1,-8.871395588E-2,-4.307059050E-3
5.804626250E-1,9.308416486E-2,-6.183810622E-2,1.414371300E-1
5.905126250E-1,-5.612660444E-1,-1.055223620E-1,3.486671305E-1
6.005616250E-1,-1.231458700E0,-1.807005984E-1,4.123012090E-1
6.106116250E-1,-1.665903899E0,-2.238407707E-1,4.433803296E-1
6.206606250E-1,-1.822844921E0,-2.592240268E-1,3.945870692E-1
6.307106250E-1,-1.540224431E0,-3.037841955E-1,2.602700937E-1
6.407606250E-1,-1.244885076E0,-2.971367884E-1,7.914118677E-2
6.508096250E-1,-1.220743677E0,-2.482917801E-1,5.058806330E-2
6.608596250E-1,-1.091959922E0,-2.103772643E-1,-1.439698514E-1
6.709096250E-1,-1.137027921E0,-2.346467176E-1,-1.773653466E-1
6.809586250E-1,-1.402750543E0,-2.716052136E-1,-2.290523940E-1
6.910086250E-1,-1.697211646E0,-3.391411391E-1,-2.008451334E-1
