"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717781371792839E9,"2024-06-07 19:29:31.793 UTC+02:00"
"PAUSE",6.059340020833406E1,1.717781432386391E9,"2024-06-07 19:30:32.386 UTC+02:00"
"START",6.059340020833406E1,1.717781578222141E9,"2024-06-07 19:32:58.222 UTC+02:00"
"PAUSE",1.211857506666674E2,1.717781638814628E9,"2024-06-07 19:33:58.815 UTC+02:00"
"START",1.211857506666674E2,1.717781760445038E9,"2024-06-07 19:36:00.445 UTC+02:00"
"PAUSE",1.817799395833354E2,1.717781821039356E9,"2024-06-07 19:37:01.039 UTC+02:00"
"START",1.817799395833354E2,1.717781950833221E9,"2024-06-07 19:39:10.833 UTC+02:00"
"PAUSE",2.423967572916699E2,1.717782011450176E9,"2024-06-07 19:40:11.450 UTC+02:00"
"START",2.423967572916699E2,1.717782169762648E9,"2024-06-07 19:42:49.763 UTC+02:00"
"PAUSE",3.030102323333376E2,1.717782230376266E9,"2024-06-07 19:43:50.376 UTC+02:00"
