"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.366416666E-3,4.781057739E-1,7.559130707E0,6.232738953E0
1.241741667E-2,5.182223511E-1,7.564519501E0,6.108197937E0
2.246841667E-2,5.682183838E-1,7.528294830E0,6.193520508E0
3.251941667E-2,6.004014587E-1,7.569608917E0,6.259084167E0
4.256941667E-2,5.965095520E-1,7.616461487E0,6.239325256E0
5.262041667E-2,5.748046875E-1,7.573201447E0,6.219716034E0
6.267141667E-2,5.266049194E-1,7.569309540E0,6.252348175E0
7.272241667E-2,4.927752686E-1,7.562423859E0,6.272556152E0
8.277341667E-2,4.746629333E-1,7.564818878E0,6.221362610E0
9.282341667E-2,4.843927002E-1,7.589816895E0,6.130651245E0
1.028744167E-1,5.351371765E-1,7.551795959E0,6.153403931E0
1.129254167E-1,5.487588501E-1,7.564070435E0,6.193520508E0
1.229764167E-1,5.231620789E-1,7.586224365E0,6.136938171E0
1.330264167E-1,4.601431274E-1,7.574099579E0,6.125412140E0
1.430774167E-1,4.315525818E-1,7.525899811E0,6.165379028E0
1.531284167E-1,4.293072510E-1,7.498806152E0,6.252048798E0
1.631794167E-1,4.486170959E-1,7.494315491E0,6.282884674E0
1.732304167E-1,4.718188477E-1,7.519912262E0,6.256838837E0
1.832804167E-1,4.659809875E-1,7.535479889E0,6.213279419E0
1.933314167E-1,4.796026611E-1,7.545359344E0,6.214177551E0
2.033824167E-1,4.932243347E-1,7.563920746E0,6.243366852E0
2.134334167E-1,5.074447632E-1,7.590116272E0,6.286477203E0
2.234844167E-1,5.245092773E-1,7.577991486E0,6.323899384E0
2.335344167E-1,5.113366699E-1,7.561226349E0,6.352938995E0
2.435854167E-1,5.102888489E-1,7.577243042E0,6.304140472E0
2.536364167E-1,5.399272156E-1,7.594008179E0,6.196663971E0
2.636874167E-1,6.024971008E-1,7.594756622E0,6.156098328E0
2.737384167E-1,6.343807983E-1,7.569159851E0,6.226601715E0
2.837884167E-1,6.135740662E-1,7.564369812E0,6.291267242E0
2.938394167E-1,6.026467896E-1,7.580835571E0,6.311475220E0
3.038904167E-1,6.198609924E-1,7.576344910E0,6.256988525E0
3.139414167E-1,6.216572571E-1,7.573051758E0,6.217620392E0
3.239914167E-1,6.030958557E-1,7.607929230E0,6.153852997E0
3.340424167E-1,6.020480347E-1,7.616910553E0,6.122568054E0
3.440934167E-1,5.849835205E-1,7.604785767E0,6.174210663E0
3.541444167E-1,5.204676819E-1,7.590715027E0,6.241121521E0
3.641954167E-1,5.134323120E-1,7.577841797E0,6.272705841E0
3.742454167E-1,5.764512634E-1,7.589367828E0,6.271059265E0
3.842964167E-1,6.126759338E-1,7.628885651E0,6.236780548E0
3.943474167E-1,6.451583862E-1,7.629035339E0,6.224805450E0
4.043984167E-1,6.038442993E-1,7.603737946E0,6.197412415E0
4.144494167E-1,5.044509888E-1,7.600295105E0,6.167025604E0
4.244994167E-1,4.903802490E-1,7.576644287E0,6.142326965E0
4.345504167E-1,4.872367859E-1,7.555238800E0,6.118227081E0
4.446014167E-1,4.718188477E-1,7.564519501E0,6.031257935E0
