"Time (s)","X (hPa)"
-5.457605000E-1,1.011883698E3
4.634215000E-1,1.011886978E3
1.472647500E0,1.011890259E3
2.481906500E0,1.011901932E3
3.491147500E0,1.011901932E3
3.837907500E0,1.011890106E3
4.914409500E0,1.011887512E3
5.990922500E0,1.011887512E3
7.067421500E0,1.011870270E3
8.143930500E0,1.011861191E3
9.220378500E0,1.011861038E3
1.029680750E1,1.011852188E3
1.137321650E1,1.011848984E3
1.244965350E1,1.011848984E3
1.352612950E1,1.011851349E3
1.460260250E1,1.011852951E3
1.567907250E1,1.011852417E3
1.675553950E1,1.011852417E3
1.783197850E1,1.011851730E3
1.890840650E1,1.011847382E3
1.998480150E1,1.011847382E3
2.106122850E1,1.011850281E3
2.213767350E1,1.011850281E3
2.321408450E1,1.011852112E3
2.429050350E1,1.011853790E3
2.536688250E1,1.011864090E3
2.644328150E1,1.011864090E3
2.751967950E1,1.011864319E3
2.859603450E1,1.011868820E3
2.967240650E1,1.011873245E3
3.074878050E1,1.011873245E3
3.182516450E1,1.011871948E3
3.290162750E1,1.011868210E3
3.397799550E1,1.011866531E3
3.505441450E1,1.011862640E3
3.613078450E1,1.011862640E3
3.720714450E1,1.011858673E3
3.828348650E1,1.011856842E3
3.935986650E1,1.011846619E3
4.043627850E1,1.011838684E3
4.151260450E1,1.011831284E3
4.258899450E1,1.011827316E3
4.366538950E1,1.011822510E3
4.474180950E1,1.011822510E3
4.581825950E1,1.011826706E3
4.689463950E1,1.011830521E3
4.797098150E1,1.011831131E3
4.904729550E1,1.011843719E3
5.012362850E1,1.011856537E3
5.119992850E1,1.011860428E3
5.227622150E1,1.011863098E3
5.335250450E1,1.011865845E3
5.442874850E1,1.011865845E3
5.550503750E1,1.011855698E3
5.658135950E1,1.011855698E3
6.005181763E1,1.011857147E3
6.106082363E1,1.011863251E3
6.206984662E1,1.011867294E3
6.307882762E1,1.011869431E3
6.408782562E1,1.011867294E3
6.443497162E1,1.011853790E3
6.551127862E1,1.011849365E3
6.658757263E1,1.011849365E3
6.766386162E1,1.011837387E3
6.874029262E1,1.011836166E3
6.981660663E1,1.011835480E3
7.089286762E1,1.011835480E3
7.196912262E1,1.011835480E3
7.304540562E1,1.011838226E3
7.412166763E1,1.011845245E3
7.519794862E1,1.011845245E3
7.627422363E1,1.011847763E3
7.735043962E1,1.011844635E3
7.842672963E1,1.011842651E3
7.950297062E1,1.011842651E3
8.057921562E1,1.011831360E3
8.165547763E1,1.011828995E3
8.273168963E1,1.011827164E3
8.380787462E1,1.011822433E3
8.488413363E1,1.011819305E3
8.596034262E1,1.011819305E3
8.703654162E1,1.011819305E3
8.811274662E1,1.011818924E3
8.918902262E1,1.011818924E3
9.026527762E1,1.011818924E3
9.134151463E1,1.011813354E3
9.241776963E1,1.011806717E3
9.349399762E1,1.011806107E3
9.457020563E1,1.011806107E3
9.564641962E1,1.011802826E3
9.672268962E1,1.011802826E3
9.779894362E1,1.011802826E3
9.887520263E1,1.011800995E3
9.995143162E1,1.011799698E3
1.010276986E2,1.011799545E3
1.021039226E2,1.011799698E3
1.031801466E2,1.011801682E3
1.042563436E2,1.011809464E3
1.053325536E2,1.011809464E3
1.064087876E2,1.011804352E3
1.074850476E2,1.011804352E3
1.085612736E2,1.011804352E3
1.096374686E2,1.011802902E3
1.107136706E2,1.011800842E3
1.117898516E2,1.011800842E3
1.128660086E2,1.011800842E3
1.139421816E2,1.011799545E3
1.150183296E2,1.011793671E3
1.160944836E2,1.011793671E3
1.171706836E2,1.011791306E3
1.206362735E2,1.011800690E3
1.216451635E2,1.011792831E3
1.226540925E2,1.011784973E3
1.236630405E2,1.011781921E3
1.246719945E2,1.011780701E3
1.250191855E2,1.011780701E3
1.260954075E2,1.011784134E3
1.271715945E2,1.011785202E3
1.282477705E2,1.011789398E3
1.293239635E2,1.011793594E3
1.304001255E2,1.011793594E3
1.314762995E2,1.011781387E3
1.325525315E2,1.011781387E3
1.336287285E2,1.011788788E3
1.347049385E2,1.011788788E3
1.357811415E2,1.011788788E3
1.368573495E2,1.011794510E3
1.379335215E2,1.011794510E3
1.390096725E2,1.011791687E3
1.400857805E2,1.011791687E3
1.411619065E2,1.011789474E3
1.422380585E2,1.011790466E3
1.433142185E2,1.011790466E3
1.443903685E2,1.011799774E3
1.454665035E2,1.011802826E3
1.465426465E2,1.011802826E3
1.476187825E2,1.011802902E3
1.486949465E2,1.011803131E3
1.497710425E2,1.011804810E3
1.508471655E2,1.011804810E3
1.519232895E2,1.011804810E3
1.529993835E2,1.011803513E3
1.540754825E2,1.011794052E3
1.551516205E2,1.011780777E3
1.562277695E2,1.011780777E3
1.573039115E2,1.011782684E3
1.583800295E2,1.011789017E3
1.594561595E2,1.011791763E3
1.605323025E2,1.011798248E3
1.616084775E2,1.011798248E3
1.626846485E2,1.011789627E3
1.637607995E2,1.011771088E3
1.648369565E2,1.011763458E3
1.659130745E2,1.011763458E3
1.669892215E2,1.011761398E3
1.680653975E2,1.011764145E3
1.691415445E2,1.011778107E3
1.702177535E2,1.011786957E3
1.712939615E2,1.011786957E3
1.723701595E2,1.011778641E3
1.734463465E2,1.011778641E3
1.745225185E2,1.011778641E3
1.755986365E2,1.011777649E3
1.766747935E2,1.011777649E3
1.777509845E2,1.011794205E3
1.812404023E2,1.011812210E3
1.822492933E2,1.011806030E3
1.832581543E2,1.011804962E3
1.842670283E2,1.011799774E3
1.852758303E2,1.011793289E3
1.856230533E2,1.011782837E3
1.866991263E2,1.011782837E3
1.877752413E2,1.011782837E3
1.888513563E2,1.011785202E3
1.899275033E2,1.011786423E3
1.910036653E2,1.011796722E3
1.920798263E2,1.011796722E3
1.931559903E2,1.011788177E3
1.942321413E2,1.011788177E3
1.953082753E2,1.011788177E3
1.963844023E2,1.011786194E3
1.974605143E2,1.011771088E3
1.985366203E2,1.011771088E3
1.996127273E2,1.011770706E3
2.006888533E2,1.011766663E3
2.017649603E2,1.011766663E3
2.028410633E2,1.011776810E3
2.039171893E2,1.011783524E3
2.049933413E2,1.011783524E3
2.060694763E2,1.011783524E3
2.071456233E2,1.011791458E3
2.082217583E2,1.011791458E3
2.092978463E2,1.011772995E3
