"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.121041667E-2,-1.677812958E1,-3.453730011E1,-3.192612457E1
3.126141667E-2,-1.684877777E1,-3.446967316E1,-3.188814545E1
4.131241667E-2,-1.690139008E1,-3.441183090E1,-3.188372040E1
5.136341667E-2,-1.682357025E1,-3.426452637E1,-3.191429520E1
6.141441667E-2,-1.697460175E1,-3.427601624E1,-3.178981209E1
7.146441667E-2,-1.681710052E1,-3.426898193E1,-3.157733536E1
8.151541667E-2,-1.695952606E1,-3.437813568E1,-3.149631882E1
9.156641667E-2,-1.682193756E1,-3.435194778E1,-3.156705093E1
1.016174167E-1,-1.686814117E1,-3.430489349E1,-3.162524796E1
1.116674167E-1,-1.680295563E1,-3.431051636E1,-3.167546463E1
1.217184167E-1,-1.694847870E1,-3.433332443E1,-3.163551521E1
1.317694167E-1,-1.695172882E1,-3.433829880E1,-3.170848083E1
1.418204167E-1,-1.696495819E1,-3.431901932E1,-3.153594780E1
1.518714167E-1,-1.688468170E1,-3.416312027E1,-3.153298569E1
1.619214167E-1,-1.683338165E1,-3.409811783E1,-3.151990509E1
1.719724167E-1,-1.687169647E1,-3.400213623E1,-3.161121750E1
1.820234167E-1,-1.688019562E1,-3.400744629E1,-3.166456223E1
1.920744167E-1,-1.681879425E1,-3.414312744E1,-3.163439941E1
2.021254167E-1,-1.679625702E1,-3.420039749E1,-3.163110733E1
2.121754167E-1,-1.678142548E1,-3.421603012E1,-3.175379562E1
2.222264167E-1,-1.677526093E1,-3.412537003E1,-3.185928535E1
2.322774167E-1,-1.680226898E1,-3.418590164E1,-3.185231400E1
2.423284167E-1,-1.678275299E1,-3.424188232E1,-3.181686211E1
2.523794167E-1,-1.680879974E1,-3.421460724E1,-3.182544899E1
2.624294167E-1,-1.683977509E1,-3.420313263E1,-3.169638824E1
2.724804167E-1,-1.680368805E1,-3.413784409E1,-3.144614983E1
2.825314167E-1,-1.701548004E1,-3.417027283E1,-3.136739731E1
2.925824167E-1,-1.713239288E1,-3.414449310E1,-3.139859200E1
3.026324167E-1,-1.707852936E1,-3.422605896E1,-3.133299065E1
3.126834167E-1,-1.712567902E1,-3.421949387E1,-3.149552536E1
3.227344167E-1,-1.710219574E1,-3.424408340E1,-3.153583527E1
3.327854167E-1,-1.715238190E1,-3.420362091E1,-3.153980827E1
3.428364167E-1,-1.717870331E1,-3.424351883E1,-3.142352676E1
3.528864167E-1,-1.715789032E1,-3.414349747E1,-3.133054733E1
3.629374167E-1,-1.709918976E1,-3.423421097E1,-3.147375107E1
3.729884167E-1,-1.713634491E1,-3.423856735E1,-3.153152657E1
3.830394167E-1,-1.715316010E1,-3.428217316E1,-3.147965813E1
3.930904167E-1,-1.709786224E1,-3.429803467E1,-3.153602409E1
4.031404167E-1,-1.726161957E1,-3.438583755E1,-3.151297569E1
4.131914167E-1,-1.718819427E1,-3.428137589E1,-3.139970207E1
4.232424167E-1,-1.708390045E1,-3.429221725E1,-3.139206696E1
4.332934167E-1,-1.697426605E1,-3.431576157E1,-3.134904671E1
4.433444167E-1,-1.685224152E1,-3.432873917E1,-3.142424011E1
4.533944167E-1,-1.681984711E1,-3.433971405E1,-3.151484871E1
4.634454167E-1,-1.696549225E1,-3.424425507E1,-3.156603813E1
4.734964167E-1,-1.698992157E1,-3.418673706E1,-3.167926598E1
4.835474167E-1,-1.706940460E1,-3.414084244E1,-3.162005997E1
4.935974167E-1,-1.708902740E1,-3.419525146E1,-3.142879295E1
5.036484167E-1,-1.703412628E1,-3.419704819E1,-3.147567749E1
5.136994167E-1,-1.694342804E1,-3.412861252E1,-3.162985039E1
5.237504167E-1,-1.694510651E1,-3.417406464E1,-3.164652634E1
5.338014167E-1,-1.709893036E1,-3.416000366E1,-3.166922760E1
5.438514167E-1,-1.712902069E1,-3.417037964E1,-3.167598534E1
5.539024167E-1,-1.717107391E1,-3.412713623E1,-3.169279671E1
5.639534167E-1,-1.705088043E1,-3.415122223E1,-3.171457863E1
5.740044167E-1,-1.694355011E1,-3.415668106E1,-3.182039642E1
5.840554167E-1,-1.697975922E1,-3.423936081E1,-3.184624481E1
5.941054167E-1,-1.711307526E1,-3.421420670E1,-3.180963326E1
6.041564167E-1,-1.708274078E1,-3.429637527E1,-3.172662163E1
6.142074167E-1,-1.715259552E1,-3.434899139E1,-3.164868927E1
6.242584167E-1,-1.712722015E1,-3.425817108E1,-3.152004433E1
6.343084167E-1,-1.710257721E1,-3.417398834E1,-3.144417572E1
6.443594167E-1,-1.714447784E1,-3.415297318E1,-3.133965492E1
6.544104167E-1,-1.720148468E1,-3.425471115E1,-3.149664688E1
6.644614167E-1,-1.724730682E1,-3.439388657E1,-3.164333916E1
6.745124167E-1,-1.732285309E1,-3.442764664E1,-3.153339958E1
6.845624167E-1,-1.726560211E1,-3.436536407E1,-3.148944855E1
6.946134167E-1,-1.730097198E1,-3.436985016E1,-3.147264862E1
7.046644167E-1,-1.731867218E1,-3.438945389E1,-3.146617508E1
7.147154167E-1,-1.716162872E1,-3.444944000E1,-3.160532379E1
7.247664167E-1,-1.710955048E1,-3.440590668E1,-3.156813431E1
7.348164167E-1,-1.715889740E1,-3.443707275E1,-3.158494759E1
7.448674167E-1,-1.710211945E1,-3.429033279E1,-3.169133949E1
7.549184167E-1,-1.699590302E1,-3.430223465E1,-3.170203590E1
7.649694167E-1,-1.706352997E1,-3.429221725E1,-3.162045860E1
7.750194167E-1,-1.706349945E1,-3.425048447E1,-3.141569901E1
7.850704167E-1,-1.708129120E1,-3.426516342E1,-3.150236320E1
7.951214167E-1,-1.714893341E1,-3.441883469E1,-3.158760262E1
8.051724167E-1,-1.701306915E1,-3.444834900E1,-3.156526184E1
8.152234167E-1,-1.696041107E1,-3.431119537E1,-3.150455284E1
8.252734167E-1,-1.688378143E1,-3.432534409E1,-3.152895164E1
8.353244167E-1,-1.703406525E1,-3.431758118E1,-3.157300949E1
8.453754167E-1,-1.715203094E1,-3.424531174E1,-3.174001122E1
8.554264167E-1,-1.727193451E1,-3.430086136E1,-3.184553719E1
8.654774167E-1,-1.712007904E1,-3.427423859E1,-3.179883194E1
8.755274167E-1,-1.723236847E1,-3.431663513E1,-3.168385696E1
8.855784167E-1,-1.728141022E1,-3.424394989E1,-3.157546425E1
8.956294167E-1,-1.725882721E1,-3.428004837E1,-3.168885803E1
9.056804167E-1,-1.711702728E1,-3.430334473E1,-3.171244240E1
9.157304167E-1,-1.709661102E1,-3.429183197E1,-3.152504539E1
9.257814167E-1,-1.713617706E1,-3.426945496E1,-3.168285942E1
9.358324167E-1,-1.697208405E1,-3.425471115E1,-3.163771820E1
9.458834167E-1,-1.712339020E1,-3.430614471E1,-3.155639458E1
9.559344167E-1,-1.711334991E1,-3.433485413E1,-3.145705414E1
