"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717783442205676E9,"2024-06-07 20:04:02.206 UTC+02:00"
"PAUSE",6.061645625000165E1,1.717783502822166E9,"2024-06-07 20:05:02.822 UTC+02:00"
"START",6.061645625000165E1,1.717783524063046E9,"2024-06-07 20:05:24.063 UTC+02:00"
"PAUSE",1.212095520416660E2,1.717783584656175E9,"2024-06-07 20:06:24.656 UTC+02:00"
"START",1.212095520416660E2,1.717783592849761E9,"2024-06-07 20:06:32.850 UTC+02:00"
"PAUSE",1.818006118333324E2,1.717783653440878E9,"2024-06-07 20:07:33.441 UTC+02:00"
"START",1.818006118333324E2,1.717783660870261E9,"2024-06-07 20:07:40.870 UTC+02:00"
"PAUSE",2.423916964999989E2,1.717783721461418E9,"2024-06-07 20:08:41.461 UTC+02:00"
"START",2.423916964999989E2,1.717783729904955E9,"2024-06-07 20:08:49.905 UTC+02:00"
"PAUSE",3.030059439166653E2,1.717783790519237E9,"2024-06-07 20:09:50.519 UTC+02:00"
