"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.301091667E-2,-2.854853058E1,-1.479144287E1,-3.833635330E1
2.306091666E-2,-2.868050385E1,-1.497564697E1,-3.802802658E1
3.310991667E-2,-2.878859711E1,-1.515453339E1,-3.779222870E1
4.315991667E-2,-2.932955170E1,-1.577910995E1,-3.710956192E1
5.320891667E-2,-2.968952179E1,-1.619028473E1,-3.660313797E1
6.325891667E-2,-2.985208893E1,-1.649088287E1,-3.640565491E1
7.330891666E-2,-2.992977142E1,-1.667386246E1,-3.635557556E1
8.335791666E-2,-2.995230865E1,-1.680343246E1,-3.628061676E1
9.340791667E-2,-3.009368134E1,-1.675174713E1,-3.631199646E1
1.034579167E-1,-3.013687897E1,-1.692517471E1,-3.603377151E1
1.135069167E-1,-3.017899323E1,-1.730546188E1,-3.580928421E1
1.235569167E-1,-3.025424957E1,-1.750402832E1,-3.558280945E1
1.336059167E-1,-3.037180328E1,-1.769515610E1,-3.544322968E1
1.436559167E-1,-3.040926361E1,-1.775966263E1,-3.517750931E1
1.537059167E-1,-3.043337250E1,-1.788267136E1,-3.499845505E1
1.637549167E-1,-3.060611725E1,-1.810945511E1,-3.496091080E1
1.738049167E-1,-3.064406586E1,-1.825300980E1,-3.485408783E1
1.838549167E-1,-3.066690826E1,-1.835164261E1,-3.479141617E1
1.939039167E-1,-3.055742645E1,-1.833167267E1,-3.503886032E1
2.039539167E-1,-3.029222870E1,-1.848416519E1,-3.520621872E1
2.140029167E-1,-3.007517242E1,-1.847405243E1,-3.512592697E1
2.240529167E-1,-2.995789337E1,-1.854698944E1,-3.521151352E1
2.341029167E-1,-2.961632538E1,-1.858605194E1,-3.527854156E1
2.441519167E-1,-2.937091827E1,-1.876361847E1,-3.561270905E1
2.542019167E-1,-2.938965607E1,-1.869993973E1,-3.581144333E1
2.642519167E-1,-2.919014740E1,-1.870812225E1,-3.585881424E1
2.743009167E-1,-2.907732391E1,-1.867891693E1,-3.579975891E1
2.843509167E-1,-2.912354279E1,-1.872766113E1,-3.583478165E1
2.943999167E-1,-2.921866608E1,-1.883861160E1,-3.581650925E1
3.044499167E-1,-2.920818329E1,-1.883658981E1,-3.584566116E1
3.144999167E-1,-2.912458038E1,-1.886638260E1,-3.608794022E1
3.245489167E-1,-2.898329926E1,-1.898824692E1,-3.609423828E1
3.345989167E-1,-2.868944550E1,-1.904745865E1,-3.619389343E1
3.446479167E-1,-2.840651703E1,-1.900955582E1,-3.623088074E1
3.546979167E-1,-2.814191437E1,-1.892905807E1,-3.653088760E1
3.647479167E-1,-2.782251740E1,-1.878959656E1,-3.666552353E1
3.747969167E-1,-2.754795074E1,-1.864999008E1,-3.666545486E1
3.848469167E-1,-2.718260956E1,-1.857021713E1,-3.673431396E1
