"Time (s)","X (hPa)"
-5.360917917E-1,1.011459885E3
4.724112083E-1,1.011456451E3
1.480979208E0,1.011453018E3
2.489581208E0,1.011446533E3
3.498175208E0,1.011436310E3
3.845909208E0,1.011426010E3
4.921735208E0,1.011417542E3
5.997612208E0,1.011416626E3
7.073468208E0,1.011402664E3
8.149329208E0,1.011402664E3
9.225201208E0,1.011409378E3
1.030105021E1,1.011415710E3
1.137687921E1,1.011423340E3
1.245274521E1,1.011446533E3
1.352861521E1,1.011446533E3
1.460446821E1,1.011435394E3
1.568031921E1,1.011431274E3
1.675618921E1,1.011431274E3
1.783204521E1,1.011431274E3
1.890790221E1,1.011431808E3
1.998377921E1,1.011440201E3
2.105961821E1,1.011450958E3
2.213544321E1,1.011450958E3
2.321127021E1,1.011453018E3
2.428710721E1,1.011456604E3
2.536294821E1,1.011456604E3
2.643874721E1,1.011455536E3
2.751453121E1,1.011438065E3
2.859033621E1,1.011429825E3
2.966617921E1,1.011417236E3
3.074207021E1,1.011402054E3
3.181787621E1,1.011402054E3
3.289368721E1,1.011402969E3
3.396949321E1,1.011412201E3
3.504528521E1,1.011413498E3
3.612110921E1,1.011424789E3
3.719694421E1,1.011433792E3
3.827277821E1,1.011433792E3
3.934863621E1,1.011433792E3
4.042445721E1,1.011439285E3
4.150025921E1,1.011439285E3
4.257604221E1,1.011433487E3
4.365182721E1,1.011432800E3
4.472759621E1,1.011431274E3
4.580338421E1,1.011431274E3
4.687915721E1,1.011416626E3
4.795495621E1,1.011414490E3
4.903076921E1,1.011409607E3
5.010663821E1,1.011396408E3
5.118249121E1,1.011392746E3
5.225829121E1,1.011392746E3
5.333412521E1,1.011397476E3
5.440994121E1,1.011399765E3
5.548572021E1,1.011404572E3
5.656155921E1,1.011418304E3
6.006480192E1,1.011468887E3
6.107343892E1,1.011467285E3
6.208204792E1,1.011465607E3
6.309065492E1,1.011460495E3
6.409932192E1,1.011460190E3
6.444683692E1,1.011453018E3
6.552270292E1,1.011449585E3
6.659852992E1,1.011449585E3
6.767434892E1,1.011446457E3
6.875014692E1,1.011446457E3
6.982596592E1,1.011447601E3
7.090174992E1,1.011447601E3
7.197754292E1,1.011445389E3
7.305332092E1,1.011442871E3
7.412910592E1,1.011442032E3
7.520490492E1,1.011425858E3
7.628065092E1,1.011425629E3
7.735643492E1,1.011422501E3
7.843225692E1,1.011421432E3
7.950808092E1,1.011415787E3
8.058388492E1,1.011415787E3
8.165970092E1,1.011415787E3
8.273549492E1,1.011412430E3
8.381132892E1,1.011412430E3
8.488716992E1,1.011414337E3
8.596299192E1,1.011414337E3
8.703883792E1,1.011411057E3
8.811471792E1,1.011411057E3
8.919059492E1,1.011418457E3
9.026643792E1,1.011418457E3
9.134235692E1,1.011411514E3
9.241821992E1,1.011411514E3
9.349407892E1,1.011417236E3
9.456995192E1,1.011417236E3
9.564582392E1,1.011417236E3
9.672167292E1,1.011426544E3
9.779747692E1,1.011432114E3
9.887327392E1,1.011432114E3
9.994911292E1,1.011432114E3
1.010249589E2,1.011441422E3
1.021007759E2,1.011441422E3
1.031766479E2,1.011437225E3
1.042525179E2,1.011437225E3
1.053283489E2,1.011442108E3
1.064041749E2,1.011442108E3
1.074800199E2,1.011439362E3
1.085558379E2,1.011439362E3
1.096316969E2,1.011444321E3
1.107076039E2,1.011444321E3
1.117835239E2,1.011444321E3
1.128594279E2,1.011450272E3
1.139352779E2,1.011450272E3
1.150111319E2,1.011439743E3
1.160869619E2,1.011439743E3
1.171627829E2,1.011444168E3
1.206377850E2,1.011455078E3
1.216464160E2,1.011454926E3
1.226550670E2,1.011454773E3
1.236637060E2,1.011451950E3
1.246723640E2,1.011449280E3
1.250199560E2,1.011440506E3
1.260958550E2,1.011438293E3
1.271717620E2,1.011435547E3
1.282475960E2,1.011418915E3
1.293234190E2,1.011416855E3
1.303993590E2,1.011415787E3
1.314751840E2,1.011413422E3
1.325510380E2,1.011413422E3
1.336269020E2,1.011435394E3
1.347027010E2,1.011450043E3
1.357784900E2,1.011453018E3
1.368542550E2,1.011464615E3
1.379300580E2,1.011473465E3
1.390058700E2,1.011473465E3
1.400816730E2,1.011457596E3
1.411574880E2,1.011455307E3
1.422332800E2,1.011445465E3
1.433090630E2,1.011431351E3
1.443848310E2,1.011423264E3
1.454606770E2,1.011420822E3
1.465365320E2,1.011420822E3
1.476123970E2,1.011417389E3
