"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.631791668E-3,5.353492737E0,3.034446716E0,-4.775379944E1
1.768179167E-2,5.370948792E0,2.976837158E0,-4.785142517E1
2.773179167E-2,5.405860901E0,2.998428345E0,-4.788604355E1
3.778079167E-2,5.368965149E0,2.974571228E0,-4.776362228E1
4.783079167E-2,5.347679138E0,2.740585327E0,-4.773875809E1
5.787979167E-2,5.269332886E0,2.586402893E0,-4.786997604E1
6.792979167E-2,5.287773132E0,2.654472351E0,-4.786273193E1
7.797979167E-2,5.401580811E0,2.737846375E0,-4.787400818E1
8.802979167E-2,5.279968262E0,2.732856750E0,-4.774345398E1
9.807879167E-2,5.241287231E0,2.801071167E0,-4.770061874E1
1.081287917E-1,5.278907776E0,2.843681335E0,-4.763139343E1
1.181777917E-1,5.423423767E0,2.887298584E0,-4.769627762E1
1.282277917E-1,5.546554565E0,2.886016846E0,-4.772291946E1
1.382777917E-1,5.593933105E0,2.805068970E0,-4.776839447E1
1.483267917E-1,5.609878540E0,2.962425232E0,-4.777371597E1
1.583767917E-1,5.450424194E0,3.015357971E0,-4.774346542E1
1.684267917E-1,5.395835876E0,2.971923828E0,-4.786092377E1
1.784757917E-1,5.548957825E0,2.965934753E0,-4.798121262E1
1.885257917E-1,5.473258972E0,3.003837585E0,-4.802195358E1
1.985757917E-1,5.468269348E0,2.988777161E0,-4.802830887E1
2.086247917E-1,5.340690613E0,2.959739685E0,-4.805331421E1
2.186747917E-1,5.296981812E0,2.877586365E0,-4.795962143E1
2.287247917E-1,5.245384216E0,2.913612366E0,-4.801610565E1
2.387737917E-1,5.215759277E0,2.979614258E0,-4.800202942E1
2.488237917E-1,5.248001099E0,2.908172607E0,-4.805699158E1
2.588737917E-1,5.226043701E0,2.922119141E0,-4.805225372E1
2.689227917E-1,5.225502014E0,2.882263184E0,-4.812396622E1
2.789727917E-1,5.245841980E0,2.773918152E0,-4.816179657E1
2.890227917E-1,5.288536072E0,2.707229614E0,-4.806509781E1
2.990717917E-1,5.412490845E0,2.675315857E0,-4.796400070E1
3.091217917E-1,5.369049072E0,2.827743530E0,-4.792726135E1
3.191717917E-1,5.515228271E0,2.910011292E0,-4.789037704E1
3.292207917E-1,5.693565369E0,2.962188721E0,-4.795363617E1
3.392707917E-1,5.981384277E0,3.112434387E0,-4.794284821E1
3.493207917E-1,6.730316162E0,3.073760986E0,-4.781351089E1
3.593697917E-1,7.571739197E0,3.348411560E0,-4.751434326E1
3.694197917E-1,8.571090698E0,3.684959412E0,-4.738798141E1
3.794696250E-1,9.594688416E0,3.897758484E0,-4.715221024E1
3.895186250E-1,1.053234863E1,4.117713928E0,-4.684733582E1
3.995686250E-1,1.167202759E1,4.494422913E0,-4.666402435E1
4.096186250E-1,1.272482300E1,4.815185547E0,-4.658067322E1
4.196676250E-1,1.396530151E1,5.184875488E0,-4.616703415E1
4.297176250E-1,1.513206482E1,5.567970276E0,-4.572095490E1
4.397676250E-1,1.622012329E1,5.704216003E0,-4.520582581E1
4.498166250E-1,1.711415863E1,6.105476379E0,-4.478504562E1
4.598666250E-1,1.795757294E1,6.423744202E0,-4.418139267E1
4.699166250E-1,1.877694702E1,6.651268005E0,-4.378991699E1
4.799656250E-1,1.948630524E1,6.936820984E0,-4.332973099E1
4.900156250E-1,2.033860779E1,7.238014221E0,-4.311013031E1
5.000656250E-1,2.129665375E1,7.428436279E0,-4.271640778E1
5.101146250E-1,2.233435059E1,7.857551575E0,-4.237207794E1
5.201646250E-1,2.322753143E1,8.256805420E0,-4.180760574E1
5.302146250E-1,2.421500397E1,8.512351990E0,-4.117807770E1
5.402636250E-1,2.505366516E1,8.798141479E0,-4.045787811E1
5.503136250E-1,2.603715515E1,9.268867493E0,-3.996417618E1
5.603636250E-1,2.686618805E1,9.681549072E0,-3.939086533E1
5.704126250E-1,2.781045532E1,9.920951843E0,-3.865935516E1
5.804626250E-1,2.880294037E1,1.028017426E1,-3.787012482E1
5.905126250E-1,2.974259949E1,1.042111969E1,-3.703381348E1
6.005616250E-1,3.093918610E1,1.065926361E1,-3.606233215E1
6.106116250E-1,3.204238892E1,1.099414062E1,-3.502984238E1
6.206606250E-1,3.311593628E1,1.130426788E1,-3.396419525E1
6.307106250E-1,3.401242828E1,1.158113861E1,-3.292891693E1
6.407606250E-1,3.495522308E1,1.176161194E1,-3.215646362E1
6.508096250E-1,3.556107330E1,1.185826874E1,-3.130414200E1
6.608596250E-1,3.632588196E1,1.200839996E1,-3.036534119E1
6.709096250E-1,3.691455078E1,1.198230743E1,-2.958781815E1
6.809586250E-1,3.752117920E1,1.214501953E1,-2.882292175E1
6.910086250E-1,3.821204376E1,1.226289368E1,-2.820230484E1
7.010586250E-1,3.877951050E1,1.223918915E1,-2.750373268E1
7.111076250E-1,3.926785278E1,1.233343506E1,-2.657173920E1
7.211576250E-1,3.959494781E1,1.242396545E1,-2.571054840E1
7.312076250E-1,3.986604309E1,1.241459656E1,-2.520958710E1
7.412566250E-1,4.013598633E1,1.250401306E1,-2.468046188E1
7.513066250E-1,4.042591095E1,1.263055420E1,-2.420593643E1
7.613566250E-1,4.067465210E1,1.271385956E1,-2.379449844E1
7.714056250E-1,4.095256042E1,1.269665527E1,-2.342650604E1
7.814556250E-1,4.131636047E1,1.268424988E1,-2.306098938E1
7.915056250E-1,4.159121704E1,1.263484955E1,-2.246625328E1
8.015546250E-1,4.182470703E1,1.263887787E1,-2.202449036E1
8.116046250E-1,4.209950256E1,1.261307526E1,-2.143928528E1
8.216546250E-1,4.224207306E1,1.245738983E1,-2.086270142E1
8.317036250E-1,4.247685242E1,1.235845947E1,-2.056902885E1
8.417536250E-1,4.266093445E1,1.232826996E1,-2.023742485E1
8.518036250E-1,4.282791138E1,1.223782349E1,-2.004935455E1
8.618526250E-1,4.285440063E1,1.207630157E1,-2.024556351E1
8.719026250E-1,4.275662994E1,1.203410339E1,-2.028553581E1
8.819526250E-1,4.279029846E1,1.189279175E1,-2.029491425E1
8.920016250E-1,4.289127350E1,1.186001587E1,-2.016344833E1
9.020516250E-1,4.289712524E1,1.183420563E1,-2.009536743E1
9.121016250E-1,4.289878082E1,1.184839630E1,-1.999990654E1
9.221506250E-1,4.285754395E1,1.191120911E1,-1.999256134E1
9.322006250E-1,4.284618378E1,1.197249603E1,-1.989115715E1
9.422506250E-1,4.288427734E1,1.201730347E1,-1.974003792E1
9.522996250E-1,4.292414856E1,1.200153351E1,-1.963414001E1
9.623496250E-1,4.279247284E1,1.205755615E1,-1.971519089E1
9.723996250E-1,4.274807739E1,1.196829987E1,-1.981121063E1
9.824486250E-1,4.282177734E1,1.202183533E1,-1.990411186E1
9.924986250E-1,4.274617767E1,1.196368408E1,-1.996873665E1
1.002548625E0,4.274632263E1,1.189105225E1,-1.986366844E1
1.012597625E0,4.279425812E1,1.181600952E1,-1.987712288E1
1.022647625E0,4.285639191E1,1.168252563E1,-1.984907913E1
1.032697625E0,4.301112366E1,1.178503418E1,-1.996518898E1
1.042746625E0,4.301822662E1,1.184706116E1,-2.008300972E1
1.052796625E0,4.304644775E1,1.188389587E1,-2.016482353E1
1.062846625E0,4.297624969E1,1.190319824E1,-2.015304565E1
1.072895625E0,4.285234070E1,1.188084412E1,-2.015195465E1
1.082945625E0,4.276011658E1,1.178279114E1,-2.022426796E1
1.092995625E0,4.283739471E1,1.180200958E1,-2.029281425E1
1.103044625E0,4.291353607E1,1.172197723E1,-2.021202660E1
1.113094625E0,4.298277283E1,1.173695374E1,-2.003493309E1
1.123144625E0,4.302120972E1,1.185198212E1,-2.005469704E1
1.133193625E0,4.304507446E1,1.165070343E1,-1.992042351E1
