"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.121041667E-2,6.063705310E-3,-2.103454620E-2,9.617028758E-3
3.126141667E-2,1.335795503E-3,-7.229519077E-3,2.472566208E-3
4.131241667E-2,-2.297947183E-3,1.237718575E-2,-3.158804495E-3
5.136341667E-2,-1.143999398E-3,6.265231408E-3,-6.069373339E-3
6.141441667E-2,1.074596308E-2,-8.886046708E-3,-2.471883316E-3
7.146441667E-2,2.479786612E-2,-3.322121128E-2,-3.205318004E-3
8.151541667E-2,2.714360878E-2,-3.041375987E-2,-1.285289880E-3
9.156641667E-2,1.493940502E-2,-1.694349013E-2,5.738630425E-4
1.016174167E-1,1.388275996E-2,-8.819190785E-3,-2.744504018E-3
1.116674167E-1,1.178552024E-2,-1.119819283E-2,-8.987220004E-3
1.217184167E-1,4.809412174E-3,-2.890010830E-3,-1.153618097E-2
1.317694167E-1,-7.592129987E-3,-3.243145999E-3,-8.622150868E-3
1.418204167E-1,-5.671987776E-3,-1.529367175E-2,-1.885652542E-3
1.518714167E-1,-7.246336900E-4,-2.796099707E-2,3.902994329E-3
1.619214167E-1,1.072409749E-2,-3.652932867E-2,7.665049285E-3
1.719724167E-1,1.070492342E-2,-3.447230533E-2,7.947077975E-3
1.820234167E-1,7.905028760E-3,-3.812887520E-2,9.758770466E-3
1.920744167E-1,2.797352383E-3,-4.222748429E-2,1.657193713E-2
2.021254167E-1,5.422160029E-4,-3.637444600E-2,1.297466271E-2
2.121754167E-1,-7.675266825E-4,-1.696426235E-2,1.767407730E-2
2.222264167E-1,1.731499098E-3,-3.728445387E-3,1.594954170E-2
2.322774167E-1,9.656533599E-3,2.661184408E-5,2.003696188E-2
2.423284167E-1,1.531358063E-2,-3.944069147E-3,1.766096987E-2
2.523794167E-1,5.720607005E-3,6.046779454E-3,1.288086269E-2
2.624294167E-1,-9.692665190E-4,-5.288198590E-4,8.344313130E-3
2.724804167E-1,4.418840632E-3,-1.043844223E-2,3.482180182E-3
2.825314167E-1,1.500727423E-2,-8.318229578E-3,4.989166744E-3
2.925824167E-1,2.138661034E-2,1.228291914E-2,2.005627612E-3
3.026324167E-1,2.147969604E-2,1.217558421E-2,-3.657373600E-4
3.126834167E-1,2.220860310E-2,4.658545833E-3,1.208190806E-3
3.227344167E-1,1.093961671E-2,1.051127166E-2,-4.824303091E-3
