"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.121041667E-2,2.645645812E-2,-2.419987142E-2,-8.349648535E-2
3.126141667E-2,6.448371548E-2,-1.920459509E-2,2.669370890E-2
4.131241667E-2,7.375929985E-2,4.861375093E-2,2.640368700E-2
5.136341667E-2,6.432335559E-2,2.477816105E-2,-5.489950776E-3
6.141441667E-2,1.886629712E-2,1.926072836E-3,1.174588680E-2
7.146441667E-2,-2.064571448E-2,7.187982202E-3,4.550420165E-2
8.151541667E-2,-4.652614877E-2,-9.500555992E-3,2.760879815E-2
9.156641667E-2,-5.718014114E-2,2.335377932E-2,-5.986847162E-2
1.016174167E-1,-8.559300452E-3,-5.578828454E-3,-9.244214058E-2
1.116674167E-1,1.985637691E-2,-1.239843607E-2,-2.402270079E-2
1.217184167E-1,8.086077981E-3,8.576695919E-3,-6.055668890E-2
1.317694167E-1,-4.513166092E-2,1.618333876E-2,-9.540550947E-2
1.418204167E-1,-9.212628130E-2,-2.549912274E-2,-7.775159597E-2
1.518714167E-1,-1.029345305E-1,-6.350602448E-2,5.315119028E-3
1.619214167E-1,-9.453496870E-2,-7.725165904E-2,6.056662917E-2
1.719724167E-1,-6.848222427E-2,-5.980298281E-2,5.461650252E-2
1.820234167E-1,-6.724064112E-2,-4.011014521E-2,1.156169951E-2
1.920744167E-1,-7.053046737E-2,-2.803213656E-2,-9.559612870E-3
2.021254167E-1,-5.325574581E-2,-1.838247657E-2,1.936539352E-2
2.121754167E-1,-4.830666248E-2,7.945196629E-3,5.860021055E-2
2.222264167E-1,-2.537457705E-2,1.734693468E-2,9.272397637E-2
2.322774167E-1,-3.173181608E-2,-8.909987211E-3,1.390526354E-1
2.423284167E-1,-4.093697805E-2,-1.741885543E-3,1.189113164E-1
2.523794167E-1,-2.792758103E-2,1.514019549E-2,2.751933575E-2
2.624294167E-1,3.275186285E-2,2.943780720E-2,-5.585260391E-2
2.724804167E-1,7.949030209E-2,5.317457914E-3,-1.929405749E-2
2.825314167E-1,7.383966252E-2,-7.835268974E-3,6.105019391E-2
2.925824167E-1,5.614825375E-2,1.647160649E-3,1.000657403E-1
3.026324167E-1,6.528281059E-2,6.012107134E-3,7.258382678E-2
3.126834167E-1,7.957062822E-2,-6.519060731E-3,1.780652583E-2
3.227344167E-1,6.790404428E-2,2.134759963E-2,-2.516524673E-2
3.327854167E-1,4.870748911E-2,4.249814808E-2,-8.636805296E-2
3.428364167E-1,6.020030111E-2,3.845889151E-2,-5.989887714E-2
3.528864167E-1,1.734868884E-3,1.776851892E-2,7.061097622E-3
3.629374167E-1,-4.044899136E-2,7.668623328E-3,5.840374410E-2
3.729884167E-1,8.558423370E-3,3.759759665E-3,6.769380033E-2
3.830394167E-1,5.352095358E-2,3.948917091E-2,4.231980801E-2
3.930904167E-1,9.247331355E-2,5.736586332E-2,2.166451871E-2
4.031404167E-1,8.346593365E-2,3.183048785E-2,7.511917949E-3
4.131914167E-1,-4.884252325E-3,1.973259866E-2,-2.556519628E-2
4.232424167E-1,-5.622518118E-2,7.071622610E-3,-5.283193231E-2
4.332934167E-1,-4.949711904E-2,-2.583650708E-2,-6.499531031E-2
4.433444167E-1,-6.836312380E-2,-2.118212342E-2,-1.346286321E-1
4.533944167E-1,-6.307018764E-2,-2.087748349E-2,-1.839838099E-1
4.634454167E-1,-5.531239428E-2,-2.124059558E-2,-1.336755359E-1
4.734964167E-1,-5.732643116E-2,-3.467457354E-2,-9.399749994E-2
4.835474167E-1,-5.633737464E-2,-3.496985793E-2,-1.456366003E-2
4.935974167E-1,-6.831766170E-2,-2.236209154E-2,5.967200518E-2
5.036484167E-1,-7.092701823E-2,-2.631013155E-2,5.536202252E-2
5.136994167E-1,-6.135351822E-2,-3.642698407E-2,4.346703172E-2
5.237504167E-1,-7.396128461E-2,-2.789648116E-2,1.243118048E-3
5.338014167E-1,-5.869383909E-2,-4.006044388E-2,-3.559083223E-2
5.438514167E-1,-2.913857594E-2,-2.179900467E-2,5.249045491E-3
5.539024167E-1,2.947530247E-2,-6.882172823E-4,-4.856697321E-3
