"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.301091667E-2,2.007392988E-1,-1.623108128E0,-6.401467377E-1
2.306091666E-2,-8.166700852E-1,-1.052709902E0,-1.392169422E-1
3.310991667E-2,-2.316997209E0,3.939356893E-1,-1.089529234E-1
4.315991667E-2,-2.124604518E0,2.982787496E-1,7.760541558E-2
5.320891667E-2,-2.568554659E0,-1.974098942E0,6.143663639E-1
6.325891667E-2,-1.103054429E0,-1.935564036E0,6.926506412E-1
7.330891666E-2,2.480330408E-1,2.273567015E-1,1.572491705E-1
8.335791666E-2,1.431814129E0,2.265252274E0,3.621361917E-1
9.340791667E-2,1.262813517E0,2.656902872E0,7.009191889E-1
1.034579167E-1,-1.801065212E-1,1.786231411E0,3.366201121E-1
1.135069167E-1,-1.297551532E0,4.679994464E-1,-1.667532349E-1
1.235569167E-1,-1.168217554E0,-4.439831775E-1,-2.386874360E-1
1.336059167E-1,-2.034608853E-1,-6.316121417E-1,-1.784003037E-1
1.436559167E-1,5.479656753E-1,-3.618046546E-1,7.905084729E-2
1.537059167E-1,5.531027466E-1,-8.691184402E-2,2.282986879E-1
1.637549167E-1,2.124761224E-1,9.152061939E-3,1.894310760E-1
1.738049167E-1,6.410068631E-2,3.121828437E-2,2.708079457E-2
1.838549167E-1,1.922304305E-1,1.000458598E-1,-2.980969012E-1
1.939039167E-1,4.705988261E-1,2.575359356E-1,-6.399719059E-1
2.039539167E-1,6.410723519E-1,3.939269185E-1,-7.447475785E-1
2.140029167E-1,5.722924313E-1,4.392954648E-1,-5.862453496E-1
2.240529167E-1,1.036378044E-1,3.436133820E-1,-5.339694875E-1
2.341029167E-1,-4.403771996E-1,1.589664978E-1,-3.379240412E-1
2.441519167E-1,-6.543250662E-1,-1.169191700E-1,-1.366734034E-1
2.542019167E-1,-4.176853251E-1,-3.362271792E-1,-2.811937702E-1
2.642519167E-1,-4.845353723E-1,-6.327856779E-2,-2.910352188E-1
2.743009167E-1,-3.371641955E-1,5.740971744E-2,-1.069765645E-1
2.843509167E-1,-2.390721828E-2,-2.208317935E-2,-2.338593900E-2
2.943999167E-1,2.387231040E-1,-3.193807662E-2,-4.666662812E-2
3.044499167E-1,3.600630614E-1,5.906214058E-2,-7.773405433E-2
