"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717784283597273E9,"2024-06-07 20:18:03.597 UTC+02:00"
"PAUSE",6.059060362499804E1,1.717784344187910E9,"2024-06-07 20:19:04.188 UTC+02:00"
"START",6.059060362499804E1,1.717784349126968E9,"2024-06-07 20:19:09.127 UTC+02:00"
"PAUSE",1.009075469999989E2,1.717784389443945E9,"2024-06-07 20:19:49.444 UTC+02:00"
"START",1.009075469999989E2,1.717784405915562E9,"2024-06-07 20:20:05.916 UTC+02:00"
"PAUSE",1.614995993749981E2,1.717784466507650E9,"2024-06-07 20:21:06.508 UTC+02:00"
"START",1.614995993749981E2,1.717784491107971E9,"2024-06-07 20:21:31.108 UTC+02:00"
"PAUSE",2.221116260416675E2,1.717784551720037E9,"2024-06-07 20:22:31.720 UTC+02:00"
"START",2.221116260416675E2,1.717784562423518E9,"2024-06-07 20:22:42.424 UTC+02:00"
"PAUSE",2.776803205416691E2,1.717784617992247E9,"2024-06-07 20:23:37.992 UTC+02:00"
