"Time (s)","X (hPa)"
-5.798788750E-1,1.011957321E3
4.289741250E-1,1.011960449E3
1.437809125E0,1.011963654E3
2.446706125E0,1.011968536E3
3.455587125E0,1.011968613E3
3.802877125E0,1.011969604E3
4.879016125E0,1.011970673E3
5.955166125E0,1.011973648E3
7.031269125E0,1.011973877E3
8.107407125E0,1.011977997E3
9.183542125E0,1.011979675E3
1.025966512E1,1.011983109E3
1.133577912E1,1.011984634E3
1.241192413E1,1.011990662E3
1.348810213E1,1.011991882E3
1.456424612E1,1.011991882E3
1.564042512E1,1.011988983E3
1.671656713E1,1.011988754E3
1.779274713E1,1.011987457E3
1.886893013E1,1.011983871E3
1.994507912E1,1.011983871E3
2.102119912E1,1.011987076E3
2.209734712E1,1.011987076E3
2.317351412E1,1.011987076E3
2.424970013E1,1.011989365E3
2.532577812E1,1.011991348E3
2.640184513E1,1.011991348E3
2.747790513E1,1.011988754E3
2.855394912E1,1.011987762E3
2.963007313E1,1.011984177E3
3.070617613E1,1.011977844E3
3.178228113E1,1.011969223E3
3.285841613E1,1.011967239E3
3.393447813E1,1.011960831E3
3.501055912E1,1.011960831E3
3.608665312E1,1.011961136E3
3.716276313E1,1.011966629E3
3.823886713E1,1.011968842E3
3.931495812E1,1.011969376E3
4.039101812E1,1.011973267E3
4.146707413E1,1.011973572E3
4.254311213E1,1.011973648E3
4.361915912E1,1.011973801E3
4.469521912E1,1.011977463E3
4.577128813E1,1.011977463E3
4.684738512E1,1.011974640E3
4.792347112E1,1.011974640E3
4.899955713E1,1.011973877E3
5.007563712E1,1.011973267E3
5.115172912E1,1.011972733E3
5.222782612E1,1.011971970E3
5.330390912E1,1.011971970E3
5.438001613E1,1.011968994E3
5.545614213E1,1.011968994E3
5.653225712E1,1.011970825E3
6.002752413E1,1.011971436E3
6.103634713E1,1.011969604E3
6.204516813E1,1.011967926E3
6.305401213E1,1.011967850E3
6.406288112E1,1.011964569E3
6.441025013E1,1.011961441E3
6.548635013E1,1.011960678E3
6.656248713E1,1.011959305E3
6.763860213E1,1.011956635E3
6.871470412E1,1.011956635E3
6.979078013E1,1.011959305E3
7.086684012E1,1.011959534E3
7.194290112E1,1.011962051E3
7.301890613E1,1.011964722E3
7.409496813E1,1.011964722E3
7.517100513E1,1.011965027E3
7.624705713E1,1.011965027E3
7.732310513E1,1.011966400E3
7.839916913E1,1.011966400E3
7.947528912E1,1.011966400E3
8.055135012E1,1.011970291E3
8.162741412E1,1.011975327E3
8.270345212E1,1.011975327E3
8.377954013E1,1.011975098E3
8.485562813E1,1.011975098E3
8.593179313E1,1.011975098E3
8.700796713E1,1.011970978E3
8.808404513E1,1.011969833E3
8.916011613E1,1.011968994E3
9.023622012E1,1.011967697E3
9.131233312E1,1.011966629E3
9.238842812E1,1.011966629E3
9.346455013E1,1.011970673E3
9.454069312E1,1.011972961E3
9.561682912E1,1.011973419E3
9.669293412E1,1.011974106E3
9.776908613E1,1.011974106E3
9.884518213E1,1.011973572E3
9.992127513E1,1.011973572E3
1.009974011E2,1.011971741E3
1.020735881E2,1.011971283E3
1.031497181E2,1.011968002E3
1.042258471E2,1.011962891E3
1.053019411E2,1.011962891E3
1.063780551E2,1.011963272E3
